Longitude,Latitude,AsuLevel_1,RSSI_1,AsuLevel_2,RSSI_2,AsuLevel_3,RSSI_3,AsuLevel_4,RSSI_4,AsuLevel_5,RSSI_5,AsuLevel_6,RSSI_6,AsuLevel_7,RSSI_7,MRTime,IMSI,Position,latitude_1,longitude_1,latitude_2,longitude_2,latitude_3,longitude_3,latitude_4,longitude_4,latitude_5,longitude_5,latitude_6,longitude_6,latitude_7,longitude_7
121.2135629,31.29179758,27,-59,10,-93,18.0,-77.0,12.0,-89.0,8.0,-97.0,9.0,-95.0,9.0,-95.0,1507595765901.0,460012796993062.0,1539,31.288649,121.211928,31.289402000000003,121.208105,31.289647,121.208284,31.289647,121.208284,31.289351,121.219323,31.289402000000003,121.208105,31.291805,121.212896
121.2135629,31.29179758,27,-59,11,-91,19.0,-75.0,12.0,-89.0,8.0,-97.0,9.0,-95.0,9.0,-95.0,1507595770762.0,460012796993062.0,1539,31.288649,121.211928,31.289402000000003,121.208105,31.289647,121.208284,31.289647,121.208284,31.289351,121.219323,31.289402000000003,121.208105,31.289647,121.208284
121.21360220000001,31.29184981,28,-57,12,-89,21.0,-71.0,11.0,-91.0,7.0,-99.0,9.0,-95.0,8.0,-97.0,1507595775821.0,460012796993062.0,1548,31.288649,121.211928,31.289402000000003,121.208105,31.289647,121.208284,31.289647,121.208284,31.289351,121.219323,31.289402000000003,121.208105,31.288649,121.211928
121.2136307,31.29183454,31,-51,14,-85,21.0,-71.0,11.0,-91.0,9.0,-95.0,8.0,-97.0,0.0,0.0,1507595780883.0,460012796993062.0,1545,31.288649,121.211928,31.289402000000003,121.208105,31.289647,121.208284,31.289402000000003,121.208105,0.0,0.0,31.289647,121.208284,0.0,0.0
121.2135942,31.29185586,31,-51,19,-75,21.0,-71.0,15.0,-83.0,11.0,-91.0,12.0,-89.0,0.0,0.0,1507595785944.0,460012796993062.0,1549,31.288649,121.211928,31.289402000000003,121.208105,31.289647,121.208284,31.289402000000003,121.208105,0.0,0.0,31.288649,121.211928,0.0,0.0
121.21359679999999,31.29185364,31,-51,20,-73,22.0,-69.0,17.0,-79.0,13.0,-87.0,13.0,-87.0,0.0,0.0,1507595791207.0,460012796993062.0,1548,31.288649,121.211928,31.289402000000003,121.208105,31.289647,121.208284,31.289402000000003,121.208105,0.0,0.0,0.0,0.0,0.0,0.0
121.21359679999999,31.29185364,31,-51,22,-69,23.0,-67.0,19.0,-75.0,15.0,-83.0,15.0,-83.0,0.0,0.0,1507595796263.0,460012796993062.0,1548,31.288649,121.211928,31.289402000000003,121.208105,31.289647,121.208284,31.289402000000003,121.208105,0.0,0.0,0.0,0.0,0.0,0.0
121.21352720000002,31.29179135,31,-51,22,-69,22.0,-69.0,20.0,-73.0,15.0,-83.0,16.0,-81.0,0.0,0.0,1507595801127.0,460012796993062.0,1538,31.288649,121.211928,31.289402000000003,121.208105,31.289647,121.208284,31.289402000000003,121.208105,0.0,0.0,0.0,0.0,0.0,0.0
121.2135818,31.29175559,28,-57,23,-67,23.0,-67.0,20.0,-73.0,16.0,-81.0,15.0,-83.0,0.0,0.0,1507595806398.0,460012796993062.0,1533,31.288649,121.211928,31.289402000000003,121.208105,31.289647,121.208284,31.289402000000003,121.208105,0.0,0.0,31.289351,121.219323,0.0,0.0
121.2135635,31.29176761,27,-59,22,-69,24.0,-65.0,20.0,-73.0,16.0,-81.0,15.0,-83.0,0.0,0.0,1507595811466.0,460012796993062.0,1535,31.288649,121.211928,31.289402000000003,121.208105,31.289647,121.208284,31.289402000000003,121.208105,0.0,0.0,31.288649,121.211928,0.0,0.0
