b,b_count_all,b_count_2,b_count_3,b_count_4,b_amount_all,b_amount_2,b_amount_3,b_amount_4
10003.0,1.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0
10007.0,32.0,10.0,8.0,14.0,120.7,37.1,43.0,40.60000000000001
10010.0,1.0,1.0,0.0,0.0,47.0,47.0,0.0,0.0
10012.0,8.0,5.0,2.0,1.0,566.8,431.0,77.8,58.0
10015.0,4.0,3.0,1.0,0.0,22.0,18.5,3.5,0.0
10033.0,31.0,5.0,5.0,21.0,191.0,30.0,34.0,127.0
10038.0,2.0,2.0,0.0,0.0,11.2,11.2,0.0,0.0
10043.0,1.0,0.0,1.0,0.0,10.0,0.0,10.0,0.0
10045.0,14.0,10.0,2.0,2.0,133.60000000000002,116.4,11.2,6.0
10047.0,2.0,0.0,2.0,0.0,30.4,0.0,30.4,0.0
10049.0,2.0,0.0,0.0,2.0,20.0,0.0,0.0,20.0
10053.0,3.0,1.0,0.0,2.0,8.7,2.9,0.0,5.8
10060.0,33.0,6.0,9.0,18.0,82.1,13.400000000000002,21.9,46.79999999999999
10062.0,34.0,12.0,9.0,13.0,145.2,54.00000000000001,46.2,45.000000000000014
10063.0,1.0,0.0,1.0,0.0,2.7,0.0,2.7,0.0
10064.0,13.0,9.0,2.0,2.0,90.40000000000002,72.60000000000001,8.9,8.9
10066.0,8.0,5.0,3.0,0.0,26.800000000000004,16.900000000000002,9.899999999999999,0.0
10068.0,26.0,5.0,3.0,18.0,73.0,10.5,6.300000000000001,56.2
10069.0,17.0,2.0,8.0,7.0,68.1,9.8,28.0,30.3
10075.0,1.0,0.0,1.0,0.0,4.5,0.0,4.5,0.0
10080.0,26.0,16.0,8.0,2.0,119.59999999999998,75.99999999999999,34.199999999999996,9.4
10083.0,15.0,0.0,1.0,14.0,325.0,0.0,17.0,308.0
10084.0,6.0,6.0,0.0,0.0,94.8,94.8,0.0,0.0
10085.0,2.0,2.0,0.0,0.0,23.0,23.0,0.0,0.0
10086.0,83.0,22.0,28.0,33.0,374.1,100.5,97.6,176.0
10087.0,1.0,1.0,0.0,0.0,7.5,7.5,0.0,0.0
10091.0,41.0,37.0,0.0,4.0,298.8,276.8,0.0,22.0
10094.0,14.0,3.0,1.0,10.0,62.000000000000014,12.0,2.0,48.00000000000001
10097.0,2.0,1.0,1.0,0.0,8.8,3.9,4.9,0.0
10098.0,7.0,7.0,0.0,0.0,345.0,345.0,0.0,0.0
10104.0,47.0,23.0,4.0,20.0,800.0,373.0,47.0,380.0
10106.0,25.0,4.0,13.0,8.0,124.5,19.0,66.2,39.3
10107.0,54.0,37.0,9.0,8.0,134.9,100.60000000000001,15.8,18.5
10109.0,8.0,1.0,3.0,4.0,30.400000000000002,3.8,11.399999999999999,15.2
10116.0,2.0,0.0,1.0,1.0,48.0,0.0,24.0,24.0
10119.0,2.0,0.0,2.0,0.0,11.0,0.0,11.0,0.0
10123.0,30.0,3.0,4.0,23.0,117.61,11.07,15.47,91.07
10124.0,34.0,16.0,5.0,13.0,145.4,72.9,20.0,52.5
10125.0,3.0,1.0,1.0,1.0,26.8,11.9,3.0,11.9
10127.0,26.0,26.0,0.0,0.0,78.7,78.7,0.0,0.0
10129.0,1.0,1.0,0.0,0.0,1.5,1.5,0.0,0.0
10130.0,1.0,0.0,0.0,1.0,23.0,0.0,0.0,23.0
10133.0,6.0,5.0,1.0,0.0,532.0,407.0,125.0,0.0
10137.0,5.0,3.0,0.0,2.0,39.699999999999996,21.9,0.0,17.8
10154.0,7.0,5.0,2.0,0.0,27.299999999999997,19.5,7.8,0.0
10161.0,3.0,2.0,0.0,1.0,17.5,13.0,0.0,4.5
10163.0,8.0,1.0,1.0,6.0,28.0,2.7,5.8,19.500000000000004
10185.0,2.0,2.0,0.0,0.0,146.0,146.0,0.0,0.0
10190.0,1.0,1.0,0.0,0.0,59.0,59.0,0.0,0.0
10198.0,4.0,4.0,0.0,0.0,94.89999999999999,94.89999999999999,0.0,0.0
10199.0,4.0,0.0,1.0,3.0,17.1,0.0,10.0,7.1
10208.0,1.0,0.0,0.0,1.0,9.8,0.0,0.0,9.8
10211.0,23.0,12.0,5.0,6.0,71.39999999999999,37.0,17.0,17.400000000000002
10214.0,2.0,0.0,0.0,2.0,327.0,0.0,0.0,327.0
10608.0,14.0,11.0,3.0,0.0,82.60000000000002,64.9,17.700000000000003,0.0
10616.0,4.0,4.0,0.0,0.0,52.0,52.0,0.0,0.0
10617.0,1.0,0.0,1.0,0.0,8.7,0.0,8.7,0.0
10624.0,5.0,1.0,0.0,4.0,44.0,8.8,0.0,35.2
10628.0,1.0,0.0,0.0,1.0,5.5,0.0,0.0,5.5
10632.0,13.0,6.0,3.0,4.0,215.4,138.9,38.5,38.0
10637.0,10.0,3.0,4.0,3.0,41.00000000000001,12.299999999999999,16.4,12.299999999999999
10652.0,7.0,3.0,2.0,2.0,44.8,23.9,6.0,14.9
10656.0,1.0,0.0,1.0,0.0,3.8,0.0,3.8,0.0
