c,c_count_all,c_count_2,c_count_3,c_count_4,c_amount_all,c_amount_2,c_amount_3,c_amount_4
10000,57.0,18.0,14.0,25.0,244.49999999999983,80.70000000000002,83.0,80.80000000000004
10001,13.0,9.0,2.0,2.0,90.40000000000002,72.60000000000001,8.9,8.9
10002,29.0,5.0,9.0,15.0,195.4,22.5,65.7,107.19999999999999
10008,15.0,9.0,0.0,6.0,87.99999999999999,49.99999999999999,0.0,38.0
10100,1.0,1.0,0.0,0.0,16.8,16.8,0.0,0.0
10101,1.0,1.0,0.0,0.0,11.9,11.9,0.0,0.0
10102,3.0,3.0,0.0,0.0,44.400000000000006,44.400000000000006,0.0,0.0
10103,2.0,2.0,0.0,0.0,29.0,29.0,0.0,0.0
10109,11.0,7.0,0.0,4.0,179.80000000000004,112.60000000000001,0.0,67.2
10110,20.0,13.0,4.0,3.0,107.00000000000001,74.5,18.6,13.9
10111,2.0,1.0,0.0,1.0,13.6,6.8,0.0,6.8
10112,6.0,6.0,0.0,0.0,41.4,41.4,0.0,0.0
10113,15.0,12.0,3.0,0.0,73.5,54.0,19.5,0.0
10114,10.0,3.0,4.0,3.0,45.8,13.5,20.8,11.5
10116,61.0,35.0,15.0,11.0,379.7400000000002,202.14999999999998,93.38999999999999,84.19999999999999
10117,4.0,0.0,0.0,4.0,10.0,0.0,0.0,10.0
10119,122.0,83.0,14.0,25.0,834.6999999999992,535.7999999999998,99.9,199.00000000000003
10130,9.0,3.0,4.0,2.0,40.099999999999994,11.9,18.8,9.4
10131,5.0,1.0,2.0,2.0,24.099999999999998,5.5,11.0,7.6
10132,8.0,1.0,4.0,3.0,24.4,2.5,13.0,8.9
10133,1.0,0.0,0.0,1.0,6.0,0.0,0.0,6.0
10135,14.0,10.0,3.0,1.0,43.599999999999994,32.0,8.7,2.9
10136,16.0,8.0,4.0,4.0,147.30000000000004,117.19999999999999,14.899999999999999,15.2
10137,14.0,2.0,7.0,5.0,69.9,8.0,36.0,25.9
10140,23.0,6.0,9.0,8.0,45.599999999999994,9.0,22.0,14.600000000000001
10141,163.0,40.0,49.0,74.0,939.2999999999996,211.70000000000002,178.2,549.3999999999999
10150,67.0,22.0,22.0,23.0,229.1000000000001,74.8,69.19999999999999,85.10000000000001
10151,31.0,5.0,5.0,21.0,191.0,30.0,34.0,127.0
10152,18.0,3.0,1.0,14.0,101.10000000000002,12.0,19.8,69.30000000000001
10153,1.0,1.0,0.0,0.0,6.8,6.8,0.0,0.0
10200,19.0,5.0,13.0,1.0,99.59999999999998,25.1,69.49999999999999,5.0
10201,106.0,51.0,14.0,41.0,433.7100000000001,210.47,56.37,166.87
10202,1.0,0.0,1.0,0.0,5.5,0.0,5.5,0.0
10300,55.0,39.0,2.0,14.0,355.3,283.8,11.0,60.5
10309,6.0,3.0,3.0,0.0,19.8,9.899999999999999,9.899999999999999,0.0
10310,3.0,0.0,1.0,2.0,25.6,0.0,9.8,15.8
10312,3.0,0.0,0.0,3.0,23.700000000000003,0.0,0.0,23.700000000000003
10319,1.0,0.0,0.0,1.0,9.9,0.0,0.0,9.9
10400,4.0,4.0,0.0,0.0,300.0,300.0,0.0,0.0
