i,i_count_all,i_count_2,i_count_3,i_count_4,i_amount_all,i_amount_2,i_amount_3,i_amount_4
10000000,3.0,1.0,2.0,0.0,32.400000000000006,10.8,21.6,0.0
10000003,1.0,0.0,1.0,0.0,5.9,0.0,5.9,0.0
10000004,2.0,1.0,0.0,1.0,11.6,5.8,0.0,5.8
10000005,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0
10000006,14.0,3.0,1.0,10.0,37.800000000000004,8.100000000000001,2.7,26.999999999999996
10000007,4.0,2.0,1.0,1.0,18.0,9.0,4.5,4.5
10000009,4.0,2.0,2.0,0.0,24.8,11.8,13.0,0.0
10000010,1.0,1.0,0.0,0.0,6.2,6.2,0.0,0.0
10000011,10.0,4.0,1.0,5.0,26.999999999999996,10.8,2.7,13.5
10000012,3.0,1.0,1.0,1.0,32.400000000000006,10.8,10.8,10.8
10000015,10.0,2.0,2.0,6.0,26.999999999999996,5.4,5.4,16.2
10000016,2.0,0.0,2.0,0.0,7.6,0.0,7.6,0.0
10000017,1.0,0.0,1.0,0.0,8.8,0.0,8.8,0.0
10000025,1.0,0.0,0.0,1.0,3.0,0.0,0.0,3.0
10001002,1.0,1.0,0.0,0.0,4.5,4.5,0.0,0.0
10001003,5.0,5.0,0.0,0.0,49.5,49.5,0.0,0.0
10001006,5.0,3.0,1.0,1.0,31.0,18.6,6.2,6.2
10001007,2.0,0.0,1.0,1.0,5.4,0.0,2.7,2.7
10002000,1.0,0.0,0.0,1.0,4.5,0.0,0.0,4.5
10002003,1.0,1.0,0.0,0.0,2.2,2.2,0.0,0.0
10002004,3.0,0.0,1.0,2.0,23.4,0.0,7.8,15.6
10002005,1.0,0.0,0.0,1.0,7.8,0.0,0.0,7.8
10002006,1.0,1.0,0.0,0.0,10.8,10.8,0.0,0.0
10002009,2.0,0.0,1.0,1.0,15.6,0.0,7.8,7.8
10002015,1.0,0.0,1.0,0.0,4.0,0.0,4.0,0.0
10002017,1.0,0.0,1.0,0.0,5.8,0.0,5.8,0.0
10002020,3.0,0.0,0.0,3.0,8.100000000000001,0.0,0.0,8.100000000000001
10002025,1.0,1.0,0.0,0.0,2.7,2.7,0.0,0.0
10002026,1.0,0.0,1.0,0.0,15.0,0.0,15.0,0.0
10002027,2.0,0.0,1.0,1.0,30.0,0.0,15.0,15.0
10002030,2.0,1.0,1.0,0.0,7.6,3.8,3.8,0.0
10002031,2.0,1.0,0.0,1.0,6.0,3.0,0.0,3.0
10002034,1.0,0.0,1.0,0.0,2.7,0.0,2.7,0.0
10002040,1.0,0.0,1.0,0.0,3.8,0.0,3.8,0.0
10002041,3.0,0.0,0.0,3.0,11.399999999999999,0.0,0.0,11.399999999999999
10002043,1.0,0.0,0.0,1.0,17.0,0.0,0.0,17.0
10002044,1.0,0.0,0.0,1.0,17.0,0.0,0.0,17.0
10008001,4.0,4.0,0.0,0.0,16.0,16.0,0.0,0.0
10008003,1.0,0.0,0.0,1.0,4.0,0.0,0.0,4.0
10008007,2.0,1.0,0.0,1.0,13.6,6.8,0.0,6.8
10008008,1.0,1.0,0.0,0.0,6.8,6.8,0.0,0.0
10008009,1.0,1.0,0.0,0.0,6.8,6.8,0.0,0.0
10008011,2.0,2.0,0.0,0.0,13.6,13.6,0.0,0.0
10008012,2.0,0.0,0.0,2.0,13.6,0.0,0.0,13.6
10008013,2.0,0.0,0.0,2.0,13.6,0.0,0.0,13.6
10100005,1.0,1.0,0.0,0.0,16.8,16.8,0.0,0.0
10101000,1.0,1.0,0.0,0.0,11.9,11.9,0.0,0.0
10102002,3.0,3.0,0.0,0.0,44.400000000000006,44.400000000000006,0.0,0.0
10103003,2.0,2.0,0.0,0.0,29.0,29.0,0.0,0.0
10109002,1.0,1.0,0.0,0.0,11.9,11.9,0.0,0.0
10109004,3.0,3.0,0.0,0.0,50.400000000000006,50.400000000000006,0.0,0.0
10109009,2.0,0.0,0.0,2.0,33.6,0.0,0.0,33.6
10109016,1.0,1.0,0.0,0.0,21.3,21.3,0.0,0.0
10109021,2.0,2.0,0.0,0.0,29.0,29.0,0.0,0.0
10109026,1.0,0.0,0.0,1.0,16.8,0.0,0.0,16.8
10109027,1.0,0.0,0.0,1.0,16.8,0.0,0.0,16.8
10110000,3.0,1.0,1.0,1.0,13.5,4.5,4.5,4.5
10110010,1.0,1.0,0.0,0.0,11.8,11.8,0.0,0.0
10110016,8.0,6.0,1.0,1.0,52.0,39.0,6.5,6.5
10110017,5.0,4.0,0.0,1.0,14.5,11.6,0.0,2.9
10110018,1.0,0.0,1.0,0.0,4.9,0.0,4.9,0.0
10110020,1.0,0.0,1.0,0.0,2.7,0.0,2.7,0.0
10110025,1.0,1.0,0.0,0.0,7.6,7.6,0.0,0.0
10111000,2.0,1.0,0.0,1.0,13.6,6.8,0.0,6.8
10112003,2.0,2.0,0.0,0.0,16.4,16.4,0.0,0.0
10112005,1.0,1.0,0.0,0.0,11.8,11.8,0.0,0.0
