u,i,u_i_count_all,u_i_count_2,u_i_count_3,u_i_count_4,u_i_amount_all,u_i_amount_2,u_i_amount_3,u_i_amount_4
781924,10130009,1.0,0.0,0.0,1.0,5.5,0.0,0.0,5.5
781924,11531020,1.0,0.0,0.0,1.0,15.6,0.0,0.0,15.6
781924,11532011,1.0,0.0,0.0,1.0,9.9,0.0,0.0,9.9
781924,11533012,1.0,0.0,0.0,1.0,10.8,0.0,0.0,10.8
781924,14014034,1.0,0.0,0.0,1.0,10.9,0.0,0.0,10.9
781924,14050019,1.0,0.0,0.0,1.0,5.9,0.0,0.0,5.9
781924,14402009,0.522,0.0,0.0,0.522,15.45,0.0,0.0,15.45
781924,15200007,12.0,0.0,0.0,12.0,27.6,0.0,0.0,27.6
13325038116,15120003,1.0,0.0,1.0,0.0,14.9,0.0,14.9,0.0
13325038116,15232004,1.0,0.0,1.0,0.0,6.5,0.0,6.5,0.0
13325038116,22712001,0.3,0.0,0.3,0.0,27.54,0.0,27.54,0.0
13325038116,27000007,0.344,0.0,0.344,0.0,6.81,0.0,6.81,0.0
13854627199,14300086,1.0,0.0,0.0,1.0,15.8,0.0,0.0,15.8
13854627199,14405032,0.076,0.0,0.076,0.0,5.47,0.0,5.47,0.0
13854627199,14617001,1.0,0.0,1.0,0.0,9.8,0.0,9.8,0.0
13854627199,14701035,1.0,0.0,1.0,0.0,35.9,0.0,35.9,0.0
13854627199,14750042,1.0,0.0,0.0,1.0,7.5,0.0,0.0,7.5
13854627199,14750043,1.0,0.0,0.0,1.0,10.9,0.0,0.0,10.9
13854627199,14802054,1.0,0.0,0.0,1.0,18.5,0.0,0.0,18.5
13854627199,14860025,1.0,0.0,0.0,1.0,3.0,0.0,0.0,3.0
13854627199,22001006,0.5920000000000001,0.0,0.0,0.5920000000000001,3.05,0.0,0.0,3.05
13854627199,22007027,0.624,0.0,0.0,0.624,12.36,0.0,0.0,12.36
13854627199,22008012,2.3040000000000003,0.0,0.0,2.3040000000000003,63.59,0.0,0.0,63.59
13854627199,22010034,0.496,0.0,0.0,0.496,4.95,0.0,0.0,4.95
13854627199,22013007,1.1540000000000001,0.0,0.0,1.1540000000000001,9.19,0.0,0.0,9.19
13854627199,22103001,1.5459999999999998,0.0,0.0,1.5459999999999998,9.39,0.0,0.0,9.39
