c,c_i_count_unique_all,c_i_count_unique_2,c_i_count_unique_3,c_i_count_unique_4
10000,14,10,10,7
10001,4,3,2,2
10002,19,5,9,10
10008,8,5,0,4
10100,1,1,0,0
10101,1,1,0,0
10102,1,1,0,0
10103,1,1,0,0
10109,7,4,0,3
10110,7,5,4,3
10111,1,1,0,1
10112,5,5,0,0
10113,5,4,1,0
10114,3,1,2,2
10116,16,10,6,8
10117,1,0,0,1
10119,34,24,10,18
10130,5,3,2,2
10131,2,1,1,1
10132,3,1,2,2
10133,1,0,0,1
10135,4,4,1,1
10136,6,6,2,1
10137,4,1,3,4
10140,4,1,2,3
10141,32,17,21,20
10150,27,11,13,12
10151,2,1,2,2
10152,7,1,1,5
10153,1,1,0,0
10200,14,4,9,1
10201,14,10,6,6
10202,1,0,1,0
10300,11,7,1,4
10309,1,1,1,0
10310,2,0,1,1
10312,1,0,0,1
10319,1,0,0,1
10400,1,1,0,0
10401,7,4,0,3
10410,2,1,1,0
10411,1,0,1,0
10420,3,3,0,1
10421,4,3,1,0
10422,4,2,1,1
10435,9,5,1,4
10439,2,1,0,1
10440,5,3,2,0
10441,4,3,0,1
10443,1,1,0,0
10450,1,1,0,0
10454,3,2,0,1
10501,7,3,2,4
10502,6,1,4,1
10603,1,1,0,0
11000,1,0,1,0
11002,1,1,0,0
11003,1,0,0,1
11004,2,2,1,0
11005,3,2,1,0
11008,1,1,0,1
11010,1,0,1,0
11011,12,7,6,2
11020,4,3,0,1
11022,11,5,5,3
11023,1,1,0,0
11030,2,0,0,2
11034,1,0,1,0
11044,1,0,0,1
11046,1,0,0,1
11052,6,2,3,2
11054,9,4,2,4
11055,4,1,3,0
11056,11,0,5,7
11057,7,1,5,3
11058,2,1,0,1
11100,1,0,0,1
11101,3,1,0,2
11102,1,1,0,0
11104,4,1,2,2
11110,8,5,6,3
11111,3,2,1,1
11112,2,1,2,0
11114,5,3,1,1
11115,2,0,0,2
11120,1,0,1,0
11121,2,0,0,2
11141,1,1,1,1
11200,4,1,2,1
11201,3,1,2,0
11204,1,1,0,0
11205,2,0,2,0
11210,2,0,2,0
11220,10,7,3,4
11221,10,8,2,0
11222,4,0,2,3
11230,16,8,3,9
11231,8,3,2,4
11232,1,0,1,0
11233,9,3,3,3
11234,1,0,1,0
11240,4,2,1,2
11241,5,1,2,2
11300,27,11,15,8
11301,15,9,2,6
11302,5,1,4,2
11303,35,13,16,17
11304,8,2,1,5
11305,3,2,0,1
11311,1,1,0,0
11312,1,1,0,0
11400,8,2,3,3
11413,1,1,0,0
11500,26,12,12,6
11501,22,9,7,9
11502,10,3,5,5
11504,4,0,3,2
11507,2,0,0,2
11508,2,1,1,1
11511,4,2,1,2
11513,1,1,0,0
11521,9,4,2,4
11522,6,3,0,4
11530,2,1,1,0
11531,12,6,6,3
11532,10,3,3,9
11533,8,1,4,7
11540,1,1,0,0
14000,8,2,4,6
14001,3,0,2,1
14002,2,1,1,1
14010,7,4,6,5
14011,2,0,1,1
14012,1,0,1,0
14013,5,3,3,4
14014,5,2,1,2
14015,5,4,2,2
14020,7,5,3,4
14021,6,2,1,4
14022,4,2,4,0
14031,3,2,0,1
14032,4,3,3,1
14033,8,5,2,3
14034,7,5,1,3
14040,2,1,0,1
14041,1,0,0,1
14043,9,5,1,4
14050,13,2,5,10
14051,2,0,0,2
14052,17,7,8,8
14054,14,6,3,11
14060,7,5,4,2
14061,3,2,1,2
14064,6,3,3,1
14070,5,2,2,2
14072,5,1,3,4
14073,4,2,1,3
14074,1,0,0,1
14075,3,1,1,2
14076,9,4,5,6
14077,8,2,2,4
14078,1,0,0,1
14079,3,2,0,1
14080,10,4,4,6
14081,5,2,1,2
14082,16,11,4,9
14083,4,3,3,3
14084,1,1,1,1
14090,17,7,10,7
14091,30,15,12,17
14092,35,18,17,16
14093,2,2,0,2
14094,2,1,1,1
14100,9,7,2,2
14101,12,6,3,4
14103,1,0,1,0
14105,6,3,3,1
14107,3,1,1,3
14108,2,2,0,0
14110,4,1,1,2
14111,3,1,1,1
14112,8,5,3,2
14113,1,0,1,1
14120,4,2,2,1
14121,9,3,4,6
14130,22,7,3,16
14131,10,5,4,4
14132,9,4,4,4
14133,3,0,1,2
14140,12,5,2,6
14141,5,1,2,2
14142,9,3,2,7
14145,3,3,0,0
14200,20,8,9,12
14201,3,1,1,2
14202,2,0,0,2
14203,9,6,1,2
