u,u_c_count_unique_all,u_c_count_unique_2,u_c_count_unique_3,u_c_count_unique_4
781924,8,0,0,8
13325038116,4,0,4,0
13854627199,23,0,4,19
15963883482,8,0,5,3
15963885355,12,0,9,3
18654692914,8,0,3,7
18764569988,5,0,5,0
1590120464497,40,16,21,12
1590120718170,6,1,5,0
1590130640102,23,11,7,11
1590130817948,8,5,0,3
1590140304209,36,26,15,1
1590140304506,12,0,0,12
1590140305107,42,10,22,20
1590140306678,17,12,2,4
1590140307286,23,16,7,4
1590140307415,22,16,0,7
1590140307767,24,9,0,20
1590140307859,12,8,4,0
1590140308030,12,0,0,12
1590140308214,29,11,17,7
1590141216259,14,0,8,6
1590141414228,5,0,4,1
1590142128124,39,19,7,15
1590142129763,16,11,6,0
1590142148962,15,12,3,1
1590142149112,4,0,2,2
1590142149853,10,0,10,0
1590142150507,10,10,0,0
1590142151689,9,0,7,4
1590142152440,19,9,5,6
1590142176354,11,11,0,0
1590142176521,12,0,10,2
1590142179621,22,13,6,6
1590142191722,21,5,14,2
1590142194327,5,0,5,0
1590142197076,21,2,9,16
1590142201513,2,0,2,0
1590142202190,2,1,1,0
1590142203104,43,15,20,13
1590142203180,34,15,23,0
1590142203401,11,6,1,4
1590142204569,11,3,8,3
1590142205993,29,15,17,0
1590142206747,21,0,0,21
1590142213189,9,0,0,9
1590142213356,30,12,10,10
1590142213981,10,0,8,4
1590142215619,15,3,12,3
1590142240482,3,1,2,0
1590142456470,14,0,7,8
1590142477895,8,0,8,0
1590142514866,10,0,0,10
1590142516068,3,0,0,3
1590142516600,12,12,0,0
1590142517836,5,0,5,0
1590142518307,12,6,0,8
1590142519632,12,0,0,12
1590142520300,7,4,3,0
1590142648356,18,6,12,3
1590142751995,4,0,0,4
1590150321449,12,9,5,4
1590151076256,3,3,0,0
1590151210391,7,0,0,7
1590151321240,23,19,6,3
1590151363066,13,11,3,0
1590151428581,3,0,3,0
1590151432557,9,0,8,3
1590151459721,18,12,4,3
1590151464053,19,11,6,4
1590151467962,12,2,9,6
1590151472027,31,11,13,18
1590151500423,8,3,7,0
1590151682891,16,16,0,0
1590151825175,36,10,20,13
1590151832593,34,15,15,13
1590151835808,11,0,8,3
1590151842899,20,11,12,5
1590151843124,28,22,3,5
1590151977348,6,3,1,5
1591012978559,12,0,2,11
1591013167365,14,7,6,5
1591013471721,5,0,0,5
1591013766650,30,0,6,25
1591013866800,9,0,6,3
1591013877134,9,0,0,9
1591014083046,31,4,18,14
1591014130276,8,7,1,0
1591014214433,21,4,15,6
1591014338276,9,0,0,9
1591014523610,11,2,5,4
1591014577972,15,15,0,0
1591014680184,26,8,12,8
1591015027858,4,0,0,4
1591015034924,10,5,4,3
1591015074944,15,15,0,0
1591015097233,10,0,6,6
1591015097516,18,8,9,1
1591015136338,21,9,14,0
1591015218485,14,7,2,6
1591015269418,18,4,4,10
1591015327590,19,15,8,0
1591015408602,24,8,5,11
1591015419448,17,8,10,0
1591015420000,10,0,0,10
1591015452933,27,14,7,11
1591015454210,25,15,13,3
1591015454562,17,0,5,13
1591015454692,5,0,2,3
1591015454814,28,22,8,2
