b,b_user_all,b_user_2,b_user_3,b_user_4
10003.0,1,1,0,0
10007.0,20,6,8,9
10010.0,1,1,0,0
10012.0,7,4,2,1
10015.0,4,3,1,0
10033.0,10,2,2,7
10038.0,2,2,0,0
10043.0,1,0,1,0
10045.0,9,6,2,2
10047.0,2,0,2,0
10049.0,1,0,0,1
10053.0,2,1,0,1
10060.0,25,5,7,14
10062.0,23,10,9,9
10063.0,1,0,1,0
10064.0,10,8,2,2
10066.0,4,3,2,0
10068.0,12,3,3,6
10069.0,10,2,6,6
10075.0,1,0,1,0
10080.0,14,8,4,2
10083.0,3,0,1,2
10084.0,3,3,0,0
10085.0,1,1,0,0
10086.0,45,16,17,18
10087.0,1,1,0,0
10091.0,7,4,0,3
10094.0,8,2,1,6
10097.0,2,1,1,0
10098.0,2,2,0,0
10104.0,6,3,2,1
10106.0,20,3,11,7
10107.0,19,10,6,5
10109.0,3,1,2,2
10116.0,1,0,1,1
10119.0,1,0,1,0
10123.0,3,1,2,2
10124.0,7,4,3,2
10125.0,3,1,1,1
10127.0,3,3,0,0
10129.0,1,1,0,0
10130.0,1,0,0,1
10133.0,3,2,1,0
10137.0,2,1,0,1
10154.0,6,4,2,0
10161.0,2,1,0,1
10163.0,6,1,1,5
10185.0,1,1,0,0
10190.0,1,1,0,0
10198.0,3,3,0,0
10199.0,4,0,1,3
10208.0,1,0,0,1
10211.0,14,7,3,4
10214.0,1,0,0,1
10608.0,5,2,3,0
10616.0,2,2,0,0
10617.0,1,0,1,0
10624.0,3,1,0,2
10628.0,1,0,0,1
10632.0,6,3,2,1
10637.0,3,2,2,1
10652.0,7,3,2,2
10656.0,1,0,1,0
10659.0,7,1,4,3
10669.0,2,2,0,0
10676.0,1,0,0,1
10678.0,1,0,0,1
10679.0,4,1,3,1
10685.0,1,1,0,0
10691.0,1,0,1,0
10692.0,8,1,4,4
10697.0,2,1,1,0
10701.0,4,2,1,1
10702.0,2,1,0,1
10703.0,5,3,1,2
10704.0,1,0,0,1
10705.0,4,2,1,1
10706.0,36,16,8,15
10710.0,6,3,0,3
10714.0,3,0,2,1
10715.0,1,1,0,0
10717.0,1,1,0,0
10719.0,21,16,3,3
10721.0,1,0,0,1
10722.0,2,1,0,1
10724.0,18,10,4,7
10726.0,2,1,1,0
10727.0,2,0,1,1
10729.0,5,0,5,0
10730.0,1,0,0,1
10732.0,1,0,1,0
10741.0,2,2,0,0
11004.0,2,0,0,2
11006.0,1,1,0,0
11014.0,1,0,0,1
11026.0,11,2,3,7
11032.0,2,0,0,2
11036.0,17,2,10,5
11039.0,2,1,1,0
11046.0,1,1,0,0
11048.0,7,2,3,2
11049.0,1,0,1,0
11052.0,2,0,1,1
11057.0,6,4,1,2
11069.0,1,1,0,0
11075.0,2,0,1,1
11079.0,7,2,4,1
11081.0,2,1,0,1
11085.0,1,1,0,0
11091.0,1,1,0,0
11094.0,4,0,1,3
11097.0,1,1,0,0
11106.0,3,2,0,1
11107.0,1,0,0,1
11110.0,2,1,0,1
11112.0,2,2,0,0
11114.0,12,2,8,2
11115.0,2,1,1,0
11116.0,1,1,0,0
11119.0,1,1,0,0
11121.0,1,0,1,0
11123.0,6,1,3,2
11127.0,1,0,0,1
11128.0,5,1,2,2
11129.0,17,8,6,3
11130.0,3,1,1,1
11133.0,3,1,0,2
11137.0,1,1,0,0
11140.0,2,0,0,2
11144.0,3,1,2,0
11146.0,1,0,0,1
11148.0,1,0,0,1
11149.0,2,0,0,2
11150.0,2,0,1,1
11151.0,1,0,0,1
11154.0,12,4,2,6
11156.0,2,0,1,1
11159.0,11,6,3,3
11164.0,1,0,1,0
11165.0,1,0,1,1
11168.0,1,0,1,0
11201.0,2,1,0,1
11204.0,4,2,1,1
11209.0,2,1,0,1
11210.0,3,1,0,2
11213.0,2,1,1,0
11215.0,3,0,1,2
11217.0,2,1,1,0
11219.0,1,1,0,0
11220.0,1,0,0,1
11221.0,5,1,1,3
11224.0,12,4,3,5
11225.0,3,0,3,0
11227.0,1,1,0,0
11228.0,2,0,2,0
11233.0,1,0,0,1
11234.0,2,0,0,2
11235.0,1,0,0,1
11241.0,5,2,1,2
11258.0,3,1,1,1
11260.0,4,1,0,3
11263.0,1,0,0,1
11265.0,2,2,1,0
11276.0,1,0,0,1
11281.0,2,2,1,0
11286.0,1,1,0,0
11288.0,2,0,1,1
11291.0,4,3,0,1
11301.0,3,2,0,1
11305.0,1,1,0,0
11306.0,1,1,0,0
11310.0,1,0,1,0
11312.0,1,0,0,1
11313.0,1,0,0,1
11314.0,2,0,2,0
11317.0,1,0,0,1
11318.0,1,0,0,1
11321.0,1,1,0,0
11327.0,5,0,3,2
11334.0,2,1,0,1
11337.0,1,1,0,0
11338.0,2,0,2,0
11342.0,1,1,0,0
11344.0,3,1,1,1
11345.0,1,1,0,0
11351.0,1,0,1,0
11352.0,1,0,1,0
11356.0,1,1,0,0
11365.0,1,1,0,0
11375.0,2,0,2,0
11376.0,1,0,0,1
11378.0,2,0,1,1
11379.0,7,1,2,4
11381.0,1,1,0,0
11383.0,3,2,1,0
11384.0,1,1,1,0
11385.0,9,1,2,6
11387.0,1,1,0,0
14001.0,5,5,0,0
14002.0,2,0,2,0
14005.0,8,2,3,3
14008.0,8,4,2,2
14010.0,2,1,0,1
14016.0,3,0,1,2
14019.0,1,1,0,0
14020.0,3,2,1,0
14022.0,1,0,1,0
14024.0,3,1,1,1
14031.0,3,1,3,1
14032.0,14,4,8,3
14033.0,4,1,3,0
14034.0,1,1,0,0
14035.0,5,1,4,0
14036.0,1,1,0,0
14038.0,3,2,1,0
14039.0,2,0,1,1
14041.0,4,2,0,2
14042.0,3,1,1,1
14043.0,7,2,4,1
14044.0,18,4,4,11
14045.0,3,2,1,0
14049.0,1,0,1,0
14051.0,13,4,2,9
14067.0,8,4,2,2
14069.0,2,1,1,0
14070.0,3,2,0,1
14071.0,4,1,1,2
14079.0,13,4,5,5
14080.0,6,4,1,1
14082.0,19,6,7,7
14084.0,2,1,1,0
14088.0,2,1,0,1
14092.0,4,3,0,1
14097.0,1,1,0,0
14098.0,30,9,12,12
14102.0,9,4,3,3
14104.0,9,4,2,5
14108.0,2,1,0,1
14110.0,4,2,1,2
14112.0,10,5,2,4
14116.0,2,1,0,1
14117.0,3,2,0,1
14118.0,2,1,0,1
14119.0,3,0,1,2
14121.0,6,3,2,1
14123.0,12,3,4,6
14126.0,10,4,5,1
14127.0,2,1,1,0
14129.0,1,1,0,0
14133.0,2,2,0,0
14134.0,1,1,0,0
14145.0,9,3,5,1
14146.0,4,1,1,2
14148.0,2,0,0,2
14149.0,3,2,1,1
14151.0,8,1,5,2
14152.0,6,3,1,2
14153.0,1,1,0,0
14156.0,1,0,0,1
14157.0,1,0,0,1
14159.0,2,2,0,0
14160.0,19,11,4,4
14162.0,2,1,0,1
14167.0,5,1,1,4
14168.0,7,3,1,4
14173.0,21,8,6,8
14177.0,43,18,17,14
14179.0,3,2,1,1
14189.0,7,1,5,2
14191.0,7,6,1,2
14196.0,25,10,4,13
14197.0,1,1,0,0
14200.0,7,2,5,2
14203.0,1,0,1,0
14208.0,16,7,4,7
14210.0,4,2,1,1
14212.0,6,3,1,2
14213.0,10,1,3,7
14224.0,15,8,5,3
14225.0,10,2,4,6
14229.0,4,3,0,1
14230.0,7,5,0,2
14231.0,13,1,6,6
14233.0,3,2,1,1
14236.0,6,3,3,1
14238.0,3,0,1,2
14241.0,4,0,2,3
14245.0,2,1,1,1
14246.0,1,0,0,1
14247.0,2,0,2,0
14249.0,2,0,2,0
14251.0,2,1,1,0
14258.0,9,1,4,4
14261.0,3,0,0,3
14265.0,21,6,5,13
14267.0,9,6,0,3
14268.0,6,3,0,3
14279.0,8,2,4,2
14281.0,18,7,4,8
14284.0,1,0,1,0
