c,c_user_all,c_user_2,c_user_3,c_user_4
10000,32,13,11,16
10001,10,8,2,2
10002,19,4,7,11
10008,8,3,0,5
10100,1,1,0,0
10101,1,1,0,0
10102,3,3,0,0
10103,2,2,0,0
10109,9,6,0,3
10110,15,9,4,3
10111,2,1,0,1
10112,6,6,0,0
10113,7,5,3,0
10114,7,1,4,3
10116,30,13,11,9
10117,4,0,0,4
10119,57,33,13,18
10130,9,3,4,2
10131,4,1,2,2
10132,6,1,3,3
10133,1,0,0,1
10135,5,3,1,1
10136,8,6,3,2
10137,12,2,6,4
10140,15,4,6,5
10141,65,21,29,29
10150,36,14,12,16
10151,10,2,2,7
10152,9,2,1,7
10153,1,1,0,0
10200,12,5,7,1
10201,19,12,7,6
10202,1,0,1,0
10300,10,5,1,6
10309,3,2,2,0
10310,2,0,1,1
10312,1,0,0,1
10319,1,0,0,1
10400,1,1,0,0
10401,9,7,0,2
10410,2,1,1,0
10411,1,0,1,0
10420,2,1,0,1
10421,2,1,1,0
10422,5,3,1,1
10435,7,5,2,1
10439,2,1,0,1
10440,5,3,2,0
10441,3,2,0,1
10443,1,1,0,0
10450,1,1,0,0
10454,3,2,0,1
10501,7,2,2,4
10502,5,1,4,1
10603,1,1,0,0
11000,1,0,1,0
11002,1,1,0,0
11003,1,0,0,1
11004,3,2,1,0
11005,3,2,1,0
11008,2,1,0,1
11010,1,0,1,0
11011,10,5,5,2
11020,4,3,0,1
11022,15,6,5,4
11023,1,1,0,0
11030,2,0,0,2
11034,1,0,1,0
11044,1,0,0,1
11046,1,0,0,1
11052,5,1,3,2
11054,9,4,2,5
11055,3,1,2,0
11056,20,0,6,15
11057,14,1,9,5
11058,2,1,0,1
11100,1,0,0,1
11101,3,1,0,2
11102,1,1,0,0
11104,5,1,2,2
11110,24,9,8,8
11111,5,2,2,1
11112,4,2,2,0
11114,5,3,1,1
11115,1,0,0,1
11120,1,0,1,0
11121,2,0,0,2
11141,6,3,1,2
11200,4,1,2,1
11201,3,1,2,0
11204,1,1,0,0
11205,1,0,1,0
11210,2,0,2,0
11220,12,5,4,3
11221,6,6,1,0
11222,5,0,2,3
11230,17,8,3,7
11231,8,3,2,4
11232,1,0,1,0
11233,9,3,3,3
11234,1,0,1,0
11240,7,3,2,2
11241,6,1,3,2
11300,36,12,17,10
11301,16,8,2,6
11302,5,1,3,2
11303,31,11,11,12
11304,8,3,1,5
11305,3,2,0,1
11311,1,1,0,0
11312,1,1,0,0
11400,7,2,2,3
11413,1,1,0,0
11500,25,9,12,4
11501,16,7,5,6
11502,13,3,5,6
11504,7,0,3,4
11507,2,0,0,2
11508,3,1,1,1
11511,3,2,1,2
11513,1,1,0,0
11521,13,5,2,6
11522,5,3,0,3
11530,2,1,1,0
11531,17,6,8,4
11532,19,4,3,12
11533,12,1,4,9
11540,1,1,0,0
14000,12,2,4,8
14001,2,0,1,1
14002,3,1,1,1
14010,23,5,12,9
14011,2,0,1,1
14012,2,0,2,0
14013,16,3,3,10
14014,5,2,1,2
14015,8,4,3,2
14020,10,5,3,3
14021,7,1,1,5
14022,5,2,3,0
14031,3,2,0,1
14032,6,3,3,1
14033,9,4,2,3
14034,9,5,1,3
14040,2,1,0,1
14041,1,0,0,1
14043,9,5,1,4
14050,15,2,5,8
14051,1,0,0,1
14052,21,7,8,7
14054,17,6,3,8
14060,12,6,4,2
14061,3,1,1,2
14064,5,3,2,1
14070,6,2,2,2
14072,8,1,3,5
14073,9,3,1,6
14074,1,0,0,1
14075,5,1,2,3
14076,21,5,7,11
14077,8,2,2,4
14078,1,0,0,1
14079,3,2,0,1
14080,15,6,4,7
14081,5,2,1,2
14082,23,15,4,7
14083,12,3,4,6
14084,3,1,2,1
14090,23,9,8,8
14091,36,13,11,18
14092,40,16,14,15
14093,7,4,0,3
14094,2,1,1,1
14100,13,9,2,2
14101,13,5,4,4
14103,1,0,1,0
14105,6,3,3,1
14107,3,1,1,3
14108,2,2,0,0
14110,4,1,1,2
14111,4,1,1,2
14112,9,7,3,1
14113,1,0,1,1
14120,4,2,3,1
14121,15,4,4,7
14130,28,8,9,15
14131,15,7,4,4
14132,11,4,4,4
14133,2,0,1,1
14140,11,5,2,6
14141,3,1,1,1
14142,11,2,3,7
14145,4,4,0,0
14200,24,8,6,12
14201,4,1,1,2
14202,1,0,0,1
14203,8,6,1,2
14207,3,1,1,1
14208,2,1,0,1
14209,5,0,0,5
14211,1,0,0,1
14215,1,0,1,0
14216,1,0,0,1
14220,3,0,1,2
14222,13,3,4,6
14223,3,2,1,0
14230,1,0,0,1
14231,5,0,2,3
14232,3,1,0,2
14233,1,0,1,0
14240,5,1,0,4
14241,6,0,2,4
14242,2,1,1,0
14243,4,1,1,2
14250,6,3,3,1
14252,2,1,0,1
14253,1,0,1,0
14255,1,0,1,0
14258,3,1,1,1
14260,6,1,3,2
14261,4,1,2,1
14270,3,1,1,1
14271,1,1,1,0
14272,1,0,1,0
14275,11,4,5,3
14276,1,0,1,0
14280,2,1,0,1
14281,3,1,1,1
14283,1,0,0,1
14284,4,1,2,1
14300,13,3,5,6
14310,5,1,3,1
14340,1,1,0,0
14342,4,3,1,0
14351,1,1,0,0
14352,3,3,0,0
14366,1,1,0,0
14401,12,11,1,0
14402,2,0,1,1
14403,6,1,2,3
14404,1,0,0,1
14405,4,0,3,1
14406,2,0,1,1
14407,2,0,2,1
14409,1,0,0,1
14504,3,0,1,2
14513,12,4,8,3
14515,3,1,2,0
14520,1,1,0,0
14521,5,1,1,3
14525,5,2,2,2
14528,1,1,0,0
14530,5,1,1,3
14531,8,2,2,4
14532,1,0,1,0
14540,3,0,1,2
14541,2,1,0,1
14543,3,1,2,0
14550,1,0,1,0
14551,2,1,1,0
14552,3,0,3,0
14560,4,1,2,1
14561,1,1,0,0
14563,2,2,0,0
14570,5,3,2,1
14572,2,1,1,0
14573,3,0,3,1
14580,3,1,2,1
14583,2,1,1,0
14585,3,0,2,1
14590,1,0,1,0
14593,4,2,2,2
