u,u_b_user_agg_count_mean,u_b_user_agg_count_std,u_b_user_agg_count_max,u_b_user_agg_count_median,u_b_user_agg_amount_mean,u_b_user_agg_amount_std,u_b_user_agg_amount_max,u_b_user_agg_amount_median
781924,1.0,0.0,1,1,12.98,7.04,27.6,10.9
13325038116,1.0,0.0,1,1,10.7,4.2,14.9,14.9
13854627199,1.33,0.47,2,1,17.81,10.19,35.9,18.5
15963883482,2.17,1.07,4,2,6.13,3.22,9.9,7.2
15963885355,1.25,0.43,2,1,6.17,4.68,13.3,6.0
18654692914,1.67,0.47,2,2,19.7,19.52,47.2,8.0
18764569988,1.0,0.0,1,1,0.2,0.0,0.2,0.2
1590120464497,1.9,1.66,8,1,17.31,19.83,88.0,7.9
1590120718170,1.25,0.43,2,1,10.15,8.24,21.5,14.0
1590130640102,1.0,0.0,1,1,9.95,0.05,10.0,10.0
1590130817948,1.0,0.0,1,1,31.6,25.4,57.0,57.0
1590140304209,1.38,1.08,5,1,11.54,11.79,45.7,6.5
1590140304506,1.12,0.33,2,1,11.03,9.7,33.8,9.9
1590140305107,1.43,0.85,4,1,9.52,8.21,36.45,6.9
1590140306678,1.67,0.75,3,2,22.97,17.31,54.9,24.0
1590140307286,1.71,1.02,4,1,23.06,34.0,142.8,9.9
1590140307415,1.38,0.7,3,1,17.54,35.03,150.9,6.8
1590140307767,1.57,0.73,3,1,13.54,13.17,43.0,8.5
1590140307859,1.17,0.37,2,1,16.37,13.83,41.6,11.8
1590140308030,1.5,0.87,3,1,17.45,11.19,32.0,19.8
1590140308214,1.62,1.05,5,1,37.33,61.5,199.5,12.6
1590141216259,1.21,0.41,2,1,8.4,5.24,19.8,6.0
1590141414228,1.0,0.0,1,1,14.5,20.45,59.9,8.0
1590142128124,1.45,0.7,4,1,25.46,24.4,98.0,14.8
1590142129763,1.67,0.47,2,2,15.08,12.9,39.8,17.4
1590142148962,1.17,0.37,2,1,8.52,6.08,19.9,6.0
1590142149853,2.0,0.82,3,2,74.77,69.03,169.5,47.8
1590142150507,1.2,0.4,2,1,10.04,8.2,19.9,6.0
1590142151689,1.67,0.75,3,2,12.92,11.61,36.0,11.8
1590142152440,1.38,0.6,3,1,15.58,9.15,38.0,15.8
1590142176354,1.33,0.47,2,1,8.07,10.74,32.0,3.6
1590142176521,1.0,0.0,1,1,21.21,24.73,79.0,13.9
1590142179621,1.0,0.0,1,1,10.77,8.53,29.9,7.9
1590142191722,1.1,0.3,2,1,13.12,8.03,26.8,12.5
1590142194327,1.0,0.0,1,1,13.06,11.87,36.6,8.7
1590142197076,1.79,1.44,7,1,13.09,13.34,57.0,6.5
1590142201513,1.0,0.0,1,1,23.8,0.0,23.8,23.8
1590142202190,1.0,0.0,1,1,85.0,0.0,85.0,85.0
1590142203104,1.57,1.01,5,1,13.33,10.41,39.2,10.0
1590142203180,1.7,1.14,5,1,18.05,19.1,79.7,11.8
1590142203401,1.0,0.0,1,1,5.7,4.41,11.0,5.9
1590142204569,1.0,0.0,1,1,16.8,0.0,16.8,16.8
1590142205993,1.61,0.97,4,1,12.32,10.88,48.0,7.0
1590142206747,1.94,1.35,6,1,10.21,9.65,37.6,6.9
1590142213189,1.25,0.43,2,1,9.7,7.72,18.0,16.6
1590142213356,1.19,0.53,3,1,12.87,8.17,29.2,11.8
1590142213981,1.86,0.64,3,2,31.36,23.42,72.0,29.3
1590142215619,1.67,0.47,2,2,11.53,7.86,23.4,10.9
1590142456470,1.44,0.68,3,1,13.9,11.62,34.8,9.0
1590142477895,1.12,0.33,2,1,10.31,8.96,27.8,9.9
1590142514866,1.5,0.5,2,2,6.72,4.89,12.8,9.9
1590142516068,1.0,0.0,1,1,4.0,0.0,4.0,4.0
1590142516600,1.14,0.35,2,1,55.3,112.29,330.0,13.9
1590142517836,1.0,0.0,1,1,7.42,2.38,9.6,9.5
1590142518307,1.67,0.94,3,1,18.97,20.08,46.8,9.9
1590142519632,1.17,0.37,2,1,12.33,9.76,29.6,13.8
1590142520300,1.0,0.0,1,1,48.83,54.52,168.0,35.0
1590142648356,1.56,1.27,6,1,31.76,34.5,125.0,25.0
1590142751995,2.67,2.36,6,1,5.9,5.11,12.6,4.9
1590150321449,4.0,3.38,11,2,34.59,40.98,126.5,21.9
1590151076256,1.0,0.0,1,1,9.23,2.82,12.8,9.0
1590151210391,1.0,0.0,1,1,7.5,0.0,7.5,7.5
1590151321240,1.78,1.47,5,1,16.39,13.9,42.0,10.9
1590151363066,1.17,0.37,2,1,9.38,5.32,16.8,11.5
