u,u_b_agg_count_unique_max,u_b_agg_count_unique_median,u_b_agg_count_unique_mean,u_b_agg_count_unique_std
781924,8,0,2.6666666666666665,3.7712361663282534
13325038116,5,0,1.6666666666666667,2.357022603955158
13854627199,25,4,9.666666666666666,10.96458946893235
15963883482,6,4,3.3333333333333335,2.494438257849294
15963885355,10,3,4.333333333333333,4.189935029992178
18654692914,9,3,4.0,3.7416573867739413
18764569988,6,0,2.0,2.8284271247461903
1590120464497,27,18,20.0,5.0990195135927845
1590120718170,5,2,2.3333333333333335,2.0548046676563256
1590130640102,26,16,16.666666666666668,7.363574011458174
1590130817948,6,3,3.0,2.449489742783178
1590140304209,36,19,18.666666666666668,14.29063407348401
1590140304506,13,0,4.333333333333333,6.128258770283413
1590140305107,20,19,16.333333333333332,4.4969125210773475
1590140306678,10,4,5.333333333333333,3.39934634239519
1590140307286,20,7,10.666666666666666,6.649979114420002
1590140307415,15,6,7.0,6.164414002968976
1590140307767,19,10,9.666666666666666,7.760297817881877
1590140307859,8,4,4.0,3.265986323710904
1590140308030,13,0,4.333333333333333,6.128258770283413
1590140308214,18,11,11.666666666666666,4.921607686744467
1590141216259,8,6,4.666666666666667,3.39934634239519
1590141414228,5,1,2.0,2.160246899469287
1590142128124,18,16,13.666666666666666,4.784233364802441
1590142129763,12,7,6.333333333333333,4.9216076867444665
1590142148962,13,3,6.0,4.96655480858378
1590142149112,2,2,1.3333333333333333,0.9428090415820634
1590142149853,11,0,3.6666666666666665,5.185449728701348
1590142150507,12,0,4.0,5.656854249492381
1590142151689,7,4,3.6666666666666665,2.8674417556808756
1590142152440,9,6,6.666666666666667,1.699673171197595
1590142176354,14,0,4.666666666666667,6.599663291074443
1590142176521,11,2,4.333333333333333,4.784233364802441
1590142179621,16,7,9.666666666666666,4.4969125210773475
1590142191722,15,11,9.333333333333334,5.436502143433364
1590142194327,6,0,2.0,2.8284271247461903
1590142197076,17,9,9.333333333333334,6.128258770283412
1590142201513,2,0,0.6666666666666666,0.9428090415820634
1590142202190,3,1,1.3333333333333333,1.247219128924647
1590142203104,21,14,16.0,3.559026084010437
1590142203180,26,14,13.333333333333334,10.624918300339486
1590142203401,7,4,4.0,2.449489742783178
1590142204569,9,3,5.0,2.8284271247461903
1590142205993,17,16,11.0,7.788880963698615
1590142206747,22,0,7.333333333333333,10.370899457402697
1590142213189,9,0,3.0,4.242640687119285
1590142213356,14,10,11.333333333333334,1.8856180831641267
1590142213981,7,4,3.6666666666666665,2.8674417556808756
1590142215619,18,3,8.0,7.0710678118654755
1590142240482,2,1,1.0,0.816496580927726
1590142456470,7,7,4.666666666666667,3.299831645537222
1590142477895,8,0,2.6666666666666665,3.7712361663282534
1590142514866,9,0,3.0,4.242640687119285
1590142516068,3,0,1.0,1.4142135623730951
1590142516600,14,0,4.666666666666667,6.599663291074443
1590142517836,5,0,1.6666666666666667,2.357022603955158
1590142518307,10,9,6.333333333333333,4.4969125210773475
1590142519632,13,0,4.333333333333333,6.128258770283413
1590142520300,4,3,2.3333333333333335,1.699673171197595
1590142648356,13,8,8.0,4.08248290463863
1590142751995,4,0,1.3333333333333333,1.8856180831641267
1590150321449,10,4,6.0,2.8284271247461903
1590151076256,3,0,1.0,1.4142135623730951
1590151210391,17,0,5.666666666666667,8.013876853447538
1590151321240,18,6,9.0,6.48074069840786
1590151363066,12,3,5.0,5.0990195135927845
1590151428581,3,0,1.0,1.4142135623730951
1590151432557,21,4,8.333333333333334,9.104333522498441
1590151459721,12,4,6.333333333333333,4.0276819911981905
1590151464053,14,8,8.666666666666666,4.109609335312651
1590151467962,11,6,6.666666666666667,3.2998316455372216
1590151472027,34,27,25.0,8.286535263104035
1590151500423,7,3,3.3333333333333335,2.8674417556808756
1590151682891,20,0,6.666666666666667,9.428090415820632
