b,b_agg_user_max,b_agg_user_max_median,b_agg_user_max_mean,b_agg_user_max_std
10003.0,1.0,0.0,0.33,0.47
10007.0,9.0,8.0,7.67,1.25
10010.0,1.0,0.0,0.33,0.47
10012.0,4.0,2.0,2.33,1.25
10015.0,3.0,1.0,1.33,1.25
10033.0,7.0,2.0,3.67,2.36
10038.0,2.0,0.0,0.67,0.94
10043.0,1.0,0.0,0.33,0.47
10045.0,6.0,2.0,3.33,1.89
10047.0,2.0,0.0,0.67,0.94
10049.0,1.0,0.0,0.33,0.47
10053.0,1.0,1.0,0.67,0.47
10060.0,14.0,7.0,8.67,3.86
10062.0,10.0,9.0,9.33,0.47
10063.0,1.0,0.0,0.33,0.47
10064.0,8.0,2.0,4.0,2.83
10066.0,3.0,2.0,1.67,1.25
10068.0,6.0,3.0,4.0,1.41
10069.0,6.0,6.0,4.67,1.89
10075.0,1.0,0.0,0.33,0.47
10080.0,8.0,4.0,4.67,2.49
10083.0,2.0,1.0,1.0,0.82
10084.0,3.0,0.0,1.0,1.41
10085.0,1.0,0.0,0.33,0.47
10086.0,18.0,17.0,17.0,0.82
10087.0,1.0,0.0,0.33,0.47
10091.0,4.0,3.0,2.33,1.7
10094.0,6.0,2.0,3.0,2.16
10097.0,1.0,1.0,0.67,0.47
10098.0,2.0,0.0,0.67,0.94
10104.0,3.0,2.0,2.0,0.82
10106.0,11.0,7.0,7.0,3.27
10107.0,10.0,6.0,7.0,2.16
10109.0,2.0,2.0,1.67,0.47
10116.0,1.0,1.0,0.67,0.47
10119.0,1.0,0.0,0.33,0.47
10123.0,2.0,2.0,1.67,0.47
10124.0,4.0,3.0,3.0,0.82
10125.0,1.0,1.0,1.0,0.0
10127.0,3.0,0.0,1.0,1.41
10129.0,1.0,0.0,0.33,0.47
10130.0,1.0,0.0,0.33,0.47
10133.0,2.0,1.0,1.0,0.82
10137.0,1.0,1.0,0.67,0.47
10154.0,4.0,2.0,2.0,1.63
10161.0,1.0,1.0,0.67,0.47
10163.0,5.0,1.0,2.33,1.89
10185.0,1.0,0.0,0.33,0.47
10190.0,1.0,0.0,0.33,0.47
10198.0,3.0,0.0,1.0,1.41
10199.0,3.0,1.0,1.33,1.25
10208.0,1.0,0.0,0.33,0.47
10211.0,7.0,4.0,4.67,1.7
10214.0,1.0,0.0,0.33,0.47
10608.0,3.0,2.0,1.67,1.25
10616.0,2.0,0.0,0.67,0.94
10617.0,1.0,0.0,0.33,0.47
10624.0,2.0,1.0,1.0,0.82
10628.0,1.0,0.0,0.33,0.47
10632.0,3.0,2.0,2.0,0.82
10637.0,2.0,2.0,1.67,0.47
10652.0,3.0,2.0,2.33,0.47
10656.0,1.0,0.0,0.33,0.47
10659.0,4.0,3.0,2.67,1.25
10669.0,2.0,0.0,0.67,0.94
10676.0,1.0,0.0,0.33,0.47
10678.0,1.0,0.0,0.33,0.47
10679.0,3.0,1.0,1.67,0.94
10685.0,1.0,0.0,0.33,0.47
10691.0,1.0,0.0,0.33,0.47
10692.0,4.0,4.0,3.0,1.41
10697.0,1.0,1.0,0.67,0.47
10701.0,2.0,1.0,1.33,0.47
10702.0,1.0,1.0,0.67,0.47
10703.0,3.0,2.0,2.0,0.82
10704.0,1.0,0.0,0.33,0.47
10705.0,2.0,1.0,1.33,0.47
10706.0,16.0,15.0,13.0,3.56
10710.0,3.0,3.0,2.0,1.41
10714.0,2.0,1.0,1.0,0.82
10715.0,1.0,0.0,0.33,0.47
10717.0,1.0,0.0,0.33,0.47
10719.0,16.0,3.0,7.33,6.13
10721.0,1.0,0.0,0.33,0.47
10722.0,1.0,1.0,0.67,0.47
10724.0,10.0,7.0,7.0,2.45
10726.0,1.0,1.0,0.67,0.47
10727.0,1.0,1.0,0.67,0.47
10729.0,5.0,0.0,1.67,2.36
10730.0,1.0,0.0,0.33,0.47
10732.0,1.0,0.0,0.33,0.47
10741.0,2.0,0.0,0.67,0.94
11004.0,2.0,0.0,0.67,0.94
11006.0,1.0,0.0,0.33,0.47
11014.0,1.0,0.0,0.33,0.47
11026.0,7.0,3.0,4.0,2.16
11032.0,2.0,0.0,0.67,0.94
11036.0,10.0,5.0,5.67,3.3
11039.0,1.0,1.0,0.67,0.47
11046.0,1.0,0.0,0.33,0.47
11048.0,3.0,2.0,2.33,0.47
11049.0,1.0,0.0,0.33,0.47
11052.0,1.0,1.0,0.67,0.47
11057.0,4.0,2.0,2.33,1.25
11069.0,1.0,0.0,0.33,0.47
11075.0,1.0,1.0,0.67,0.47
11079.0,4.0,2.0,2.33,1.25
11081.0,1.0,1.0,0.67,0.47
11085.0,1.0,0.0,0.33,0.47
11091.0,1.0,0.0,0.33,0.47
11094.0,3.0,1.0,1.33,1.25
11097.0,1.0,0.0,0.33,0.47
11106.0,2.0,1.0,1.0,0.82
11107.0,1.0,0.0,0.33,0.47
11110.0,1.0,1.0,0.67,0.47
11112.0,2.0,0.0,0.67,0.94
11114.0,8.0,2.0,4.0,2.83
11115.0,1.0,1.0,0.67,0.47
11116.0,1.0,0.0,0.33,0.47
11119.0,1.0,0.0,0.33,0.47
11121.0,1.0,0.0,0.33,0.47
11123.0,3.0,2.0,2.0,0.82
11127.0,1.0,0.0,0.33,0.47
11128.0,2.0,2.0,1.67,0.47
11129.0,8.0,6.0,5.67,2.05
11130.0,1.0,1.0,1.0,0.0
11133.0,2.0,1.0,1.0,0.82
11137.0,1.0,0.0,0.33,0.47
11140.0,2.0,0.0,0.67,0.94
11144.0,2.0,1.0,1.0,0.82
11146.0,1.0,0.0,0.33,0.47
11148.0,1.0,0.0,0.33,0.47
11149.0,2.0,0.0,0.67,0.94
11150.0,1.0,1.0,0.67,0.47
11151.0,1.0,0.0,0.33,0.47
11154.0,6.0,4.0,4.0,1.63
11156.0,1.0,1.0,0.67,0.47
11159.0,6.0,3.0,4.0,1.41
11164.0,1.0,0.0,0.33,0.47
11165.0,1.0,1.0,0.67,0.47
11168.0,1.0,0.0,0.33,0.47
11201.0,1.0,1.0,0.67,0.47
11204.0,2.0,1.0,1.33,0.47
11209.0,1.0,1.0,0.67,0.47
