i,i_agg_user_max,i_agg_user_max_median,i_agg_user_max_mean,i_agg_user_max_std
10000000,2,1,1.0,0.82
10000003,1,0,0.33,0.47
10000004,1,1,0.67,0.47
10000005,1,0,0.33,0.47
10000006,6,3,3.33,2.05
10000007,1,1,1.0,0.0
10000009,2,2,1.33,0.94
10000010,1,0,0.33,0.47
10000011,4,4,3.0,1.41
10000012,1,1,1.0,0.0
10000015,4,2,2.33,1.25
10000016,2,0,0.67,0.94
10000017,1,0,0.33,0.47
10000025,1,0,0.33,0.47
10001002,1,0,0.33,0.47
10001003,5,0,1.67,2.36
10001006,2,1,1.33,0.47
10001007,1,1,0.67,0.47
10002000,1,0,0.33,0.47
10002003,1,0,0.33,0.47
10002004,2,1,1.0,0.82
10002005,1,0,0.33,0.47
10002006,1,0,0.33,0.47
10002009,1,1,0.67,0.47
10002015,1,0,0.33,0.47
10002017,1,0,0.33,0.47
10002020,3,0,1.0,1.41
10002025,1,0,0.33,0.47
10002026,1,0,0.33,0.47
10002027,1,1,0.67,0.47
10002030,1,1,0.67,0.47
10002031,1,1,0.67,0.47
10002034,1,0,0.33,0.47
10002040,1,0,0.33,0.47
10002041,3,0,1.0,1.41
10002043,1,0,0.33,0.47
10002044,1,0,0.33,0.47
10008001,1,0,0.33,0.47
10008003,1,0,0.33,0.47
10008007,1,1,0.67,0.47
10008008,1,0,0.33,0.47
10008009,1,0,0.33,0.47
10008011,2,0,0.67,0.94
10008012,2,0,0.67,0.94
10008013,2,0,0.67,0.94
10100005,1,0,0.33,0.47
10101000,1,0,0.33,0.47
10102002,3,0,1.0,1.41
10103003,2,0,0.67,0.94
10109002,1,0,0.33,0.47
10109004,3,0,1.0,1.41
10109009,2,0,0.67,0.94
10109016,1,0,0.33,0.47
10109021,2,0,0.67,0.94
10109026,1,0,0.33,0.47
10109027,1,0,0.33,0.47
10110000,1,1,1.0,0.0
10110010,1,0,0.33,0.47
10110016,4,1,2.0,1.41
10110017,2,1,1.0,0.82
10110018,1,0,0.33,0.47
10110020,1,0,0.33,0.47
10110025,1,0,0.33,0.47
10111000,1,1,0.67,0.47
10112003,2,0,0.67,0.94
10112005,1,0,0.33,0.47
10112007,1,0,0.33,0.47
10112009,1,0,0.33,0.47
10112014,1,0,0.33,0.47
10113000,2,0,0.67,0.94
10113005,1,0,0.33,0.47
10113006,1,0,0.33,0.47
10113007,2,0,0.67,0.94
10113011,3,0,1.0,1.41
10114000,2,2,1.67,0.47
10114004,1,0,0.33,0.47
10114005,2,0,0.67,0.94
10116000,2,1,1.0,0.82
10116015,2,0,0.67,0.94
10116016,1,0,0.33,0.47
10116017,1,0,0.33,0.47
10116021,1,0,0.33,0.47
10116022,2,1,1.0,0.82
10116023,2,0,0.67,0.94
10116025,4,1,1.67,1.7
10116026,2,1,1.0,0.82
10116027,1,1,0.67,0.47
10116028,1,0,0.33,0.47
10116030,1,0,0.33,0.47
10116031,1,1,0.67,0.47
10116032,2,2,1.33,0.94
10116034,4,1,1.67,1.7
10116039,3,0,1.0,1.41
10117000,4,0,1.33,1.89
10119010,1,0,0.33,0.47
10119012,2,1,1.33,0.47
10119013,2,1,1.33,0.47
10119019,7,1,2.67,3.09
10119020,4,0,1.33,1.89
10119022,1,0,0.33,0.47
10119024,1,1,0.67,0.47
10119026,1,0,0.33,0.47
10119028,1,1,0.67,0.47
10119033,2,1,1.0,0.82
10119038,1,0,0.33,0.47
10119043,1,0,0.33,0.47
10119044,1,1,0.67,0.47
10119047,1,0,0.33,0.47
10119049,1,0,0.33,0.47
10119051,1,0,0.33,0.47
10119052,1,0,0.33,0.47
10119054,1,0,0.33,0.47
10119055,1,0,0.33,0.47
10119060,1,0,0.33,0.47
10119074,1,1,0.67,0.47
10119078,1,0,0.33,0.47
10119079,1,1,0.67,0.47
10119081,3,1,1.33,1.25
10119082,1,1,0.67,0.47
10119083,1,0,0.33,0.47
10119085,1,1,0.67,0.47
10119086,2,0,0.67,0.94
10119089,1,0,0.33,0.47
10119090,2,0,0.67,0.94
10119100,1,0,0.33,0.47
10119101,3,1,1.67,0.94
10119102,5,2,2.67,1.7
10119126,1,0,0.33,0.47
10130002,2,1,1.33,0.47
10130006,1,0,0.33,0.47
10130007,2,0,0.67,0.94
10130008,1,0,0.33,0.47
10130009,1,0,0.33,0.47
10131002,2,0,0.67,0.94
10131007,2,1,1.0,0.82
10132000,1,0,0.33,0.47
10132001,2,2,1.67,0.47
10132005,1,0,0.33,0.47
10133001,1,0,0.33,0.47
10135000,2,0,0.67,0.94
10135001,1,0,0.33,0.47
10135002,1,1,1.0,0.0
10135008,1,0,0.33,0.47
10136000,2,0,0.67,0.94
10136001,1,1,0.67,0.47
10136004,1,0,0.33,0.47
10136005,1,0,0.33,0.47
10136006,1,0,0.33,0.47
10136008,2,2,1.67,0.47
10137009,2,2,1.67,0.47
10137010,1,0,0.33,0.47
10137011,2,1,1.0,0.82
10137012,2,2,1.33,0.94
10140002,5,4,3.67,1.25
10140003,1,0,0.33,0.47
10140005,1,0,0.33,0.47
10140006,2,0,0.67,0.94
10141000,1,1,0.67,0.47
10141002,1,1,0.67,0.47
10141004,1,0,0.33,0.47
10141005,1,1,1.0,0.0
10141006,3,0,1.0,1.41
10141007,1,1,0.67,0.47
10141012,1,1,0.67,0.47
10141014,1,0,0.33,0.47
10141019,1,1,0.67,0.47
10141020,1,0,0.33,0.47
10141021,2,0,0.67,0.94
10141023,1,1,0.67,0.47
10141025,2,2,1.67,0.47
10141026,2,0,0.67,0.94
10141030,3,3,2.67,0.47
10141038,4,3,2.67,1.25
10141039,3,1,1.67,0.94
10141040,4,1,1.67,1.7
10141041,2,2,1.67,0.47
10141042,5,4,3.33,1.7
10141044,2,2,1.33,0.94
10141045,1,0,0.33,0.47
10141046,3,3,2.0,1.41
10141047,1,0,0.33,0.47
10141048,2,0,0.67,0.94
10141049,1,0,0.33,0.47
10141056,1,0,0.33,0.47
10141063,1,0,0.33,0.47
10141070,1,1,0.67,0.47
10141071,2,2,1.33,0.94
10141072,2,1,1.0,0.82
10141080,2,0,0.67,0.94
10150003,1,0,0.33,0.47
10150004,3,2,2.0,0.82
10150006,5,1,2.0,2.16
10150007,1,0,0.33,0.47
10150009,1,0,0.33,0.47
10150010,1,0,0.33,0.47
10150012,2,0,0.67,0.94
10150015,2,0,0.67,0.94
10150016,4,2,2.33,1.25
10150017,1,0,0.33,0.47
10150018,1,0,0.33,0.47
10150019,2,1,1.0,0.82
10150020,1,1,0.67,0.47
10150021,1,1,0.67,0.47
10150022,2,0,0.67,0.94
10150023,2,0,0.67,0.94
10150024,1,0,0.33,0.47
10150025,1,0,0.33,0.47
10150026,1,0,0.33,0.47
10150035,1,0,0.33,0.47
10150036,1,0,0.33,0.47
10150037,1,0,0.33,0.47
10150038,1,0,0.33,0.47
10150040,1,0,0.33,0.47
10150041,1,0,0.33,0.47
10150046,1,1,0.67,0.47
10150047,1,0,0.33,0.47
10151001,1,1,0.67,0.47
10151002,7,2,3.33,2.62
10152002,1,0,0.33,0.47
10152007,1,0,0.33,0.47
10152011,2,0,0.67,0.94
10152012,1,0,0.33,0.47
10152013,5,0,1.67,2.36
10152021,1,0,0.33,0.47
10152024,1,0,0.33,0.47
10153004,1,0,0.33,0.47
10200003,1,0,0.33,0.47
10200004,1,0,0.33,0.47
10200006,1,0,0.33,0.47
10200011,1,0,0.33,0.47
10200012,1,0,0.33,0.47
10200019,1,0,0.33,0.47
10200021,2,0,0.67,0.94
10200025,1,0,0.33,0.47
10200034,1,0,0.33,0.47
10200035,1,0,0.33,0.47
10200036,2,0,0.67,0.94
10200038,1,0,0.33,0.47
10200040,1,0,0.33,0.47
10200042,1,0,0.33,0.47
10201000,2,0,0.67,0.94
10201001,1,0,0.33,0.47
10201004,1,0,0.33,0.47
10201006,1,0,0.33,0.47
10201007,2,1,1.33,0.47
10201010,1,0,0.33,0.47
10201014,2,1,1.0,0.82
10201015,1,1,0.67,0.47
10201016,3,2,2.0,0.82
10201021,1,0,0.33,0.47
10201022,1,0,0.33,0.47
10201023,1,0,0.33,0.47
10201029,1,0,0.33,0.47
10201030,2,2,1.67,0.47
10202001,1,0,0.33,0.47
10300011,1,0,0.33,0.47
10300019,2,0,0.67,0.94
10300021,1,0,0.33,0.47
10300026,1,0,0.33,0.47
10300030,1,0,0.33,0.47
10300037,2,0,0.67,0.94
10300042,1,1,0.67,0.47
10300043,1,0,0.33,0.47
10300044,1,0,0.33,0.47
10300052,1,0,0.33,0.47
10300070,1,0,0.33,0.47
10309001,2,2,1.33,0.94
10310001,1,0,0.33,0.47
10310021,1,0,0.33,0.47
