c,c_user_agg_count_mean,c_user_agg_count_std,c_user_agg_count_max,c_user_agg_count_median,c_user_agg_amount_mean,c_user_agg_amount_std,c_user_agg_amount_max,c_user_agg_amount_median
10000,1.78,1.17,6,1,7.64,6.09,32.4,6.2
10001,1.3,0.9,4,1,9.04,6.01,24.8,9.9
10002,1.53,0.82,4,1,10.28,9.99,38.4,6.5
10008,1.88,1.62,6,1,11.0,7.74,29.6,6.8
10100,1.0,0.0,1,1,16.8,0.0,16.8,16.8
10101,1.0,0.0,1,1,11.9,0.0,11.9,11.9
10102,1.0,0.0,1,1,14.8,0.0,14.8,14.8
10103,1.0,0.0,1,1,14.5,0.0,14.5,14.5
10109,1.22,0.42,2,1,19.98,6.36,33.6,16.8
10110,1.27,0.57,3,1,7.13,3.32,13.0,6.5
10111,1.0,0.0,1,1,6.8,0.0,6.8,6.8
10112,1.0,0.0,1,1,6.9,3.05,11.8,8.2
10113,1.29,0.7,3,1,10.5,11.12,36.4,6.5
10114,1.43,0.73,3,1,6.54,3.38,13.5,5.9
10116,1.5,0.81,4,1,12.66,15.34,87.5,7.8
10117,1.0,0.0,1,1,2.5,0.0,2.5,2.5
10119,1.44,0.68,3,1,14.64,14.54,79.2,9.9
10130,1.0,0.0,1,1,4.46,1.02,5.5,3.9
10131,1.25,0.43,2,1,6.03,2.96,11.0,5.5
10132,1.33,0.75,3,1,4.07,1.88,7.5,3.9
10133,1.0,0.0,1,1,6.0,0.0,6.0,6.0
10135,2.8,1.6,5,3,8.72,5.53,17.5,8.7
10136,2.0,2.0,7,1,18.41,20.16,64.8,7.5
10137,1.17,0.37,2,1,5.83,2.24,12.0,6.0
10140,1.53,0.81,4,1,3.04,2.2,10.0,3.0
10141,2.22,2.27,16,2,14.45,38.55,303.6,6.0
10150,1.83,1.19,6,2,6.36,3.25,17.4,6.0
10151,2.1,0.83,4,2,19.1,11.41,42.0,13.0
10152,2.0,1.25,4,1,11.23,6.53,19.8,10.0
10153,1.0,0.0,1,1,6.8,0.0,6.8,6.8
10200,1.58,0.86,4,1,8.3,4.53,15.8,7.6
10201,2.68,2.88,13,1,22.83,27.95,96.0,11.9
10202,1.0,0.0,1,1,5.5,0.0,5.5,5.5
10300,2.0,1.34,4,1,35.53,35.97,108.0,24.0
10309,2.0,1.41,4,1,6.6,4.67,13.2,3.3
10310,1.5,0.5,2,2,12.8,3.0,15.8,15.8
10312,3.0,0.0,3,3,23.7,0.0,23.7,23.7
10319,1.0,0.0,1,1,9.9,0.0,9.9,9.9
10400,1.0,0.0,1,1,300.0,0.0,300.0,300.0
10401,1.44,0.68,3,1,54.37,97.76,327.0,15.8
10410,1.0,0.0,1,1,7.7,0.2,7.9,7.9
10411,1.0,0.0,1,1,22.5,0.0,22.5,22.5
