i,i_user_agg_count_mean,i_user_agg_count_std,i_user_agg_count_max,i_user_agg_count_median,i_user_agg_amount_mean,i_user_agg_amount_std,i_user_agg_amount_max,i_user_agg_amount_median
10000000,1.0,0.0,1,1,10.8,0.0,10.8,10.8
10000003,1.0,0.0,1,1,5.9,0.0,5.9,5.9
10000004,2.0,0.0,2,2,11.6,0.0,11.6,11.6
10000005,1.0,0.0,1,1,2.0,0.0,2.0,2.0
10000006,1.56,1.07,4,1,4.2,2.88,10.8,2.7
10000007,2.0,0.0,2,2,9.0,0.0,9.0,9.0
10000009,1.0,0.0,1,1,6.2,0.3,6.5,6.5
10000010,1.0,0.0,1,1,6.2,0.0,6.2,6.2
10000011,1.25,0.43,2,1,3.38,1.17,5.4,2.7
10000012,1.5,0.5,2,2,16.2,5.4,21.6,21.6
10000015,2.0,2.0,6,1,5.4,5.4,16.2,2.7
10000016,1.0,0.0,1,1,3.8,0.0,3.8,3.8
10000017,1.0,0.0,1,1,8.8,0.0,8.8,8.8
10000025,1.0,0.0,1,1,3.0,0.0,3.0,3.0
10001002,1.0,0.0,1,1,4.5,0.0,4.5,4.5
10001003,1.0,0.0,1,1,9.9,0.0,9.9,9.9
10001006,2.5,1.5,4,4,15.5,9.3,24.8,24.8
10001007,1.0,0.0,1,1,2.7,0.0,2.7,2.7
10002000,1.0,0.0,1,1,4.5,0.0,4.5,4.5
10002003,1.0,0.0,1,1,2.2,0.0,2.2,2.2
10002004,1.0,0.0,1,1,7.8,0.0,7.8,7.8
10002005,1.0,0.0,1,1,7.8,0.0,7.8,7.8
10002006,1.0,0.0,1,1,10.8,0.0,10.8,10.8
10002009,1.0,0.0,1,1,7.8,0.0,7.8,7.8
10002015,1.0,0.0,1,1,4.0,0.0,4.0,4.0
10002017,1.0,0.0,1,1,5.8,0.0,5.8,5.8
10002020,1.0,0.0,1,1,2.7,0.0,2.7,2.7
10002025,1.0,0.0,1,1,2.7,0.0,2.7,2.7
10002026,1.0,0.0,1,1,15.0,0.0,15.0,15.0
10002027,1.0,0.0,1,1,15.0,0.0,15.0,15.0
10002030,2.0,0.0,2,2,7.6,0.0,7.6,7.6
10002031,1.0,0.0,1,1,3.0,0.0,3.0,3.0
10002034,1.0,0.0,1,1,2.7,0.0,2.7,2.7
10002040,1.0,0.0,1,1,3.8,0.0,3.8,3.8
10002041,1.0,0.0,1,1,3.8,0.0,3.8,3.8
10002043,1.0,0.0,1,1,17.0,0.0,17.0,17.0
10002044,1.0,0.0,1,1,17.0,0.0,17.0,17.0
10008001,4.0,0.0,4,4,16.0,0.0,16.0,16.0
10008003,1.0,0.0,1,1,4.0,0.0,4.0,4.0
10008007,1.0,0.0,1,1,6.8,0.0,6.8,6.8
10008008,1.0,0.0,1,1,6.8,0.0,6.8,6.8
10008009,1.0,0.0,1,1,6.8,0.0,6.8,6.8
10008011,1.0,0.0,1,1,6.8,0.0,6.8,6.8
10008012,1.0,0.0,1,1,6.8,0.0,6.8,6.8
10008013,1.0,0.0,1,1,6.8,0.0,6.8,6.8
10100005,1.0,0.0,1,1,16.8,0.0,16.8,16.8
10101000,1.0,0.0,1,1,11.9,0.0,11.9,11.9
10102002,1.0,0.0,1,1,14.8,0.0,14.8,14.8
10103003,1.0,0.0,1,1,14.5,0.0,14.5,14.5
10109002,1.0,0.0,1,1,11.9,0.0,11.9,11.9
10109004,1.0,0.0,1,1,16.8,0.0,16.8,16.8
10109009,1.0,0.0,1,1,16.8,0.0,16.8,16.8
10109016,1.0,0.0,1,1,21.3,0.0,21.3,21.3
10109021,1.0,0.0,1,1,14.5,0.0,14.5,14.5
10109026,1.0,0.0,1,1,16.8,0.0,16.8,16.8
10109027,1.0,0.0,1,1,16.8,0.0,16.8,16.8
10110000,1.5,0.5,2,2,6.75,2.25,9.0,9.0
10110010,1.0,0.0,1,1,11.8,0.0,11.8,11.8
10110016,1.17,0.37,2,1,8.67,3.06,13.0,6.5
10110017,1.67,0.94,3,1,4.83,2.73,8.7,2.9
10110018,1.0,0.0,1,1,4.9,0.0,4.9,4.9
10110020,1.0,0.0,1,1,2.7,0.0,2.7,2.7
10110025,1.0,0.0,1,1,7.6,0.0,7.6,7.6
10111000,1.0,0.0,1,1,6.8,0.0,6.8,6.8
10112003,1.0,0.0,1,1,8.2,0.0,8.2,8.2
10112005,1.0,0.0,1,1,11.8,0.0,11.8,11.8
10112007,1.0,0.0,1,1,2.5,0.0,2.5,2.5
10112009,1.0,0.0,1,1,6.8,0.0,6.8,6.8
10112014,1.0,0.0,1,1,3.9,0.0,3.9,3.9
10113000,1.0,0.0,1,1,15.75,11.25,27.0,27.0
10113005,1.0,0.0,1,1,2.9,0.0,2.9,2.9
10113006,1.0,0.0,1,1,13.8,0.0,13.8,13.8
10113007,1.0,0.0,1,1,2.9,0.0,2.9,2.9
10113011,1.0,0.0,1,1,6.5,0.0,6.5,6.5
10114000,1.75,0.83,3,2,7.88,3.73,13.5,9.0
10114004,1.0,0.0,1,1,2.5,0.0,2.5,2.5
10114005,1.0,0.0,1,1,5.9,0.0,5.9,5.9
10116000,1.33,0.47,2,1,30.0,36.06,81.0,4.5
10116015,1.0,0.0,1,1,8.8,0.0,8.8,8.8
10116016,1.0,0.0,1,1,11.5,0.0,11.5,11.5
10116017,1.0,0.0,1,1,11.5,0.0,11.5,11.5
10116021,1.0,0.0,1,1,6.99,0.0,6.99,6.99
10116022,1.0,0.0,1,1,7.8,0.0,7.8,7.8
10116023,1.0,0.0,1,1,7.8,0.0,7.8,7.8
10116025,1.25,0.43,2,1,9.14,3.28,14.79,7.8
10116026,1.0,0.0,1,1,10.86,1.32,11.8,11.8
10116027,1.0,0.0,1,1,10.39,1.41,11.8,11.8
10116028,1.0,0.0,1,1,11.8,0.0,11.8,11.8
10116030,1.0,0.0,1,1,2.6,0.0,2.6,2.6
10116031,2.0,1.0,3,3,5.2,2.6,7.8,7.8
10116032,1.0,0.0,1,1,2.6,0.0,2.6,2.6
10116034,1.0,0.0,1,1,7.8,0.0,7.8,7.8
