b,b_count_all,b_count_2,b_count_3,b_count_4,b_amount_all,b_amount_2,b_amount_3,b_amount_4
10003.0,3.0,1.0,1.0,1.0,20.5,3.5,5.0,12.0
10005.0,1.0,0.0,1.0,0.0,11.0,0.0,11.0,0.0
10007.0,27.0,10.0,8.0,9.0,98.69999999999999,34.8,34.3,29.599999999999998
10012.0,6.0,5.0,0.0,1.0,268.0,230.0,0.0,38.0
10015.0,6.0,0.0,5.0,1.0,25.0,0.0,21.5,3.5
10029.0,4.0,0.0,0.0,4.0,16.2,0.0,0.0,16.2
10033.0,24.0,0.0,11.0,13.0,144.0,0.0,66.0,78.0
10036.0,1.0,1.0,0.0,0.0,10.0,10.0,0.0,0.0
10038.0,1.0,1.0,0.0,0.0,16.2,16.2,0.0,0.0
10045.0,22.0,9.0,3.0,10.0,191.10000000000005,57.5,35.6,98.00000000000001
10053.0,9.0,1.0,1.0,7.0,26.099999999999994,2.9,2.9,20.299999999999997
10054.0,1.0,0.0,1.0,0.0,158.0,0.0,158.0,0.0
10060.0,73.0,25.0,32.0,16.0,214.6600000000001,84.27999999999999,85.17999999999998,45.199999999999996
10062.0,32.0,9.0,13.0,10.0,148.2,47.0,48.6,52.600000000000016
10063.0,4.0,1.0,3.0,0.0,9.8,2.7,7.1000000000000005,0.0
10064.0,17.0,5.0,8.0,4.0,48.400000000000006,13.5,22.3,12.600000000000001
10068.0,66.0,41.0,7.0,18.0,184.29999999999995,114.39999999999998,24.0,45.90000000000001
10069.0,17.0,5.0,10.0,2.0,68.0,18.599999999999998,42.0,7.4
10078.0,1.0,1.0,0.0,0.0,32.8,32.8,0.0,0.0
10080.0,26.0,11.0,9.0,6.0,90.60000000000001,37.699999999999996,30.999999999999993,21.9
10082.0,17.0,0.0,5.0,12.0,146.2,0.0,43.0,103.2
10084.0,1.0,0.0,0.0,1.0,11.0,0.0,0.0,11.0
10086.0,86.0,15.0,35.0,36.0,363.7000000000001,70.8,161.10000000000002,131.8
10091.0,55.0,35.0,12.0,8.0,335.5,226.5,60.0,49.0
10094.0,13.0,3.0,6.0,4.0,63.29000000000001,8.7,31.79,22.8
10097.0,2.0,0.0,0.0,2.0,21.700000000000003,0.0,0.0,21.700000000000003
10098.0,1.0,0.0,0.0,1.0,79.9,0.0,0.0,79.9
10104.0,10.0,10.0,0.0,0.0,220.0,220.0,0.0,0.0
10106.0,67.0,8.0,45.0,14.0,290.90000000000003,37.4,192.39999999999998,61.1
10107.0,31.0,10.0,7.0,14.0,82.69999999999999,19.5,15.3,47.9
10109.0,4.0,0.0,0.0,4.0,16.4,0.0,0.0,16.4
10119.0,1.0,0.0,0.0,1.0,8.0,0.0,0.0,8.0
10120.0,3.0,3.0,0.0,0.0,8.2,8.2,0.0,0.0
10123.0,2.0,2.0,0.0,0.0,7.38,7.38,0.0,0.0
10124.0,16.0,13.0,1.0,2.0,62.49999999999999,42.8,2.8,16.9
10125.0,11.0,1.0,0.0,10.0,19.7,3.0,0.0,16.7
10127.0,23.0,14.0,9.0,0.0,48.0,28.0,20.0,0.0
10128.0,12.0,4.0,8.0,0.0,48.0,16.0,32.0,0.0
10129.0,2.0,2.0,0.0,0.0,3.0,3.0,0.0,0.0
10130.0,2.0,2.0,0.0,0.0,46.0,46.0,0.0,0.0
10148.0,70.0,18.0,52.0,0.0,70.0,18.0,52.0,0.0
10154.0,2.0,1.0,1.0,0.0,7.8,3.9,3.9,0.0
10161.0,8.0,4.0,4.0,0.0,32.3,22.0,10.3,0.0
10163.0,11.0,6.0,2.0,3.0,35.9,19.299999999999997,8.5,8.100000000000001
10164.0,6.0,0.0,0.0,6.0,27.2,0.0,0.0,27.2
10194.0,3.0,1.0,0.0,2.0,27.6,6.8,0.0,20.8
10198.0,4.0,0.0,2.0,2.0,15.6,0.0,7.6,8.0
10199.0,34.0,2.0,3.0,29.0,62.89999999999999,3.6,7.1,52.19999999999999
10211.0,28.0,13.0,12.0,3.0,112.61000000000001,55.470000000000006,45.65,11.49
10608.0,11.0,2.0,0.0,9.0,38.53000000000001,9.8,0.0,28.729999999999997
10614.0,10.0,10.0,0.0,0.0,45.0,45.0,0.0,0.0
10616.0,1.0,0.0,1.0,0.0,13.0,0.0,13.0,0.0
10619.0,4.0,0.0,0.0,4.0,31.6,0.0,0.0,31.6
10624.0,4.0,2.0,2.0,0.0,41.2,23.6,17.6,0.0
10632.0,10.0,2.0,4.0,4.0,124.0,19.0,50.0,55.0
10652.0,31.0,0.0,2.0,29.0,67.0,0.0,6.0,61.0
10656.0,4.0,0.0,0.0,4.0,13.2,0.0,0.0,13.2
10657.0,1.0,0.0,1.0,0.0,3.8,0.0,3.8,0.0
10659.0,21.0,11.0,5.0,5.0,63.8,33.8,15.0,15.0
10679.0,4.0,2.0,0.0,2.0,35.6,19.8,0.0,15.8
10681.0,2.0,0.0,0.0,2.0,15.8,0.0,0.0,15.8
10684.0,17.0,0.0,17.0,0.0,17.0,0.0,17.0,0.0
10691.0,1.0,1.0,0.0,0.0,5.5,5.5,0.0,0.0
10694.0,1.0,1.0,0.0,0.0,9.9,9.9,0.0,0.0
10697.0,1.0,0.0,1.0,0.0,5.0,0.0,5.0,0.0
10702.0,8.0,4.0,4.0,0.0,32.0,16.0,16.0,0.0
10703.0,2.0,1.0,1.0,0.0,11.0,5.5,5.5,0.0
10706.0,110.0,24.0,39.0,47.0,1265.9999999999984,271.80000000000007,402.4,591.8
10710.0,3.0,2.0,1.0,0.0,17.4,11.6,5.8,0.0
10713.0,1.0,0.0,1.0,0.0,48.0,0.0,48.0,0.0
10714.0,3.0,0.0,3.0,0.0,45.0,0.0,45.0,0.0
10715.0,1.0,0.0,1.0,0.0,25.5,0.0,25.5,0.0
10719.0,2.0,0.0,1.0,1.0,17.8,0.0,12.8,5.0
10721.0,6.0,0.0,0.0,6.0,1110.0,0.0,0.0,1110.0
10722.0,1.0,0.0,0.0,1.0,28.0,0.0,0.0,28.0
10724.0,5.0,4.0,1.0,0.0,36.99,29.39,7.6,0.0
10727.0,2.0,1.0,0.0,1.0,9.5,4.5,0.0,5.0
10729.0,6.0,3.0,1.0,2.0,39.0,19.5,6.5,13.0
10730.0,3.0,0.0,3.0,0.0,14.3,0.0,14.3,0.0
10731.0,3.0,2.0,1.0,0.0,8.0,5.0,3.0,0.0
10741.0,1.0,0.0,0.0,1.0,5.8,0.0,0.0,5.8
11003.0,2.0,0.0,0.0,2.0,41.0,0.0,0.0,41.0
11006.0,1.0,1.0,0.0,0.0,8.8,8.8,0.0,0.0
11008.0,2.0,2.0,0.0,0.0,69.0,69.0,0.0,0.0
11026.0,14.0,2.0,2.0,10.0,529.4,39.9,31.799999999999997,457.7
11027.0,1.0,0.0,0.0,1.0,32.0,0.0,0.0,32.0
11032.0,3.0,2.0,1.0,0.0,14.700000000000001,9.8,4.9,0.0
11036.0,2.0,1.0,1.0,0.0,37.8,4.9,32.9,0.0
11046.0,1.0,0.0,1.0,0.0,9.8,0.0,9.8,0.0
11048.0,9.0,0.0,2.0,7.0,100.20000000000002,0.0,17.7,82.5
11049.0,13.0,9.0,1.0,3.0,118.67999999999999,91.0,6.9,20.78
11051.0,3.0,1.0,2.0,0.0,45.2,21.8,23.4,0.0
11055.0,2.0,0.0,1.0,1.0,304.0,0.0,152.0,152.0
11057.0,3.0,0.0,2.0,1.0,34.0,0.0,17.8,16.2
11067.0,1.0,1.0,0.0,0.0,118.0,118.0,0.0,0.0
11072.0,1.0,1.0,0.0,0.0,17.9,17.9,0.0,0.0
11079.0,13.0,2.0,4.0,7.0,125.80000000000003,13.600000000000001,40.3,71.89999999999999
11092.0,1.0,0.0,1.0,0.0,16.9,0.0,16.9,0.0
11093.0,5.0,0.0,4.0,1.0,103.5,0.0,87.6,15.9
11094.0,5.0,1.0,3.0,1.0,52.6,14.9,30.200000000000003,7.5
11097.0,3.0,1.0,0.0,2.0,66.0,18.9,0.0,47.099999999999994
11098.0,1.0,1.0,0.0,0.0,15.5,15.5,0.0,0.0
