b,c,b_c_count_all,b_c_count_2,b_c_count_3,b_c_count_4,b_c_amount_all,b_c_amount_2,b_c_amount_3,b_c_amount_4
10003.0,10116,1.0,0.0,0.0,1.0,12.0,0.0,0.0,12.0
10003.0,10119,2.0,1.0,1.0,0.0,8.5,3.5,5.0,0.0
10005.0,10502,1.0,0.0,1.0,0.0,11.0,0.0,11.0,0.0
10007.0,10000,23.0,9.0,8.0,6.0,88.30000000000001,32.199999999999996,34.3,21.799999999999997
10007.0,10116,4.0,1.0,0.0,3.0,10.4,2.6,0.0,7.800000000000001
10012.0,10441,6.0,5.0,0.0,1.0,268.0,230.0,0.0,38.0
10015.0,10136,6.0,0.0,5.0,1.0,25.0,0.0,21.5,3.5
10029.0,10300,4.0,0.0,0.0,4.0,16.2,0.0,0.0,16.2
10033.0,10151,24.0,0.0,11.0,13.0,144.0,0.0,66.0,78.0
10036.0,10502,1.0,1.0,0.0,0.0,10.0,10.0,0.0,0.0
10038.0,10401,1.0,1.0,0.0,0.0,16.2,16.2,0.0,0.0
10045.0,10100,8.0,6.0,0.0,2.0,60.0,32.3,0.0,27.700000000000003
10045.0,10102,1.0,0.0,1.0,0.0,15.8,0.0,15.8,0.0
10045.0,10103,3.0,1.0,0.0,2.0,19.4,3.5,0.0,15.9
10045.0,10109,1.0,0.0,0.0,1.0,11.9,0.0,0.0,11.9
10045.0,10110,1.0,0.0,0.0,1.0,14.9,0.0,0.0,14.9
10045.0,10112,5.0,2.0,0.0,3.0,39.4,21.7,0.0,17.700000000000003
10045.0,10119,3.0,0.0,2.0,1.0,29.700000000000003,0.0,19.8,9.9
10053.0,10141,9.0,1.0,1.0,7.0,26.099999999999994,2.9,2.9,20.299999999999997
10054.0,10400,1.0,0.0,1.0,0.0,158.0,0.0,158.0,0.0
10060.0,10110,1.0,0.0,1.0,0.0,2.5,0.0,2.5,0.0
10060.0,10114,3.0,1.0,1.0,1.0,7.5,2.5,2.5,2.5
10060.0,10117,4.0,1.0,3.0,0.0,10.0,2.5,7.5,0.0
10060.0,10119,1.0,1.0,0.0,0.0,2.5,2.5,0.0,0.0
10060.0,10130,15.0,3.0,8.0,4.0,47.3,11.7,25.6,10.0
10060.0,10131,20.0,12.0,4.0,4.0,71.16,44.97999999999999,12.38,13.8
10060.0,10132,21.0,6.0,8.0,7.0,66.5,19.2,28.4,18.9
10060.0,10141,8.0,1.0,7.0,0.0,7.200000000000001,0.9,6.300000000000001,0.0
10062.0,10000,30.0,9.0,12.0,9.0,141.00000000000006,47.0,47.60000000000001,46.400000000000006
10062.0,10002,1.0,0.0,0.0,1.0,6.2,0.0,0.0,6.2
10062.0,10141,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
10063.0,10002,4.0,1.0,3.0,0.0,9.8,2.7,7.1000000000000005,0.0
10064.0,10001,14.0,5.0,5.0,4.0,41.4,13.5,15.3,12.600000000000001
10064.0,10002,3.0,0.0,3.0,0.0,7.0,0.0,7.0,0.0
10068.0,10000,12.0,0.0,4.0,8.0,34.6,0.0,12.0,22.6
10068.0,10141,9.0,0.0,2.0,7.0,24.600000000000005,0.0,8.0,16.599999999999998
10068.0,10300,45.0,41.0,1.0,3.0,125.09999999999998,114.39999999999999,4.0,6.699999999999999
10069.0,10150,17.0,5.0,10.0,2.0,68.0,18.599999999999998,42.0,7.4
10078.0,10441,1.0,1.0,0.0,0.0,32.8,32.8,0.0,0.0
10080.0,10110,15.0,6.0,4.0,5.0,47.09999999999999,17.4,11.6,18.1
10080.0,10113,7.0,3.0,4.0,0.0,28.299999999999997,12.7,15.6,0.0
10080.0,10200,4.0,2.0,1.0,1.0,15.2,7.6,3.8,3.8
10082.0,10401,17.0,0.0,5.0,12.0,146.2,0.0,43.0,103.2
10084.0,10401,1.0,0.0,0.0,1.0,11.0,0.0,0.0,11.0
10086.0,10119,6.0,0.0,3.0,3.0,27.5,0.0,14.0,13.5
10086.0,10130,3.0,1.0,0.0,2.0,18.0,6.0,0.0,12.0
10086.0,10131,6.0,1.0,4.0,1.0,33.6,6.0,21.6,6.0
10086.0,10132,8.0,1.0,4.0,3.0,44.400000000000006,6.0,20.400000000000002,18.0
10086.0,10133,7.0,0.0,3.0,4.0,40.8,0.0,16.8,24.0
10086.0,10141,44.0,7.0,17.0,20.0,155.9,34.8,73.8,47.3
10086.0,10150,12.0,5.0,4.0,3.0,43.5,18.0,14.5,11.0
10091.0,10300,55.0,35.0,12.0,8.0,335.5,226.5,60.0,49.0
10094.0,10141,2.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0
10094.0,10152,10.0,1.0,5.0,4.0,54.30000000000001,4.7,26.8,22.8
10094.0,10200,1.0,0.0,1.0,0.0,4.99,0.0,4.99,0.0
10097.0,10422,2.0,0.0,0.0,2.0,21.700000000000003,0.0,0.0,21.700000000000003
10098.0,10401,1.0,0.0,0.0,1.0,79.9,0.0,0.0,79.9
10104.0,10501,10.0,10.0,0.0,0.0,220.0,220.0,0.0,0.0
10106.0,10130,16.0,2.0,7.0,7.0,74.5,11.0,30.400000000000002,33.1
10106.0,10131,4.0,2.0,2.0,0.0,21.4,10.4,11.0,0.0
10106.0,10132,1.0,0.0,1.0,0.0,5.5,0.0,5.5,0.0
10106.0,10137,5.0,0.0,2.0,3.0,24.0,0.0,12.0,12.0
10106.0,10150,40.0,4.0,32.0,4.0,160.0,16.0,128.0,16.0
10106.0,10200,1.0,0.0,1.0,0.0,5.5,0.0,5.5,0.0
10107.0,10002,3.0,1.0,2.0,0.0,9.8,3.0,6.8,0.0
10107.0,10131,1.0,0.0,0.0,1.0,2.5,0.0,0.0,2.5
10107.0,10140,19.0,7.0,3.0,9.0,28.5,10.5,4.5,13.5
10107.0,10141,8.0,2.0,2.0,4.0,41.9,6.0,4.0,31.9
10109.0,10136,4.0,0.0,0.0,4.0,16.4,0.0,0.0,16.4
10119.0,10300,1.0,0.0,0.0,1.0,8.0,0.0,0.0,8.0
10120.0,10300,3.0,3.0,0.0,0.0,8.2,8.2,0.0,0.0
10123.0,10201,2.0,2.0,0.0,0.0,7.38,7.38,0.0,0.0
10124.0,10119,4.0,3.0,1.0,0.0,11.2,8.399999999999999,2.8,0.0
10124.0,10201,12.0,10.0,0.0,2.0,51.300000000000004,34.400000000000006,0.0,16.9
10125.0,10119,1.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0
