u,c,u_c_count_all,u_c_count_2,u_c_count_3,u_c_count_4,u_c_amount_all,u_c_amount_2,u_c_amount_3,u_c_amount_4
781924,10113,1.0,1.0,0.0,0.0,6.8,6.8,0.0,0.0
781924,11302,1.0,0.0,0.0,1.0,10.8,0.0,0.0,10.8
781924,11532,1.0,0.0,1.0,0.0,3.5,0.0,3.5,0.0
781924,11533,2.0,2.0,0.0,0.0,21.6,21.6,0.0,0.0
781924,14082,1.0,0.0,0.0,1.0,3.9,0.0,0.0,3.9
781924,14101,1.0,0.0,0.0,1.0,4.0,0.0,0.0,4.0
781924,14403,0.49,0.49,0.0,0.0,23.32,23.32,0.0,0.0
781924,15113,6.0,0.0,6.0,0.0,16.8,0.0,16.8,0.0
781924,15120,6.0,0.0,0.0,6.0,15.0,0.0,0.0,15.0
781924,15200,38.0,16.0,16.0,6.0,87.39999999999999,36.8,36.8,13.8
781924,15202,1.0,0.0,1.0,0.0,4.9,0.0,4.9,0.0
781924,23113,1.0,0.0,0.0,1.0,18.0,0.0,0.0,18.0
781924,34023,1.0,0.0,0.0,1.0,15.0,0.0,0.0,15.0
13325038116,10150,1.0,0.0,1.0,0.0,4.0,0.0,4.0,0.0
13325038116,10201,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0
13325038116,10300,48.0,48.0,0.0,0.0,156.0,156.0,0.0,0.0
13325038116,10450,6.0,0.0,0.0,6.0,1110.0,0.0,0.0,1110.0
13325038116,14815,1.0,1.0,0.0,0.0,5.6,5.6,0.0,0.0
13325038116,15114,6.0,0.0,6.0,0.0,10.4,0.0,10.4,0.0
13325038116,15120,4.0,2.0,1.0,1.0,66.7,29.8,14.9,22.0
13325038116,23110,120.0,0.0,120.0,0.0,120.0,0.0,120.0,0.0
13325038116,23132,0.001,0.0,0.0,0.001,5.0,0.0,0.0,5.0
13325038116,24401,0.106,0.106,0.0,0.0,12.68,12.68,0.0,0.0
13325038116,27000,2.75,0.0,2.75,0.0,22.0,0.0,22.0,0.0
13854627199,14701,1.0,0.0,1.0,0.0,58.8,0.0,58.8,0.0
13854627199,14750,2.0,0.0,2.0,0.0,25.2,0.0,25.2,0.0
13854627199,22002,1.036,0.0,1.036,0.0,6.2,0.0,6.2,0.0
13854627199,22036,2.4659999999999997,0.0,2.4659999999999997,0.0,17.66,0.0,17.66,0.0
13854627199,22100,0.986,0.0,0.986,0.0,3.12,0.0,3.12,0.0
13854627199,22102,0.47,0.0,0.47,0.0,1.02,0.0,1.02,0.0
13854627199,22103,6.675999999999999,0.0,6.675999999999999,0.0,11.209999999999999,0.0,11.209999999999999,0.0
13854627199,22601,1.69,0.0,1.69,0.0,13.49,0.0,13.49,0.0
13854627199,24010,0.58,0.0,0.58,0.0,34.57,0.0,34.57,0.0
13854627199,25111,2.0,0.0,2.0,0.0,3.0,0.0,3.0,0.0
13854627199,25120,3.0,0.0,3.0,0.0,3.6,0.0,3.6,0.0
13854627199,25405,0.514,0.0,0.514,0.0,5.65,0.0,5.65,0.0
13854627199,27030,0.002,0.0,0.002,0.0,25.6,0.0,25.6,0.0
