b,b_i_count_unique_all,b_i_count_unique_2,b_i_count_unique_3,b_i_count_unique_4
10003.0,3,1,1,1
10005.0,1,0,1,0
10007.0,7,4,5,5
10012.0,2,2,0,1
10015.0,2,0,2,1
10029.0,3,0,0,3
10033.0,1,0,1,1
10036.0,1,1,0,0
10038.0,1,1,0,0
10045.0,11,5,2,7
10053.0,1,1,1,1
10054.0,1,0,1,0
10060.0,17,10,12,11
10062.0,9,4,6,5
10063.0,3,1,2,0
10064.0,4,1,4,2
10068.0,6,3,3,5
10069.0,6,3,6,1
10078.0,1,1,0,0
10080.0,8,4,5,3
10082.0,1,0,1,1
10084.0,1,0,0,1
10086.0,25,11,18,14
10091.0,8,7,1,2
10094.0,5,2,4,2
10097.0,2,0,0,2
10098.0,1,0,0,1
10104.0,1,1,0,0
10106.0,12,6,11,7
10107.0,9,3,4,5
10109.0,2,0,0,2
10119.0,1,0,0,1
10120.0,2,2,0,0
10123.0,1,1,0,0
10124.0,5,3,1,2
10125.0,3,1,0,2
10127.0,2,1,2,0
10128.0,1,1,1,0
10129.0,1,1,0,0
10130.0,1,1,0,0
10148.0,1,1,1,0
10154.0,2,1,1,0
10161.0,5,3,3,0
10163.0,4,4,2,2
10164.0,1,0,0,1
10194.0,2,1,0,2
10198.0,2,0,1,1
10199.0,2,1,2,1
10211.0,7,6,5,3
10608.0,3,1,0,2
10614.0,1,1,0,0
10616.0,1,0,1,0
10619.0,1,0,0,1
10624.0,3,1,2,0
10632.0,8,2,3,4
10652.0,2,0,1,1
10656.0,2,0,0,2
10657.0,1,0,1,0
10659.0,2,2,1,1
10679.0,3,1,0,2
10681.0,1,0,0,1
10684.0,1,0,1,0
10691.0,1,1,0,0
10694.0,1,1,0,0
10697.0,1,0,1,0
10702.0,3,2,2,0
10703.0,2,1,1,0
10706.0,55,14,23,28
10710.0,1,1,1,0
10713.0,1,0,1,0
10714.0,3,0,3,0
10715.0,1,0,1,0
10719.0,2,0,1,1
10721.0,1,0,0,1
10722.0,1,0,0,1
10724.0,4,4,1,0
10727.0,2,1,0,1
10729.0,2,1,1,1
10730.0,1,0,1,0
10731.0,2,1,1,0
10741.0,1,0,0,1
11003.0,1,0,0,1
11006.0,1,1,0,0
11008.0,1,1,0,0
11026.0,8,2,2,5
11027.0,1,0,0,1
11032.0,1,1,1,0
11036.0,2,1,1,0
11046.0,1,0,1,0
11048.0,5,0,2,4
11049.0,9,7,1,2
11051.0,2,1,1,0
11055.0,1,0,1,1
11057.0,2,0,1,1
11067.0,1,1,0,0
11072.0,1,1,0,0
11079.0,9,2,2,6
11092.0,1,0,1,0
11093.0,4,0,3,1
11094.0,4,1,3,1
11097.0,3,1,0,2
11098.0,1,1,0,0
11100.0,3,0,0,3
11106.0,7,1,3,3
11112.0,1,1,0,0
11114.0,8,3,5,2
11116.0,4,1,0,3
11119.0,2,1,1,0
11123.0,4,2,1,3
11126.0,1,0,0,1
11128.0,2,1,0,1
11129.0,10,3,3,7
11131.0,1,0,1,0
11132.0,1,0,0,1
11133.0,1,0,1,1
11139.0,1,0,0,1
11144.0,2,1,0,1
11145.0,2,0,2,0
11146.0,1,0,1,0
11148.0,3,0,2,1
11149.0,2,2,0,0
11150.0,4,0,0,4
11152.0,2,1,0,1
11154.0,4,2,3,1
11156.0,1,1,1,1
11159.0,9,3,6,2
11165.0,1,0,0,1
11204.0,5,3,0,3
11210.0,1,0,0,1
11213.0,1,0,0,1
11217.0,1,1,1,0
11219.0,3,2,0,1
11220.0,1,0,1,0
11221.0,4,1,1,2
11223.0,1,1,0,0
11224.0,1,0,0,1
11225.0,1,0,0,1
11227.0,1,0,0,1
11229.0,1,1,0,0
11241.0,1,1,0,0
11258.0,3,0,1,2
11281.0,1,1,0,0
11284.0,1,0,1,0
11287.0,1,0,1,0
11288.0,3,1,1,2
11291.0,2,1,0,1
11293.0,1,0,0,1
11305.0,1,1,0,0
11306.0,1,1,0,0
11310.0,1,0,0,1
11311.0,1,0,1,0
11317.0,2,0,2,0
11322.0,1,0,0,1
11324.0,1,0,0,1
11327.0,2,1,0,2
11334.0,1,0,1,0
11338.0,1,0,1,0
11344.0,2,0,0,2
11345.0,3,0,0,3
11346.0,1,0,0,1
11360.0,1,1,0,0
11374.0,1,0,0,1
11375.0,2,1,1,0
11378.0,1,0,1,0
11379.0,2,1,0,1
11384.0,2,1,0,1
11385.0,9,3,3,7
11386.0,1,0,0,1
11388.0,1,1,1,0
11390.0,2,0,1,1
14001.0,2,2,0,1
14005.0,3,0,1,2
14008.0,5,3,3,1
14010.0,2,0,1,1
14013.0,2,1,1,1
14016.0,3,1,2,1
14018.0,1,0,0,1
14020.0,4,2,1,2
14022.0,2,2,0,0
14024.0,6,2,3,3
14026.0,1,0,1,0
14031.0,4,2,3,0
14032.0,9,4,2,5
14033.0,6,2,3,2
14035.0,10,4,2,6
14036.0,1,1,0,1
14039.0,1,0,1,1
14041.0,7,0,1,7
14043.0,3,3,0,1
14044.0,8,4,2,5
14049.0,1,0,0,1
14051.0,14,9,3,4
14064.0,3,3,0,1
14065.0,1,1,0,0
14067.0,4,1,1,3
14069.0,1,0,0,1
14070.0,1,1,0,0
14071.0,3,1,1,3
14079.0,7,4,5,4
14080.0,2,0,2,0
14082.0,13,7,7,3
14084.0,1,1,0,0
14088.0,4,1,2,2
14097.0,1,1,0,1
14098.0,26,14,17,10
14100.0,1,1,0,0
14102.0,4,2,3,0
14104.0,3,3,0,0
14108.0,1,1,0,0
14110.0,10,8,0,3
14112.0,5,4,0,3
14116.0,3,0,1,2
14117.0,2,1,0,1
14118.0,2,1,0,1
14119.0,3,1,1,1
14121.0,5,2,2,2
14123.0,3,0,3,2
14126.0,5,2,2,3
14145.0,7,5,1,2
14146.0,4,1,1,4
14148.0,1,0,0,1
14149.0,2,0,1,1
14151.0,4,2,2,0
14152.0,6,2,1,4
14156.0,1,0,1,0
14157.0,1,0,1,0
14158.0,2,0,1,1
14159.0,1,0,0,1
14160.0,20,7,9,11
14162.0,3,0,3,0
14167.0,4,1,2,2
14168.0,3,2,3,2
14173.0,13,6,6,5
14174.0,2,1,0,1
14177.0,33,19,11,14
14178.0,1,0,1,0
14179.0,1,0,1,1
14186.0,2,0,1,1
14189.0,6,3,2,2
14191.0,7,3,2,4
14196.0,22,9,12,17
14197.0,3,0,2,1
14198.0,2,1,1,0
14200.0,7,7,0,2
14203.0,1,0,1,1
14208.0,11,7,2,5
14210.0,1,1,0,0
14213.0,2,1,1,2
14218.0,1,1,0,0
14224.0,4,3,1,2
14225.0,7,2,5,7
14229.0,2,0,0,2
14230.0,1,1,0,0
14231.0,7,3,3,3
14233.0,2,1,1,1
14236.0,5,2,0,3
14238.0,1,1,0,0
14240.0,1,0,1,0
14241.0,3,1,0,3
14245.0,9,2,1,7
14246.0,3,0,1,2
14247.0,1,1,0,0
14249.0,2,1,1,1
14251.0,4,3,1,1
14258.0,8,3,6,4
14261.0,3,2,0,3
14262.0,1,1,0,0
14265.0,8,6,5,4
14267.0,7,3,2,4
14268.0,22,10,6,11
14281.0,13,8,7,8
14288.0,5,2,2,3
14293.0,2,1,1,1
14301.0,5,2,3,3
14305.0,1,0,1,0
14306.0,5,2,1,2
14307.0,2,1,0,2
14313.0,11,6,5,8
14314.0,1,1,0,0
14318.0,1,1,1,1
14319.0,5,4,4,5
14321.0,1,1,0,0
14322.0,23,11,12,13
14329.0,1,0,1,0
14330.0,20,7,7,10
14331.0,4,2,0,2
14333.0,8,3,2,7
14335.0,1,0,0,1
14338.0,9,8,3,4
14341.0,3,1,3,0
14344.0,2,1,1,0
14345.0,8,3,4,5
14346.0,2,1,0,1
14350.0,3,1,2,1
14353.0,1,1,0,0
14354.0,9,3,3,4
14355.0,2,1,1,0
14357.0,5,4,3,1
14362.0,12,5,7,9
14366.0,19,6,8,12
14372.0,6,2,3,2
14386.0,9,5,1,4
14391.0,1,0,1,1
14393.0,5,3,1,1
14395.0,4,3,0,2
14396.0,3,3,0,1
14404.0,2,1,2,0
14418.0,4,0,0,4
14420.0,2,1,0,1
14421.0,3,1,0,2
14422.0,2,0,1,1
14425.0,1,0,1,0
14431.0,5,2,2,1
14435.0,5,3,4,3
14436.0,2,2,0,2
14440.0,5,2,5,0
14442.0,14,6,8,9
14443.0,9,5,5,2
14444.0,3,0,2,2
14445.0,4,2,1,4
14446.0,2,1,1,1
14447.0,1,1,0,1
14449.0,5,1,2,4
14453.0,3,1,2,1
14455.0,6,2,5,4
14458.0,2,1,1,0
14460.0,7,2,2,5
14463.0,1,1,0,0
14475.0,32,17,8,14
14488.0,1,1,0,0
14507.0,3,2,1,2
14509.0,7,3,2,3
14518.0,2,0,1,1
14519.0,4,3,2,1
14531.0,3,2,1,0
14539.0,1,0,1,0
14541.0,2,0,1,2
14544.0,6,2,3,1
14545.0,6,4,2,3
14556.0,2,0,1,1
14558.0,4,1,2,4
14564.0,1,1,0,0
14570.0,3,1,1,1
14573.0,9,5,4,3
14579.0,1,1,1,0
14580.0,2,1,1,2
14581.0,1,0,1,0
14591.0,1,0,0,1
14592.0,1,0,0,1
14594.0,1,0,0,1
14600.0,1,0,0,1
14601.0,1,0,1,0
14612.0,1,1,0,1
14615.0,3,1,0,2
14622.0,55,24,15,21
14623.0,4,0,2,4
14626.0,1,0,1,0
14627.0,4,1,1,3
14630.0,4,2,2,0
14648.0,4,0,2,3
14650.0,2,1,1,0
14651.0,4,1,3,0
14652.0,5,1,2,4
14665.0,1,0,0,1
14677.0,2,2,0,0
14678.0,6,5,3,1
14682.0,2,0,2,0
14686.0,1,0,1,0
14688.0,4,2,3,0
14693.0,3,0,0,3
14694.0,1,1,0,0
14703.0,3,0,0,3
14705.0,2,1,0,1
14708.0,1,0,0,1
14709.0,1,0,1,0
14712.0,4,2,2,2
14719.0,2,0,1,1
14722.0,1,0,0,1
14723.0,3,0,2,2
14724.0,1,0,1,0
14726.0,1,1,0,0
14727.0,2,0,0,2
14728.0,1,1,0,1
14729.0,5,4,1,0
14731.0,2,0,0,2
14732.0,2,1,1,0
14735.0,2,1,1,1
14736.0,1,0,1,0
14737.0,3,1,2,2
14738.0,2,1,0,1
14740.0,7,1,2,4
14745.0,1,0,1,0
14746.0,1,1,1,0
14747.0,1,0,0,1
14752.0,4,2,0,2
14753.0,2,1,1,0
14759.0,2,0,1,1
14767.0,3,1,1,1
14768.0,1,0,1,0
14769.0,2,1,0,1
14770.0,2,2,0,1
14779.0,1,1,0,0
14780.0,1,1,0,0
14781.0,1,1,0,0
14783.0,2,1,1,0
14785.0,2,0,2,1
14786.0,1,1,0,0
14788.0,4,0,3,1
14789.0,4,2,2,0
14793.0,2,1,1,1
14794.0,18,9,9,3
14796.0,2,1,0,1
14798.0,3,0,2,1
14799.0,8,3,3,3
14801.0,1,0,0,1
14803.0,3,0,0,3
14805.0,7,6,3,3
14807.0,2,0,2,0
14809.0,4,1,2,1
14810.0,4,3,2,4
14811.0,1,1,0,0
14820.0,3,3,0,0
14822.0,1,1,0,0
14824.0,1,1,0,0
14826.0,3,1,3,0
14829.0,1,0,0,1
14830.0,2,1,0,2
14831.0,2,0,1,1
14832.0,2,1,1,1
14833.0,3,0,1,3
14834.0,3,0,1,3
14835.0,4,0,2,4
14838.0,4,0,0,4
14839.0,1,0,0,1
15001.0,10,1,4,7
15002.0,8,4,4,4
15003.0,1,1,0,0
15009.0,12,12,10,11
15010.0,1,0,1,0
15011.0,8,5,4,6
15012.0,35,26,22,26
15026.0,5,4,4,2
15028.0,1,0,1,0
15031.0,2,1,0,1
15036.0,1,0,1,0
15038.0,20,7,9,10
15039.0,26,19,18,16
15042.0,2,0,1,1
15045.0,15,5,11,10
15049.0,1,0,1,0
15052.0,51,27,21,35
15057.0,6,3,2,4
15060.0,17,5,7,9
15061.0,1,1,1,0
15063.0,2,1,2,1
15066.0,26,16,11,10
15067.0,10,8,6,1
15073.0,3,2,0,2
15074.0,8,0,3,5
15078.0,4,4,1,2
15082.0,3,1,2,0
15083.0,20,17,8,8
15092.0,2,2,2,2
15094.0,48,28,25,27
15102.0,1,0,1,0
15123.0,14,6,5,6
15542.0,1,0,0,1
15545.0,4,4,0,0
15547.0,1,0,1,0
15548.0,2,1,2,0
15552.0,1,1,0,0
15554.0,1,1,0,0
15557.0,3,1,3,0
15562.0,1,0,0,1
15564.0,3,0,0,3
15570.0,2,1,1,1
15572.0,3,2,1,1
15577.0,5,1,2,2
15581.0,1,0,1,0
15588.0,1,0,0,1
15590.0,16,8,6,10
15616.0,2,0,1,2
15618.0,1,1,0,0
15624.0,4,4,1,0
15631.0,20,14,14,16
15632.0,4,0,2,3
15635.0,4,1,2,3
15644.0,4,1,0,4
15647.0,2,2,1,0
15648.0,1,1,0,0
15649.0,2,0,1,1
15653.0,2,1,1,2
15655.0,1,1,0,1
15665.0,2,0,1,2
15666.0,2,0,1,2
15667.0,3,3,0,0
30004.0,1,1,0,0
30007.0,1,0,0,1
30017.0,8,5,1,2
30033.0,1,1,0,0
30034.0,1,0,0,1
30039.0,2,1,1,2
30040.0,1,0,0,1
30046.0,3,0,2,1
30049.0,1,0,1,0
30059.0,2,0,1,1
30060.0,3,1,1,1
30062.0,1,1,0,0
30071.0,1,1,1,0
30077.0,1,0,1,0
30080.0,3,2,1,2
30098.0,1,1,0,0
30120.0,1,0,1,0
30146.0,1,0,1,1
30152.0,3,1,0,2
30170.0,25,10,12,10
30172.0,1,1,0,0
30186.0,2,1,1,0
30192.0,5,3,1,1
30198.0,1,0,1,0
30204.0,2,2,0,0
30216.0,6,1,3,2
30235.0,1,0,1,0
30248.0,3,3,3,3
30250.0,3,0,2,1
30252.0,1,0,0,1
30253.0,4,2,1,1
30256.0,2,1,0,1
30258.0,1,1,1,0
30262.0,4,2,2,1
30288.0,1,1,0,0
30293.0,1,0,1,0
30310.0,2,2,0,1
30322.0,1,1,0,0
30337.0,1,0,1,0
30340.0,1,0,0,1
30352.0,2,1,1,0
30355.0,5,2,4,0
30358.0,1,0,0,1
30559.0,1,1,0,0
30561.0,1,0,1,0
30721.0,1,0,0,1
30727.0,6,3,5,0
30730.0,3,2,0,1
30734.0,2,0,1,1
30742.0,1,0,0,1
30746.0,2,2,0,0
30750.0,2,0,2,0
30761.0,1,1,0,0
30778.0,1,0,0,1
30791.0,1,0,0,1
30793.0,2,0,2,0
30798.0,6,1,1,4
30804.0,1,0,0,1
30806.0,1,1,0,0
30811.0,1,0,1,0
30812.0,3,0,3,0
30817.0,1,0,0,1
30818.0,1,1,0,0
30819.0,1,0,0,1
30823.0,1,1,0,0
30831.0,1,0,1,0
30832.0,1,0,0,1
30833.0,11,1,5,6
30835.0,1,1,0,0
31009.0,1,1,0,0
31017.0,11,5,2,5
31019.0,1,0,0,1
31027.0,6,3,0,3
31035.0,1,1,0,0
31037.0,1,0,0,1
31039.0,1,0,1,0
31052.0,1,1,0,0
31063.0,1,0,0,1
31070.0,1,0,1,0
31095.0,1,0,0,1
31102.0,1,0,1,0
31104.0,1,1,0,0
31129.0,1,0,0,1
31133.0,2,0,2,0
31165.0,3,0,0,3
32006.0,2,0,1,1
32133.0,2,2,1,1
32151.0,1,1,0,0
32188.0,1,1,0,0
32274.0,1,1,0,0
32293.0,3,1,0,2
32295.0,1,0,0,1
32381.0,2,2,0,0
32382.0,1,0,0,1
32383.0,3,3,0,0
32994.0,1,1,0,1
33009.0,1,1,0,0
33010.0,1,0,1,0
33017.0,2,1,1,1
33020.0,1,1,0,0
33033.0,4,1,1,2
33041.0,1,0,1,0
33046.0,3,1,2,1
33054.0,2,0,0,2
33056.0,1,1,0,0
33064.0,1,1,0,0
33073.0,1,0,1,0
34001.0,2,0,1,1
34017.0,1,1,0,0
34020.0,1,1,0,0
34039.0,3,1,0,2
34074.0,3,0,3,0
34076.0,2,1,0,1
34078.0,1,1,0,0
34079.0,1,0,0,1
34096.0,1,0,1,0
34106.0,1,0,1,0
34111.0,1,1,0,0
34122.0,1,0,1,0
34129.0,2,1,0,1
34175.0,1,0,1,0
34214.0,13,10,4,3
34224.0,7,2,3,2
34241.0,1,0,1,0
34249.0,2,1,0,1
34272.0,1,0,1,1
34384.0,1,0,1,0
34746.0,1,1,0,0
34763.0,4,2,2,0
34764.0,2,2,0,0
34800.0,2,0,1,1
34810.0,1,0,0,1
34832.0,2,1,1,0
34833.0,1,1,0,0
34845.0,1,1,0,0
34846.0,1,0,1,0
34856.0,2,1,1,0
