c,c_i_count_unique_all,c_i_count_unique_2,c_i_count_unique_3,c_i_count_unique_4
10000,14,7,11,9
10001,2,1,2,2
10002,29,12,16,7
10008,5,4,3,0
10100,6,2,3,4
10102,1,0,1,0
10103,3,1,0,3
10109,10,1,3,7
10110,7,3,5,4
10111,2,2,0,1
10112,5,2,1,2
10113,6,3,4,1
10114,2,1,2,1
10116,9,7,1,5
10117,1,1,1,0
10119,28,9,11,11
10120,1,0,1,0
10130,8,4,6,7
10131,9,3,4,8
10132,7,5,5,5
10133,1,0,1,1
10135,5,4,3,1
10136,6,0,3,4
10137,3,0,2,1
10140,3,2,3,2
10141,30,15,19,14
10150,23,13,17,8
10151,4,1,1,4
10152,7,1,4,6
10200,9,3,3,3
10201,8,4,3,2
10203,2,0,0,2
10300,18,12,2,9
10310,11,0,11,4
10312,3,0,3,0
10319,1,1,0,0
10400,1,0,1,0
10401,7,2,1,5
10420,1,0,0,1
10422,3,0,0,3
10435,9,2,4,4
10439,1,0,1,0
10441,3,3,0,1
10450,2,1,0,1
10501,2,2,0,0
10502,3,2,1,0
10701,1,1,1,0
11000,1,0,0,1
11004,1,0,0,1
11005,1,1,0,0
11006,2,1,0,2
11011,8,6,3,1
11020,3,0,0,3
11022,5,3,2,1
11031,1,0,0,1
11034,1,1,0,0
11040,1,0,1,0
11041,6,0,3,3
11042,2,0,1,1
11043,2,0,1,1
11044,7,2,3,2
11046,3,2,1,1
11050,1,1,0,0
11051,1,0,1,0
11052,2,0,2,0
11054,6,2,1,3
11056,9,4,4,3
11057,6,1,4,2
11100,3,0,1,2
11101,1,0,0,1
11102,6,1,4,1
11103,4,1,1,2
11104,5,4,0,1
11105,1,0,1,0
11110,9,3,3,5
11111,1,1,0,1
11112,1,1,0,0
11115,1,0,0,1
11116,1,1,1,0
11121,1,0,1,0
11140,1,0,0,1
11141,1,1,0,1
11200,11,2,3,6
11201,1,0,0,1
11205,1,0,0,1
11210,1,1,0,0
11212,3,0,0,3
11220,11,1,6,5
11221,5,2,1,2
11222,3,1,3,1
11230,14,3,3,8
11231,6,2,1,3
11233,4,2,3,0
11235,1,0,1,0
11240,2,2,0,0
11241,7,2,0,5
11250,10,0,3,7
11300,36,19,13,12
11301,16,8,4,9
11302,8,3,1,5
11303,29,10,10,10
11304,7,3,0,5
11305,3,0,3,0
11311,3,1,1,1
11313,2,1,0,1
11400,3,2,1,0
11500,33,10,13,19
11501,20,3,7,12
11502,8,3,5,1
11503,1,0,0,1
11504,3,1,0,3
11506,2,1,1,0
11507,1,1,0,0
11511,5,4,3,2
11521,5,3,2,2
11522,4,0,3,1
11530,3,2,1,0
11531,8,2,2,5
11532,11,5,5,7
11533,15,8,6,6
11540,1,1,0,1
11543,1,1,0,0
14000,11,4,7,9
14001,2,1,1,0
14002,1,0,1,0
14010,6,3,4,3
14011,1,1,0,0
14012,1,0,1,0
14013,3,2,3,2
14014,4,0,2,2
14015,6,0,1,5
14020,3,1,1,2
14021,8,4,4,2
14022,6,3,3,0
14031,5,1,1,3
14032,2,1,1,1
14033,8,3,6,4
14034,4,1,3,2
14040,4,1,1,4
14041,1,0,1,0
14042,1,0,0,1
14043,7,3,1,4
14050,7,2,4,3
14051,2,1,1,1
14052,10,4,5,4
14054,11,3,7,6
14060,3,2,2,2
14061,1,0,0,1
14063,2,0,0,2
14064,2,1,1,1
14070,4,2,1,2
14071,1,0,0,1
14072,5,2,0,3
14073,8,4,5,3
14074,6,3,2,3
14075,4,1,2,3
14076,13,7,5,6
14077,4,3,0,1
14078,1,1,0,1
14079,4,2,3,0
14080,9,5,5,5
14081,5,2,2,2
14082,16,7,8,11
14083,3,0,3,2
14084,2,1,1,0
14090,21,8,14,7
14091,28,16,13,19
14092,43,20,21,26
14093,2,1,1,0
14094,2,1,1,0
14100,6,4,0,2
14101,8,4,1,6
14102,1,0,1,0
14103,1,0,1,0
14105,7,3,2,4
14107,2,2,0,0
14108,3,0,2,2
14110,1,0,1,0
14111,2,2,0,1
14112,8,5,5,2
14120,8,6,3,3
14121,12,6,5,7
14122,1,0,0,1
14130,11,6,7,2
14131,8,6,1,2
14132,16,9,1,7
14133,1,0,0,1
14140,6,3,1,3
14141,1,0,0,1
14142,4,2,1,1
14144,1,1,0,0
14145,1,1,0,0
14200,24,10,7,14
14202,1,0,1,0
14203,7,3,2,3
14205,2,0,0,2
14207,2,2,0,0
14208,1,0,1,0
14209,3,0,2,2
14211,1,1,0,0
14221,1,0,1,0
14222,9,2,5,6
14223,2,0,1,1
14231,3,1,2,1
14232,3,2,1,1
14234,1,0,1,0
14240,2,1,0,1
14241,8,3,4,4
14243,4,2,1,3
14250,8,3,3,3
14251,1,0,0,1
14252,2,2,1,0
14253,3,0,3,0
14255,1,0,0,1
14256,4,0,2,2
14257,1,0,1,0
14258,5,4,1,2
14260,2,2,0,0
14261,5,1,2,4
14270,1,0,0,1
14272,1,0,1,0
14275,17,8,4,11
14280,3,0,2,2
14281,4,1,3,1
14282,1,0,0,1
14284,6,1,4,1
14286,3,0,0,3
14300,21,5,6,15
14310,6,2,3,2
14352,1,1,0,0
14362,1,0,0,1
14400,3,0,3,0
14401,1,1,0,0
14402,2,2,1,1
14403,6,3,1,4
14404,2,2,0,0
14405,1,0,1,0
14406,3,0,3,0
14407,3,3,1,1
14409,8,3,2,3
14500,1,0,0,1
14503,1,1,0,0
14505,1,1,0,0
14506,3,1,1,1
14510,3,2,1,1
14513,2,1,1,0
14515,2,0,1,1
14520,2,2,1,0
14521,9,2,4,3
14525,2,1,1,0
14529,1,1,0,1
14530,6,3,3,3
14531,5,1,0,4
14533,2,1,0,2
14534,1,1,0,0
14540,1,1,0,0
14541,2,0,1,2
14551,1,0,0,1
14552,4,3,0,2
14560,5,2,2,2
14563,1,1,1,0
14570,5,2,1,2
14572,1,0,0,1
14573,3,1,1,2
14580,3,1,0,2
14581,1,1,0,0
14582,1,0,0,1
14583,1,1,0,0
14584,3,1,0,2
14585,2,1,1,1
14590,1,0,0,1
14593,9,8,0,2
14594,9,4,5,4
14596,3,2,2,1
14600,2,1,0,1
14630,3,0,2,1
14632,1,1,0,0
14633,2,0,1,1
14635,1,0,0,1
14636,6,4,1,1
14644,2,0,1,1
14650,1,0,1,0
14651,2,1,2,1
14652,1,0,0,1
14654,2,1,1,0
14661,2,1,0,1
14700,6,1,1,4
14701,3,1,2,1
14702,1,0,0,1
14703,1,1,0,0
14710,6,1,3,2
14713,1,0,1,0
14714,2,1,0,1
14715,1,0,1,0
14720,4,2,2,0
14721,27,13,12,13
14722,23,12,6,15
14723,2,1,0,1
14732,1,0,0,1
14733,3,1,2,1
14741,2,0,1,1
14750,25,15,7,15
14753,6,1,4,2
14754,11,4,1,6
14761,1,0,0,1
14763,2,1,1,0
14770,4,1,2,1
14772,3,1,2,1
14774,4,2,2,2
14775,1,0,0,1
14800,9,4,3,5
14801,6,1,3,4
14802,21,11,10,12
14803,1,0,1,0
14804,2,0,1,1
14810,2,2,0,0
14811,7,3,4,4
14812,9,6,2,4
14813,4,2,3,1
14814,5,2,2,2
14815,8,6,2,4
14816,1,1,0,0
14820,5,4,0,1
14821,1,1,0,0
14822,5,4,1,1
14823,2,1,1,0
14824,1,1,0,0
14826,5,3,0,2
14827,1,0,0,1
14828,1,0,0,1
14830,12,4,7,6
14831,17,6,4,12
14833,5,3,0,4
14834,1,0,0,1
14835,2,2,0,0
14836,8,2,4,3
14837,5,2,3,3
14838,1,0,0,1
14839,9,3,3,3
14840,2,1,1,0
14841,6,3,3,3
14842,12,6,2,5
14843,4,3,1,2
14844,12,5,3,5
14845,6,4,1,1
14846,7,2,3,2
14847,3,1,1,1
14850,2,0,1,1
14851,5,2,2,1
14860,6,4,3,6
14861,4,3,2,3
14862,2,0,0,2
14863,5,2,4,2
14870,6,2,2,3
14871,1,1,0,1
14872,1,1,0,1
14873,5,3,3,1
14874,1,0,1,0
14900,18,13,8,9
14901,1,1,1,0
14903,3,2,1,1
14905,4,3,1,3
14906,2,1,0,1
14911,2,1,0,1
14912,3,2,1,1
14914,2,1,0,1
14916,5,4,4,3
14917,6,3,3,3
14920,1,0,1,0
14922,1,0,1,0
14924,3,1,0,2
14926,1,0,1,0
14928,1,1,0,0
14931,1,1,0,0
14932,1,0,0,1
14940,1,0,0,1
14941,1,1,0,0
14943,2,0,1,1
14956,5,3,2,1
15000,14,8,7,8
15001,2,1,1,1
15002,2,2,0,1
15004,36,22,20,20
15005,1,0,1,0
15012,1,1,1,0
15019,3,3,0,0
15021,4,1,0,3
15022,1,0,1,0
15029,4,1,0,4
15100,1,0,1,0
15101,2,0,1,1
15102,1,1,0,0
15103,1,0,0,1
15104,8,4,4,4
15105,3,1,1,1
15110,57,35,34,41
15111,8,4,4,5
15112,1,1,1,0
15113,4,3,2,3
15114,17,15,11,12
15115,26,17,13,18
15116,3,2,3,3
15119,5,3,3,4
15120,9,6,6,6
15121,3,1,0,3
15123,2,2,0,0
15130,18,13,13,11
15131,2,1,0,2
15139,6,4,4,3
15140,8,1,4,7
15149,7,3,5,4
15200,6,5,6,5
15201,3,1,0,3
15202,29,17,14,14
15209,7,4,1,2
15212,2,1,0,1
15219,2,1,1,0
15230,4,4,3,3
15231,5,5,4,5
15232,2,2,2,2
