u,u_c_count_unique_all,u_c_count_unique_2,u_c_count_unique_3,u_c_count_unique_4
781924,13,4,4,7
13325038116,11,4,6,3
13854627199,14,0,14,0
13864739266,24,10,11,8
15954611837,18,4,7,11
15954688237,28,0,14,15
15963883482,23,5,20,2
15963885355,17,8,10,0
18554652702,24,7,14,8
18654692914,21,6,13,4
1590120464497,5,0,2,3
1590130640102,11,6,6,0
1590130817948,41,13,23,18
1590140304506,45,6,21,23
1590140305107,13,10,6,0
1590140306678,29,4,12,16
1590140307286,7,7,0,0
1590140307415,22,6,6,18
1590140307767,24,4,17,8
1590140307859,9,0,0,9
1590140308030,38,20,19,6
1590140308214,25,14,16,0
1590141216259,13,3,7,3
1590141414228,8,2,3,5
1590142128124,20,14,8,0
1590142129763,12,6,0,7
1590142148962,8,3,6,0
1590142149112,2,1,1,1
1590142149853,18,3,7,8
1590142150507,16,0,16,0
1590142151689,36,12,25,11
1590142152440,4,4,0,0
1590142176354,2,0,2,0
1590142176521,15,6,2,10
1590142191722,26,14,16,0
1590142194327,29,9,17,8
1590142197076,20,14,2,7
1590142201148,13,0,3,10
1590142201162,36,6,12,21
1590142201513,4,2,2,0
1590142202190,10,5,0,6
1590142203104,37,12,12,18
1590142203180,16,12,7,0
1590142203401,19,0,7,16
1590142204569,15,10,7,0
1590142205993,44,29,10,18
1590142206747,34,10,18,16
1590142210195,23,15,9,0
1590142213189,27,7,7,20
1590142213356,19,6,5,12
1590142213981,38,13,13,18
1590142215619,24,16,10,6
1590142230179,6,0,4,4
1590142242370,23,9,5,13
1590142456470,16,3,11,4
1590142477895,13,0,4,11
1590142514866,11,10,2,1
1590142516068,17,0,12,6
1590142517836,1,0,0,1
1590142518307,14,12,7,4
1590142519632,13,2,7,5
1590142648356,10,1,3,7
1590142751995,23,4,18,6
1590151076256,14,5,3,10
1590151103907,26,15,4,13
1590151210391,19,10,9,6
1590151321240,5,4,1,0
1590151427355,6,5,0,4
1590151428581,16,5,8,5
1590151432557,12,4,8,2
1590151457185,4,0,0,4
1590151459721,7,7,0,0
1590151464053,6,6,0,0
1590151467962,3,3,0,0
1590151472027,17,11,10,0
1590151472782,13,1,11,1
1590151825175,10,7,3,0
1590151829753,2,0,0,2
1590151832586,30,12,10,15
1590151832593,11,9,4,0
1590151835808,23,10,14,4
1590151842899,6,5,3,0
1590151843124,14,6,11,0
1590151977348,6,5,3,0
1591012978559,14,5,6,10
1591013227632,5,0,0,5
1591013471721,26,13,5,11
1591013766650,20,7,7,7
1591013866800,14,3,1,12
1591013877134,24,2,13,14
1591014083046,7,7,0,0
1591014133086,8,0,6,3
1591014214433,5,3,3,0
1591014255948,7,0,0,7
1591014278527,16,10,4,4
1591014338276,21,11,12,1
1591014523610,10,1,9,0
1591014637324,23,12,4,9
1591014680184,30,15,10,7
1591014943968,16,5,7,6
1591015027858,19,2,2,15
1591015034924,2,0,2,0
1591015088262,17,0,3,14
1591015091286,1,0,0,1
1591015097233,24,13,13,4
1591015097516,6,3,3,0
1591015112424,13,9,4,1
1591015184407,27,0,1,26
1591015218485,20,14,6,0
1591015269418,15,2,5,10
1591015327590,26,14,9,11
1591015408602,2,2,0,0
1591015419448,1,0,1,0
1591015420000,20,14,7,7
1591015452933,10,10,0,0
1591015454142,4,0,0,4
1591015454210,30,8,25,0
1591015454562,21,5,10,8
1591015454692,15,9,5,6
1591015454814,20,12,9,4
1591015456955,11,8,2,1
1591015456993,6,0,0,6
1591015457273,25,6,11,12
1591015476700,17,14,6,0
1591015478124,18,3,12,3
1591015480455,8,0,6,3
1591015480745,15,4,3,10
1591015483951,12,3,4,7
1591015500993,17,0,0,17
1591015501716,6,1,6,0
1591015506575,13,6,4,7
1591015519216,14,7,8,6
1591015521639,31,21,11,0
1591015598785,4,0,0,4
1591015600815,26,6,14,8
1591015604417,9,1,4,6
1591016154157,15,12,4,0
1591016159916,15,0,6,12
1591016162466,16,12,1,3
1591016170300,33,8,17,15
1591016172045,5,3,3,0
1591016174353,22,11,8,7
1591016174957,18,17,1,0
1591016310287,9,5,6,0
1591016320026,12,0,0,12
1591016350504,4,0,0,4
1591016382857,5,0,0,5
1591016411137,34,17,19,13
1591016439575,21,8,10,9
1591016440328,34,6,17,21
1591016443121,6,1,2,3
1591016494765,12,3,4,7
1591016517778,27,23,4,3
1591016517921,14,1,3,11
1591016519031,18,14,4,0
1591020269281,9,5,6,0
1591020377344,21,12,6,8
1591020742401,18,18,0,0
1591030092053,13,0,6,8
1591030217500,18,0,12,7
1591030411823,8,8,2,0
1591040087452,36,17,9,17
1591040203906,4,0,0,4
1591040416658,7,6,0,1
1591040462983,17,10,7,6
1592010017509,27,17,10,0
1592013087615,28,5,25,0
1592014016171,18,15,4,2
1592015013285,18,4,12,5
1592015016880,13,1,0,12
1592015018662,22,2,15,7
1592015046818,26,16,6,4
1592015054592,28,0,23,6
1592015056299,18,8,0,11
1592015056343,8,8,0,0
1592015058774,3,0,0,3
1592015058781,38,18,12,20
