u,u_i_count_unique_all,u_i_count_unique_2,u_i_count_unique_3,u_i_count_unique_4
781924,14,4,4,7
13325038116,13,5,6,3
13854627199,17,0,17,0
13864739266,29,12,12,8
15954611837,18,4,7,11
15954688237,32,0,15,18
15963883482,30,5,26,2
15963885355,18,8,11,0
18554652702,27,9,14,8
18654692914,25,6,16,4
1590120464497,5,0,2,3
1590130640102,15,7,8,0
1590130817948,57,19,29,20
1590140304506,51,6,22,26
1590140305107,18,13,6,0
1590140306678,35,4,13,22
1590140307286,7,7,0,0
1590140307415,30,6,8,21
1590140307767,29,5,18,10
1590140307859,14,0,0,14
1590140308030,47,23,24,6
1590140308214,32,16,19,0
1590141216259,14,3,8,3
1590141414228,10,2,3,7
1590142128124,23,14,10,0
1590142129763,13,7,0,7
1590142148962,11,4,8,0
1590142149112,3,1,2,1
1590142149853,20,4,7,9
1590142150507,18,0,18,0
1590142151689,43,13,29,11
1590142152440,5,5,0,0
1590142176354,2,0,2,0
1590142176521,16,6,2,11
1590142191722,29,15,16,0
1590142194327,35,11,18,9
1590142197076,21,15,2,8
1590142201148,14,0,4,10
1590142201162,39,7,12,22
1590142201513,4,2,2,0
1590142202190,10,5,0,6
1590142203104,44,12,12,23
1590142203180,19,13,7,0
1590142203401,27,0,9,20
1590142204569,16,10,7,0
1590142205993,55,31,11,23
1590142206747,37,11,18,16
1590142210195,30,19,11,0
1590142213189,33,7,7,23
1590142213356,24,6,5,15
1590142213981,45,13,14,20
1590142215619,34,20,13,7
1590142230179,8,0,5,4
1590142242370,27,9,5,14
1590142456470,19,3,12,4
1590142477895,13,0,4,11
1590142514866,12,11,2,1
1590142516068,24,0,17,7
1590142517836,1,0,0,1
1590142518307,19,14,8,4
1590142519632,13,2,7,5
1590142648356,13,1,5,8
1590142751995,30,5,21,7
1590151076256,19,5,4,14
1590151103907,32,17,6,14
1590151210391,24,14,11,6
1590151321240,6,4,2,0
1590151427355,7,5,0,4
1590151428581,20,6,8,6
1590151432557,13,5,8,2
1590151457185,4,0,0,4
1590151459721,8,8,0,0
1590151464053,6,6,0,0
1590151467962,3,3,0,0
1590151472027,21,11,12,0
1590151472782,16,1,14,1
1590151825175,12,9,3,0
1590151829753,2,0,0,2
1590151832586,39,15,10,17
1590151832593,13,10,4,0
1590151835808,27,10,17,4
1590151842899,7,5,3,0
1590151843124,17,6,12,0
1590151977348,8,5,4,0
1591012978559,18,5,9,11
1591013227632,8,0,0,8
1591013471721,31,16,6,11
1591013766650,24,10,7,8
1591013866800,15,3,1,13
1591013877134,33,2,16,18
1591014083046,8,8,0,0
1591014133086,9,0,6,3
1591014214433,6,3,4,0
1591014255948,7,0,0,7
1591014278527,18,11,4,4
1591014338276,28,13,15,1
1591014523610,13,1,12,0
1591014637324,31,16,5,10
1591014680184,31,15,10,7
1591014943968,19,5,7,8
1591015027858,22,2,2,18
1591015034924,2,0,2,0
1591015088262,20,0,3,17
1591015091286,1,0,0,1
1591015097233,33,15,16,4
1591015097516,6,3,3,0
1591015112424,14,9,4,1
1591015184407,29,0,1,28
1591015218485,24,18,6,0
1591015269418,16,2,5,11
1591015327590,36,20,9,11
1591015408602,2,2,0,0
1591015419448,1,0,1,0
1591015420000,33,19,9,9
1591015452933,13,13,0,0
1591015454142,4,0,0,4
1591015454210,34,8,28,0
1591015454562,22,5,10,9
1591015454692,22,12,5,7
1591015454814,22,12,9,4
1591015456955,14,11,2,1
1591015456993,6,0,0,6
1591015457273,28,7,13,13
1591015476700,20,17,6,0
1591015478124,24,3,17,4
1591015480455,8,0,6,3
1591015480745,17,4,3,10
1591015483951,15,3,4,8
1591015500993,22,0,0,22
1591015501716,6,1,6,0
1591015506575,20,6,4,10
1591015519216,18,7,9,6
1591015521639,37,27,11,0
1591015598785,4,0,0,4
1591015600815,30,7,14,10
1591015604417,12,3,4,7
1591016154157,17,13,5,0
1591016159916,20,0,8,15
1591016162466,18,14,1,3
1591016170300,41,9,17,18
1591016172045,6,3,4,0
1591016174353,29,13,11,9
1591016174957,22,21,1,0
1591016310287,13,5,9,0
1591016320026,13,0,0,13
1591016350504,5,0,0,5
1591016382857,5,0,0,5
1591016411137,46,22,23,13
1591016439575,25,9,12,9
1591016440328,50,9,24,25
1591016443121,8,1,2,5
1591016494765,16,4,6,7
1591016517778,33,26,5,4
1591016517921,20,1,4,15
1591016519031,22,18,4,0
1591020269281,10,5,6,0
1591020377344,28,14,8,12
1591020742401,19,19,0,0
1591030092053,16,0,8,9
1591030217500,21,0,13,8
1591030411823,14,13,4,0
1591040087452,52,24,10,22
1591040203906,4,0,0,4
1591040416658,7,6,0,1
1591040462983,23,14,8,7
1592010017509,29,19,10,0
1592013087615,34,6,29,0
1592014016171,31,25,5,2
1592015013285,22,5,15,6
1592015016880,13,1,0,12
1592015018662,28,3,18,8
1592015046818,33,21,7,5
1592015054592,29,0,23,6
1592015056299,20,9,0,12
1592015056343,9,9,0,0
1592015058774,3,0,0,3
1592015058781,58,22,17,31
1592015059993,47,11,20,19
1593141148827,13,9,5,0
1593150463515,7,7,0,0
1593160622155,16,6,4,6
1594140460286,17,4,4,13
1595112593216,6,1,5,0
1595130081566,11,8,3,0
1595140489499,31,6,4,22
1595140612422,17,0,13,5
1595150263683,5,3,2,0
1595150403423,11,8,3,0
1595150738747,4,0,0,4
1595150738976,7,3,1,3
1595150770945,21,14,3,5
1595150771652,7,7,0,0
1595150883423,10,5,6,0
1595150992095,8,0,6,2
1595150997786,6,3,4,3
1595151168727,21,2,2,17
1595151442803,2,2,0,0
1595151609213,10,3,7,0
1595151616471,5,5,0,0
1595151629143,38,23,8,15
1595151630446,15,2,10,4
1595151630774,13,5,5,6
1595151631146,41,27,12,12
1595151644528,5,0,4,1
1595151738968,2,2,0,0
1595151786686,2,0,0,2
1595151866807,36,8,11,18
1595151915963,18,7,11,0
1595160035249,20,3,10,11
1595160353664,9,4,0,6
1596140586607,30,4,22,6
1596140587802,24,6,18,0
1596140594374,9,2,4,4
1596140628703,15,7,11,1
1596160006376,9,5,5,0
1596160024097,7,5,2,0
1596160058337,31,20,8,4
1598140055923,12,0,0,12
1598140107578,12,6,3,4
1598140129341,1,1,0,0
2900000040663,13,0,10,4
2900000047648,7,0,3,4
2900000048812,4,0,0,4
2900000050419,3,0,3,0
2900000050785,8,0,8,0
2900000060012,2,0,0,2
2900000071742,27,10,12,5
2900000072022,30,0,12,20
2900000074163,23,17,0,6
2900000124974,37,9,15,13
2900000125261,81,63,27,9
2900000138056,29,0,6,23
2900000138223,8,6,2,4
2900000164567,6,4,1,1
2900000177079,9,8,1,0
2900000178106,11,4,1,6
2900000179417,21,7,8,6
2900000194298,18,5,11,5
2900000203457,52,35,9,17
2900000210790,21,0,10,13
2900000216952,29,0,0,29
2900000224001,17,17,0,0
2900000239876,13,8,4,1
2900000245396,24,15,5,6
2900000245914,19,0,0,19
2900000246638,31,10,12,10
2900000254503,7,3,2,3
2900000255463,34,16,11,11
2900000256637,22,8,5,11
2900000268692,8,4,2,3
2900000271814,34,23,0,14
2900000284333,18,2,3,14
2900000304376,13,9,3,3
2900000307377,10,6,3,2
2900000308312,34,11,10,15
2900000317307,3,0,3,0
2900000330863,33,15,11,14
2900000337633,18,1,0,17
2900000339637,7,0,0,7
2900000342651,3,3,0,0
2900000345300,18,7,8,5
2900000348561,1,1,0,0
2900000350175,12,12,0,2
2900000350458,17,0,10,7
2900000353848,60,37,21,17
2900000372849,13,8,5,0
2900000383913,15,0,0,15
2900000385627,1,0,0,1
2900000386440,28,2,17,13
2900000386495,16,0,3,13
2900000390256,6,3,0,3
2900000394940,17,0,6,13
2900000401495,7,0,7,0
2900000404731,25,25,0,0
2900000416307,40,3,25,16
2900000417663,6,0,0,6
2900000418073,103,69,15,26
2900000448520,79,61,18,12
2900000449732,19,5,15,4
2900000451452,27,3,0,25
2900000452756,27,5,0,22
2900000468030,10,7,0,4
2900000476042,26,5,0,22
2900000485990,11,8,4,0
2900000490130,18,0,5,14
2900000516892,4,0,0,4
2900000544765,7,0,3,5
2900000562165,21,15,4,4
