c,c_user_all,c_user_2,c_user_3,c_user_4
10000,45,16,17,18
10001,6,2,4,3
10002,28,12,13,9
10008,9,4,5,0
10100,14,4,5,5
10102,1,0,1,0
10103,4,1,0,3
10109,7,1,3,5
10110,19,5,7,7
10111,3,3,0,1
10112,5,2,1,2
10113,9,4,5,1
10114,4,1,2,1
10116,12,5,1,7
10117,3,1,2,0
10119,32,9,10,14
10120,1,0,1,0
10130,22,4,10,11
10131,16,4,7,8
10132,24,7,9,9
10133,7,0,3,4
10135,7,4,3,1
10136,5,0,3,3
10137,5,0,2,3
10140,13,5,4,7
10141,71,21,31,32
10150,40,17,18,8
10151,10,1,3,7
10152,13,1,5,7
10200,8,3,2,3
10201,11,7,4,2
10203,2,0,0,2
10300,19,9,2,8
10310,15,0,9,6
10312,2,0,2,0
10319,1,1,0,0
10400,1,0,1,0
10401,8,2,1,6
10420,1,0,0,1
10422,1,0,0,1
10435,7,1,4,2
10439,1,0,1,0
10441,2,2,0,1
10450,2,1,0,1
10501,3,3,0,0
10502,3,2,1,0
10701,2,1,1,0
11000,1,0,0,1
11004,1,0,0,1
11005,1,1,0,0
11006,2,1,0,1
11011,10,6,3,1
11020,3,0,0,3
11022,6,3,2,1
11031,1,0,0,1
11034,1,1,0,0
11040,1,0,1,0
11041,6,0,3,3
11042,3,0,1,2
11043,2,0,1,1
11044,9,2,5,2
11046,3,1,1,1
11050,1,1,0,0
11051,1,0,1,0
11052,2,0,2,0
11054,6,2,1,3
11056,9,4,3,3
11057,9,1,4,4
11100,3,0,1,2
11101,1,0,0,1
11102,6,1,4,1
11103,4,1,1,2
11104,5,4,0,1
11105,1,0,1,0
11110,16,5,3,8
11111,1,1,0,1
11112,2,2,0,0
11115,1,0,0,1
11116,2,1,1,0
11121,1,0,1,0
11140,1,0,0,1
11141,5,1,0,4
11200,11,2,3,6
11201,1,0,0,1
11205,1,0,0,1
11210,1,1,0,0
11212,3,0,0,3
11220,9,1,5,4
11221,8,2,4,2
11222,6,1,4,1
11230,11,3,3,6
11231,6,2,1,3
11233,5,2,3,0
11235,1,0,1,0
11240,2,2,0,0
11241,7,2,0,5
11250,10,0,4,6
11300,37,12,13,14
11301,21,8,4,10
11302,10,3,1,6
11303,25,9,8,9
11304,7,3,0,5
11305,3,0,3,0
11311,3,1,1,1
11313,2,1,0,1
11400,3,2,1,0
11500,30,8,9,16
11501,18,2,6,11
11502,9,3,5,1
11503,1,0,0,1
11504,4,1,0,3
11506,2,1,1,0
11507,2,2,0,0
11511,5,4,2,2
11521,6,3,2,2
11522,7,0,3,4
11530,3,2,1,0
11531,17,4,3,10
11532,27,5,9,16
11533,17,7,5,6
11540,3,1,0,2
11543,1,1,0,0
14000,18,5,5,9
14001,2,1,1,0
14002,1,0,1,0
14010,14,4,5,5
14011,1,1,0,0
14012,1,0,1,0
14013,10,3,5,3
14014,2,0,1,1
14015,6,0,1,5
14020,4,1,1,2
14021,10,4,5,2
14022,4,1,3,0
14031,5,1,1,3
14032,3,1,1,1
14033,14,3,6,5
14034,7,1,3,3
14040,6,1,1,5
14041,1,0,1,0
14042,1,0,0,1
14043,7,3,1,4
14050,9,2,4,4
14051,3,1,1,1
14052,11,5,4,3
14054,16,1,6,9
14060,5,2,4,2
14061,1,0,0,1
14063,5,0,0,5
14064,3,1,1,1
14070,4,2,1,2
14071,2,0,0,2
14072,4,2,0,3
14073,13,4,5,5
14074,8,3,2,3
14075,6,1,2,3
14076,28,9,10,13
14077,4,3,0,1
14078,2,1,0,1
14079,5,2,3,0
14080,15,4,6,6
14081,6,2,2,3
14082,22,5,7,12
14083,5,0,3,2
14084,3,1,2,0
14090,25,8,15,6
14091,44,16,15,18
14092,48,21,16,21
14093,3,1,2,0
14094,2,1,1,0
14100,5,3,0,2
14101,12,4,1,7
14102,1,0,1,0
14103,1,0,1,0
14105,9,3,2,4
14107,2,2,0,0
14108,4,0,2,2
14110,1,0,1,0
14111,4,3,0,1
14112,13,5,5,4
14120,10,5,2,3
14121,25,9,8,8
14122,1,0,0,1
14130,19,7,9,4
14131,9,6,1,2
14132,13,8,1,5
14133,1,0,0,1
14140,3,2,1,1
14141,1,0,0,1
