i,i_user_all,i_user_2,i_user_3,i_user_4
10000000,1,0,1,0
10000003,1,0,0,1
10000004,5,3,1,1
10000005,4,2,1,1
10000006,7,3,3,2
10000007,1,0,1,0
10000009,4,2,2,0
10000010,5,2,1,4
10000011,10,3,4,3
10000012,2,1,0,1
10000013,2,0,2,0
10000015,1,0,0,1
10000016,1,0,1,0
10000025,5,0,1,5
10001002,2,0,1,1
10001007,5,2,3,2
10002000,2,2,0,0
10002002,1,0,0,1
10002003,2,1,1,0
10002005,1,0,1,0
10002006,1,1,0,0
10002007,2,0,2,0
10002012,1,1,0,0
10002015,2,1,1,0
10002017,1,1,1,0
10002019,5,3,0,2
10002022,3,1,1,1
10002025,1,1,0,0
10002026,1,0,1,0
10002027,1,0,1,0
10002028,1,0,1,0
10002029,1,1,0,0
10002030,1,0,1,0
10002031,1,0,1,0
10002033,1,0,1,0
10002034,1,0,1,0
10002035,1,1,0,0
10002038,2,0,2,0
10002039,1,0,0,1
10002040,2,0,0,2
10002045,1,1,0,0
10002046,1,0,1,0
10002049,1,0,1,0
10002050,1,0,0,1
10002052,1,0,0,1
10008001,2,0,2,0
10008002,3,1,2,0
10008003,3,3,0,0
10008011,2,1,1,0
10008012,1,1,0,0
10100002,3,3,0,0
10100003,3,1,0,2
10100004,3,0,2,1
10100005,2,0,1,1
10100007,2,0,2,0
10100010,1,0,0,1
10102002,1,0,1,0
10103000,2,1,0,1
10103001,1,0,0,1
10103003,1,0,0,1
10109002,1,0,0,1
10109004,1,0,0,1
10109005,1,0,1,1
10109009,2,0,0,2
10109010,1,0,0,1
10109014,1,0,0,1
10109015,1,0,0,1
10109017,1,0,1,0
10109021,1,0,1,0
10109026,1,1,0,0
10110000,3,1,1,1
10110010,1,0,0,1
10110012,1,0,1,0
10110016,1,0,0,1
10110017,10,3,3,4
10110025,2,1,1,0
10110034,1,0,1,0
10111000,1,1,0,0
10111002,2,2,0,1
10112003,1,1,0,0
10112004,2,0,0,2
10112005,1,1,0,0
10112014,1,0,1,0
10112019,1,0,0,1
10113000,1,0,1,0
10113005,1,0,1,0
10113006,2,1,1,0
10113007,4,2,2,0
10113009,1,1,0,0
10113012,1,0,0,1
10114000,1,0,1,0
10114004,3,1,1,1
10116000,3,1,1,1
10116003,1,0,0,1
10116008,1,1,0,0
10116021,1,1,0,0
10116022,1,1,0,0
10116032,4,1,0,3
10116034,1,1,0,0
10116039,1,1,0,1
10116045,1,0,0,1
10117000,3,1,2,0
10119001,1,1,0,0
10119006,1,1,0,0
10119008,1,0,1,0
10119011,1,0,1,0
10119013,1,0,0,1
10119020,1,0,1,0
10119024,1,0,1,0
10119026,1,1,0,0
10119028,2,0,1,1
10119041,1,1,0,0
10119046,1,1,0,0
10119050,1,0,1,0
10119051,1,0,1,0
10119061,1,0,1,0
10119074,1,0,0,1
10119075,2,1,1,0
10119078,1,1,0,0
10119082,1,1,0,0
10119104,1,0,0,1
10119126,1,1,0,0
10119134,2,0,0,2
10119136,1,0,0,1
10119137,2,0,1,1
10119138,1,0,0,1
10119139,1,0,1,0
10119140,1,0,0,1
10119146,4,0,0,4
10119147,4,0,0,4
10120000,1,0,1,0
10130001,2,0,1,1
10130002,4,1,3,0
10130004,2,0,2,1
10130006,4,1,1,2
10130009,6,1,3,2
10130010,3,1,0,2
10130011,4,0,2,2
10130012,1,0,0,1
10131000,1,0,0,1
10131001,2,0,1,1
10131002,2,1,2,1
10131007,4,2,2,0
10131008,1,0,0,1
10131017,4,1,2,1
10131019,1,0,0,1
10131020,2,0,0,2
10131021,1,0,0,1
10132000,3,2,0,1
10132001,2,1,0,1
10132002,3,1,3,0
10132003,5,2,1,2
10132005,1,0,1,0
10132017,7,1,3,3
10132019,3,0,1,2
10133001,7,0,3,4
10135010,1,1,0,0
10135011,2,1,1,0
10135012,1,1,0,0
10135014,3,2,1,0
10135015,2,0,1,1
10136000,1,0,1,0
10136001,1,0,1,1
10136006,1,0,1,0
10136007,1,0,0,1
10136008,1,0,0,1
10136010,1,0,0,1
10137009,3,0,0,3
10137011,1,0,1,0
10137012,1,0,1,0
10140002,8,4,2,4
10140003,1,0,1,0
10140006,4,1,1,3
10141005,2,1,1,0
10141006,1,0,0,1
10141010,1,1,0,0
10141012,5,1,1,3
10141014,1,0,1,0
10141015,1,0,1,0
10141019,6,0,0,6
10141021,1,0,1,0
10141025,5,1,4,0
10141028,3,0,0,3
10141030,5,0,0,5
10141032,2,0,2,1
10141038,9,6,2,4
10141039,3,2,1,0
10141040,3,0,1,2
10141041,2,0,2,0
10141042,12,2,5,6
10141044,10,1,4,6
10141047,2,1,1,0
10141048,3,1,1,1
10141049,1,1,0,0
10141063,3,1,0,2
10141069,4,2,2,0
10141080,1,0,1,0
10141083,1,1,0,0
10141090,2,0,2,0
10141091,1,0,0,1
10141095,1,1,0,0
10141096,1,0,1,0
10141139,1,0,0,1
10150003,4,3,1,0
10150004,9,4,5,1
10150009,1,0,1,0
10150013,3,1,2,0
10150015,1,0,1,0
10150016,4,2,2,0
10150017,1,0,1,0
10150018,5,2,1,2
10150019,3,2,1,0
10150021,2,0,1,1
10150022,1,1,0,0
10150023,1,0,0,1
10150024,1,0,1,0
10150025,1,0,1,0
10150026,1,0,0,1
10150027,1,1,0,0
10150031,1,0,1,0
10150034,1,0,1,0
10150038,3,1,1,1
10150044,1,1,0,0
10150048,3,1,1,1
10150049,4,2,1,1
10150050,1,1,0,0
10151002,7,0,3,5
10151005,2,1,0,1
10151012,1,0,0,1
10151023,1,0,0,1
10152009,1,0,0,1
10152012,3,0,2,1
10152013,6,1,2,3
10152015,1,0,1,0
10152022,2,0,1,1
10152024,1,0,0,1
10152032,1,0,0,1
10200004,1,0,1,0
10200005,1,0,0,1
10200006,1,1,0,0
10200010,2,2,0,0
10200013,1,1,0,0
10200035,1,0,0,1
10200038,1,0,0,1
10200045,1,0,1,0
10200046,1,0,1,0
10201007,1,1,0,0
10201013,1,0,0,1
10201014,1,1,0,0
10201015,1,0,0,1
10201016,4,4,0,0
10201017,3,0,3,0
10201020,2,2,1,0
10201029,1,0,1,0
10203000,1,0,0,1
10203001,1,0,0,1
10300005,1,0,0,1
10300007,1,0,0,1
10300018,3,2,0,1
10300019,3,2,1,0
10300021,3,2,0,1
10300025,1,1,0,0
10300030,2,1,0,1
10300031,1,1,0,0
10300034,2,1,0,1
10300035,1,0,1,0
10300038,1,1,0,0
10300039,1,1,0,0
10300042,1,1,0,0
10300059,1,1,0,0
10300062,1,1,0,0
10300080,1,0,0,1
10300081,1,0,0,1
10300084,1,0,0,1
10310021,3,0,3,0
10310042,9,0,4,5
10310043,1,0,1,0
10310044,2,0,2,0
10310045,1,0,1,0
10310046,2,0,2,0
10310047,2,0,2,0
10310048,2,0,1,1
10310050,2,0,1,1
10310051,4,0,4,0
10310052,2,0,1,1
10312014,2,0,2,0
10312015,2,0,2,0
10312016,1,0,1,0
10319006,1,1,0,0
10400067,1,0,1,0
10401008,1,1,0,0
10401015,1,1,0,0
10401049,1,0,1,1
10401054,1,0,0,1
10401059,1,0,0,1
10401090,1,0,0,1
10401097,2,0,0,2
10420014,1,0,0,1
10422006,1,0,0,1
10422008,1,0,0,1
10422012,1,0,0,1
10435003,1,0,1,0
10435025,1,0,0,1
10435026,1,0,0,1
10435031,1,1,0,0
10435033,1,0,1,0
10435036,1,0,0,1
10435037,1,1,0,0
10435042,3,0,2,1
10435043,1,0,1,0
10439017,1,0,1,0
10441007,1,1,0,0
10441014,1,1,0,1
10441016,1,1,0,0
10450020,1,1,0,0
10450048,1,0,0,1
10501084,1,1,0,0
10501092,2,2,0,0
10502000,1,0,1,0
10502006,1,1,0,0
10502021,1,1,0,0
10701010,2,1,1,0
11000007,1,0,0,1
11004004,1,0,0,1
11005008,1,1,0,0
11006007,1,0,0,1
11006011,2,1,0,1
11011002,1,1,0,0
11011015,2,1,1,0
11011020,1,1,0,0
11011028,2,1,1,0
11011029,1,0,1,0
11011033,1,0,0,1
11011034,1,1,0,0
11011042,1,1,0,0
11020005,1,0,0,1
11020013,1,0,0,1
11020017,1,0,0,1
11022021,1,0,1,0
11022023,1,0,0,1
11022036,1,1,0,0
11022054,2,1,1,0
11022060,1,1,0,0
11031002,1,0,0,1
11034002,1,1,0,0
11040002,1,0,1,0
11041006,1,0,0,1
11041007,1,0,0,1
11041009,1,0,1,0
11041019,1,0,1,0
11041023,1,0,1,0
11041024,1,0,0,1
11042005,1,0,1,0
11042009,2,0,0,2
11043005,1,0,0,1
11043008,1,0,1,0
11044004,1,0,0,1
11044009,2,0,2,0
11044017,1,1,0,0
11044019,1,1,0,0
11044022,1,0,0,1
11044023,2,0,2,0
11044024,1,0,1,0
11046007,1,1,0,0
11046012,2,1,1,0
11046014,1,0,0,1
11050013,1,1,0,0
11051003,1,0,1,0
11052009,1,0,1,0
11052015,1,0,1,0
11054017,1,0,0,1
11054029,1,0,1,0
11054032,1,0,0,1
11054033,1,1,0,0
11054039,1,1,0,0
11054069,1,0,0,1
11056011,1,0,1,0
11056012,1,0,0,1
11056014,1,0,0,1
11056017,3,2,1,0
11056020,1,0,1,0
11056041,1,1,0,0
11056053,1,0,1,0
11056067,1,1,0,0
11056085,3,1,0,2
11057021,1,0,1,0
11057029,2,1,0,1
11057049,1,0,1,0
11057092,1,0,1,0
11057122,1,0,1,0
11057177,4,0,0,4
11100030,1,0,0,1
11100035,1,0,0,1
11100042,1,0,1,0
11101026,1,0,0,1
11102011,1,0,1,0
11102032,1,0,1,0
11102043,1,1,0,0
11102058,1,0,0,1
11102105,1,0,1,0
11102113,1,0,1,0
11103002,1,0,0,1
11103006,1,1,0,0
11103008,1,0,1,0
11103010,1,0,0,1
11104006,1,1,0,0
11104009,1,1,0,0
11104021,1,1,0,0
11104024,1,0,0,1
11104030,2,2,0,0
11105006,1,0,1,0
11110004,4,0,0,4
11110015,1,1,0,0
11110050,1,0,0,1
11110052,6,3,1,2
11110053,1,1,0,0
11110104,1,0,1,0
11110121,1,0,1,0
11110153,1,0,0,1
11110157,1,0,0,1
11111001,1,1,0,1
11112019,2,2,0,0
11115145,1,0,0,1
11116014,2,1,1,0
11121047,1,0,1,0
11140004,1,0,0,1
11141002,5,1,0,4
11200018,1,0,0,1
11200025,1,0,0,1
11200030,1,0,0,1
11200033,1,1,0,0
11200044,1,0,0,1
11200046,1,0,1,0
11200066,1,0,1,0
11200070,1,1,0,0
11200081,1,0,1,0
11200131,1,0,0,1
11200134,1,0,0,1
11201048,1,0,0,1
11205013,1,0,0,1
11210024,1,1,0,0
11212018,1,0,0,1
11212019,1,0,0,1
11212023,1,0,0,1
11220013,1,0,0,1
11220014,2,1,0,1
11220019,1,0,1,0
11220022,1,0,1,0
11220026,1,0,0,1
11220028,1,0,1,0
11220045,2,0,2,0
11220046,1,0,1,0
11220056,1,0,0,1
11220059,1,0,1,0
11220066,1,0,0,1
11221018,1,0,0,1
11221024,1,1,0,0
11221037,4,0,4,0
11221053,1,1,0,0
11221054,1,0,0,1
11222021,1,0,1,0
11222043,1,0,1,0
11222044,4,1,2,1
11230042,1,0,0,1
11230060,1,1,0,0
11230074,1,1,0,0
11230118,1,0,0,1
11230120,1,0,0,1
11230129,1,1,0,0
11230132,1,0,0,1
11230133,1,0,1,0
11230134,1,0,0,1
11230136,1,0,0,1
11230155,1,0,0,1
11230158,1,0,1,0
11230290,1,0,1,0
11230291,1,0,0,1
11231001,1,0,0,1
11231112,1,1,0,0
11231125,1,0,0,1
11231152,1,1,0,0
11231171,1,0,1,0
11231198,1,0,0,1
11233037,1,0,1,0
11233038,2,1,1,0
11233058,1,1,0,0
11233081,1,0,1,0
11235002,1,0,1,0
11240018,1,1,0,0
11240036,1,1,0,0
11241005,1,0,0,1
11241024,1,0,0,1
11241028,1,1,0,0
11241063,1,0,0,1
11241065,1,0,0,1
11241072,1,1,0,0
11241085,1,0,0,1
11250000,1,0,0,1
11250001,1,0,0,1
11250005,1,0,0,1
11250007,1,0,0,1
11250017,1,0,1,0
11250018,3,0,3,0
11250019,1,0,0,1
11250025,1,0,1,0
11250026,1,0,0,1
11250027,1,0,0,1
11300002,1,1,0,0
11300007,1,1,0,0
11300008,1,1,0,0
11300013,1,1,0,0
11300014,2,1,1,0
11300015,1,1,0,1
11300019,1,1,0,0
11300045,1,0,1,0
11300046,1,0,1,0
11300048,1,1,0,0
11300051,1,0,1,0
11300057,1,1,0,0
11300060,1,0,1,0
11300063,1,1,0,0
11300073,3,1,0,3
11300083,1,0,0,1
11300089,1,0,1,0
11300114,1,0,1,0
11300116,1,0,1,0
11300118,1,1,0,0
11300120,2,0,1,1
11300121,1,0,1,0
11300123,3,2,0,1
11300130,3,1,2,0
11300141,1,0,0,1
11300142,1,0,1,0
11300149,2,0,0,2
11300157,2,1,1,0
11300164,1,0,0,1
11300178,1,1,0,0
11300179,1,1,0,0
11300180,1,1,0,0
11300187,2,1,0,1
11300191,2,0,0,2
11300194,1,0,0,1
11300219,1,0,0,1
11301004,1,0,0,1
11301055,1,0,1,0
11301056,3,0,1,2
11301075,1,1,0,0
11301076,1,1,0,0
11301082,1,0,0,1
11301083,1,1,0,0
11301086,1,0,0,1
11301088,3,1,1,1
11301089,1,0,0,1
11301090,1,0,0,1
11301092,1,1,0,0
11301093,2,1,0,1
11301095,1,0,0,1
11301110,1,1,0,0
11301134,2,1,1,0
11302000,1,0,0,1
11302003,1,1,0,0
11302013,1,1,0,0
11302016,1,0,0,1
11302019,3,2,0,1
11302024,1,0,0,1
11302032,2,0,0,2
11302034,1,0,1,0
11303020,1,0,0,1
11303035,1,0,0,1
11303039,1,0,0,1
11303047,1,1,0,0
11303051,1,0,1,0
11303055,1,0,0,1
11303074,1,0,1,0
11303075,2,0,2,0
11303076,1,0,1,0
11303078,1,0,1,0
11303079,1,0,1,0
11303082,1,1,0,0
11303083,1,1,0,0
11303084,1,0,1,0
11303088,1,0,0,1
11303097,1,1,0,0
11303098,2,1,1,0
11303099,1,1,0,0
11303101,2,2,0,0
11303106,1,1,0,0
11303111,1,0,0,1
11303131,1,0,0,1
11303134,1,0,1,0
11303137,1,0,1,0
11303144,1,0,0,1
11303159,1,0,0,1
11303161,2,2,0,0
11303181,1,1,0,0
11303196,1,0,0,1
11304010,1,0,0,1
11304015,1,0,0,1
11304018,2,1,0,1
11304021,1,1,0,0
11304031,1,1,0,0
11304032,1,0,0,1
11304037,1,0,0,1
11305010,1,0,1,0
11305014,1,0,1,0
11305016,1,0,1,0
11311002,1,0,0,1
11311005,1,1,0,0
11311015,1,0,1,0
11313005,1,1,0,0
11313006,1,0,0,1
11400010,1,1,0,0
11400012,1,1,0,0
11400035,1,0,1,0
11500014,1,0,1,0
11500027,2,0,0,2
11500029,1,0,1,0
11500031,1,0,1,1
11500065,2,0,1,1
11500067,1,0,0,1
11500070,1,1,0,0
11500071,2,1,1,1
11500073,2,1,1,0
11500074,1,1,0,0
11500076,1,0,0,1
11500077,1,0,0,1
11500078,1,0,0,1
11500079,1,0,1,0
11500080,1,0,0,1
11500091,2,0,1,1
11500092,1,1,0,0
11500093,1,0,0,1
11500094,2,1,0,1
11500095,4,3,0,1
11500101,1,0,1,0
11500111,1,1,0,0
11500113,1,0,1,0
11500119,1,0,0,1
11500123,1,0,1,0
11500128,3,2,0,1
11500133,2,2,0,0
11500134,1,0,0,1
11500136,1,0,0,1
11500144,1,0,0,1
11500151,1,0,1,0
11500161,2,0,0,2
11500195,1,0,1,0
11501012,1,0,1,0
11501023,1,0,0,1
11501030,1,0,0,1
11501037,1,0,0,1
11501048,1,0,1,0
11501052,1,0,0,1
11501061,1,0,1,0
11501064,1,0,0,1
11501065,1,0,0,1
11501070,1,0,0,1
11501077,1,0,1,1
11501090,2,0,1,1
11501092,1,1,0,0
11501099,2,2,0,0
11501105,1,1,0,0
11501115,1,0,1,0
11501116,2,0,2,0
11501132,1,0,0,1
11501142,1,0,0,1
11501147,2,0,0,2
11502024,2,0,1,1
11502025,1,1,0,0
11502030,1,0,1,0
11502035,1,0,1,0
11502036,1,0,1,0
11502041,1,1,0,0
11502043,1,1,0,0
11502049,1,0,1,0
11503002,1,0,0,1
11504011,2,1,0,1
11504023,1,0,0,1
11504031,1,0,0,1
11506002,1,0,1,0
11506012,1,1,0,0
11507004,2,2,0,0
11511008,1,1,0,0
11511031,1,0,1,1
11511051,2,1,1,0
11511086,1,1,1,1
11511091,1,1,0,0
11521018,1,0,1,0
11521024,1,1,0,0
11521062,1,1,0,0
11521063,2,1,0,1
11521066,2,0,1,1
11522004,1,0,1,0
11522010,1,0,1,0
11522023,1,0,1,0
11522025,4,0,0,4
11530001,1,1,0,0
11530008,1,0,1,0
11530011,1,1,0,0
11531005,1,1,0,0
11531010,1,0,0,1
11531011,1,0,0,1
11531017,1,0,0,1
11531029,1,0,1,0
11531047,5,0,0,5
11531048,2,0,0,2
11531053,5,3,2,0
11532006,1,0,0,1
11532008,1,1,0,0
11532011,10,0,4,6
11532018,2,1,1,0
11532023,1,0,1,0
11532036,2,1,2,1
11532037,3,1,0,2
11532038,4,0,0,4
11532039,2,1,1,0
11532042,2,0,0,2
11532044,1,0,0,1
11533006,1,0,1,0
11533010,1,1,0,0
11533011,1,0,0,1
11533012,2,1,1,0
11533016,2,0,1,2
11533017,1,0,0,1
11533021,3,3,0,0
11533025,1,1,0,0
11533026,1,1,0,0
11533028,2,2,0,0
11533029,3,1,1,1
11533034,2,1,0,1
11533041,1,0,1,0
11533045,1,0,0,1
11533061,1,0,1,0
11540000,3,1,0,2
11543235,1,1,0,0
14000000,1,0,0,1
14000001,6,4,1,1
14000002,4,2,1,2
14000004,2,0,1,1
14000005,3,0,2,1
14000006,2,0,1,1
14000008,1,0,0,1
14000009,1,0,1,0
14000010,4,1,0,3
14000011,3,0,1,2
14000017,1,1,0,0
14001019,1,0,1,0
14001030,1,1,0,0
14002008,1,0,1,0
14010001,1,0,1,0
14010008,2,0,1,1
14010011,3,2,0,1
14010012,6,1,2,3
14010015,2,2,0,0
14010017,1,0,1,0
14011000,1,1,0,0
14012004,1,0,1,0
14013009,4,2,2,0
14013010,3,0,1,2
14013011,4,1,2,1
14014012,1,0,0,1
14014014,1,0,0,1
14014027,1,0,1,0
14014037,1,0,1,0
14015003,1,0,0,1
14015004,1,0,0,1
14015063,1,0,0,1
14015065,2,0,0,2
14015066,1,0,0,1
14015090,1,0,1,0
14020002,2,0,0,2
14020003,2,0,1,1
14020011,1,1,0,0
14021006,2,1,1,0
14021007,3,0,3,0
14021008,1,0,1,1
14021014,1,1,0,0
14021027,1,0,0,1
14021043,1,1,0,0
14021044,1,1,0,0
14021045,1,0,1,0
14022003,1,0,1,0
14022004,1,1,0,0
14022005,1,1,0,0
14022007,1,1,0,0
14022008,1,0,1,0
14022010,1,0,1,0
14031000,1,1,0,0
14031005,1,0,0,1
14031006,1,0,1,0
14031010,1,0,0,1
14031031,1,0,0,1
14032001,2,1,1,0
14032025,1,0,0,1
14033004,1,1,0,0
14033016,2,0,1,1
14033044,2,1,1,0
14033046,5,2,0,3
14033048,2,0,1,1
14033050,4,0,2,2
14033054,1,0,1,0
14033055,2,0,2,0
14034007,2,1,1,0
14034009,1,0,0,1
14034016,1,0,1,0
14034017,3,0,1,2
14040008,1,0,0,1
14040009,1,0,0,1
14040016,3,1,1,2
14040018,1,0,0,1
14041002,1,0,1,0
14042001,1,0,0,1
14043011,1,0,0,1
14043012,1,0,0,1
14043013,1,1,0,0
14043017,2,1,0,1
14043022,1,0,1,0
14043027,1,0,0,1
14043029,1,1,0,0
14050013,1,0,0,1
14050015,1,1,0,0
14050020,1,0,1,0
14050025,2,0,1,1
14050026,3,0,1,2
14050028,1,1,0,0
14050045,1,0,1,0
14051003,1,1,0,0
14051004,2,0,1,1
14052003,1,0,0,1
14052005,2,1,0,1
14052007,2,0,1,1
14052015,1,0,0,1
14052026,2,2,0,0
14052027,1,0,1,0
14052029,2,0,2,0
14052030,2,1,1,0
14052035,1,0,1,0
14052046,2,2,0,0
14054004,2,1,0,1
14054007,2,1,1,0
14054008,1,0,1,0
14054010,1,1,0,0
14054012,2,0,0,2
14054013,2,0,2,0
14054014,4,0,1,3
14054020,1,0,1,0
14054030,1,0,0,1
14054072,2,0,1,1
14054075,2,0,1,1
14060002,2,1,2,1
14060003,1,0,0,1
14060006,2,1,2,0
14061005,1,0,0,1
14063000,1,0,0,1
14063003,4,0,0,4
14064006,2,0,1,1
14064009,1,1,0,0
14070003,1,1,0,1
14070016,1,0,1,0
14070032,1,0,0,1
14070034,1,1,0,0
14071000,2,0,0,2
14072002,1,1,0,0
14072004,1,1,0,0
14072008,1,0,0,1
14072009,1,0,0,1
14072013,1,0,0,1
14073006,1,0,0,1
14073007,1,0,1,0
14073008,1,0,1,0
14073009,2,1,0,1
14073011,2,1,1,0
14073019,1,0,1,0
14073020,2,1,1,0
14073041,4,1,0,3
14074021,2,1,0,1
14074024,1,0,0,1
14074054,1,0,1,0
14074058,1,1,0,0
14074059,2,1,1,0
14074061,1,0,0,1
14075007,1,0,0,1
14075011,1,0,0,1
14075012,2,0,1,1
14075022,2,1,1,0
14076000,1,0,0,1
