u,u_b_user_agg_count_mean,u_b_user_agg_count_std,u_b_user_agg_count_max,u_b_user_agg_count_median,u_b_user_agg_amount_mean,u_b_user_agg_amount_std,u_b_user_agg_amount_max,u_b_user_agg_amount_median
781924,1.11,0.31,2,1,13.83,11.75,36.8,10.8
13325038116,2.0,1.22,4,2,290.82,473.3,1110.0,47.3
13854627199,1.5,0.5,2,2,42.0,16.8,58.8,58.8
13864739266,2.57,1.5,5,3,18.03,10.75,38.8,16.5
15954611837,1.33,0.47,2,1,9.0,5.02,16.6,11.98
15954688237,2.5,2.14,7,2,25.62,27.55,83.8,11.9
15963883482,2.33,2.0,9,2,19.31,31.86,146.2,11.8
15963885355,1.0,0.0,1,1,4.75,4.45,9.2,9.2
18554652702,1.18,0.39,2,1,23.13,17.25,55.0,12.4
18654692914,1.5,0.67,3,1,7.81,3.4,11.8,8.5
1590120464497,1.2,0.4,2,1,5.02,2.53,8.0,4.5
1590130817948,1.31,0.46,2,1,14.31,10.42,32.6,9.9
1590140304506,2.17,1.74,7,2,24.88,23.0,90.0,16.8
1590140305107,1.0,0.0,1,1,4.2,4.14,9.9,2.5
1590140306678,1.47,1.02,4,1,20.25,32.35,135.6,7.9
1590140307415,1.88,1.05,4,2,9.05,10.05,33.6,7.8
1590140307767,1.55,0.78,3,1,14.95,16.07,58.4,7.5
1590140307859,2.17,2.19,7,1,15.22,21.09,61.6,10.0
1590140308030,1.5,0.5,2,2,4.98,2.76,7.0,7.0
1590140308214,1.5,0.96,4,1,11.64,11.0,39.6,11.9
1590141216259,1.1,0.3,2,1,10.53,7.22,25.8,9.9
1590141414228,2.0,1.41,5,2,27.78,37.5,111.0,16.8
1590142128124,1.75,0.97,3,1,11.08,5.55,18.0,14.5
1590142129763,1.0,0.0,1,1,0.2,0.0,0.2,0.2
1590142148962,1.4,0.49,2,1,22.52,20.72,55.3,7.1
1590142149853,1.23,0.58,3,1,10.85,17.96,72.0,5.5
1590142150507,1.4,0.49,2,1,6.46,4.9,15.0,5.5
1590142151689,1.69,1.31,6,1,18.63,14.93,54.36,12.5
1590142176521,1.33,0.47,2,1,8.13,5.38,16.9,10.9
1590142191722,1.25,0.66,3,1,21.86,8.64,36.0,18.8
1590142194327,1.31,0.82,4,1,8.29,5.21,19.9,5.9
1590142197076,1.43,0.49,2,1,14.57,8.84,35.0,11.0
1590142201148,1.38,0.48,2,1,20.74,19.96,66.9,16.5
1590142201162,1.58,1.14,5,1,11.67,11.2,52.7,9.3
1590142202190,1.0,0.0,1,1,38.55,38.35,76.9,76.9
1590142203104,1.29,0.59,3,1,9.02,7.22,31.8,7.9
1590142203180,1.0,0.0,1,1,11.55,1.65,13.2,13.2
1590142203401,1.33,0.47,2,1,10.14,6.08,22.0,9.9
1590142204569,1.0,0.0,1,1,39.9,0.0,39.9,39.9
1590142205993,1.69,0.99,4,1,14.77,16.16,49.9,10.1
1590142206747,1.85,1.46,7,1,10.87,9.0,34.3,9.9
1590142210195,1.2,0.4,2,1,10.49,8.22,29.5,10.9
1590142213189,1.75,1.01,4,1,11.63,6.5,24.0,11.5
1590142213356,1.6,1.02,4,1,17.94,43.32,147.8,4.0
1590142213981,1.38,0.86,4,1,16.39,16.07,68.0,11.8
1590142215619,1.43,0.73,3,1,5.96,2.83,11.7,5.0
