c,c_i_agg_count_unique_max,c_i_agg_count_unique_median,c_i_agg_count_unique_mean,c_i_agg_count_unique_std
10000,11,9,6.666666666666667,4.784233364802441
10001,2,2,1.3333333333333333,0.9428090415820634
10002,16,7,7.666666666666667,6.548960901462833
10008,3,0,1.0,1.4142135623730951
10100,4,3,2.3333333333333335,1.699673171197595
10102,1,0,0.3333333333333333,0.4714045207910317
10103,3,0,1.0,1.4142135623730951
10109,7,3,3.3333333333333335,2.8674417556808756
10110,5,4,3.0,2.160246899469287
10111,1,0,0.3333333333333333,0.4714045207910317
10112,2,1,1.0,0.816496580927726
10113,4,1,1.6666666666666667,1.699673171197595
10114,2,1,1.0,0.816496580927726
10116,5,1,2.0,2.160246899469287
10117,1,0,0.3333333333333333,0.4714045207910317
10119,11,11,7.333333333333333,5.185449728701348
10120,1,0,0.3333333333333333,0.4714045207910317
10130,7,6,4.333333333333333,3.0912061651652345
10131,8,4,4.0,3.265986323710904
10132,5,5,3.3333333333333335,2.3570226039551585
10133,1,1,0.6666666666666666,0.4714045207910317
10135,3,1,1.3333333333333333,1.247219128924647
10136,4,3,2.3333333333333335,1.699673171197595
10137,2,1,1.0,0.816496580927726
10140,3,2,1.6666666666666667,1.247219128924647
10141,19,14,11.0,8.04155872120988
10150,17,8,8.333333333333334,6.944222218666553
10151,4,1,1.6666666666666667,1.699673171197595
10152,6,4,3.3333333333333335,2.494438257849294
10200,3,3,2.0,1.4142135623730951
10201,3,2,1.6666666666666667,1.247219128924647
10203,2,0,0.6666666666666666,0.9428090415820634
10300,9,2,3.6666666666666665,3.8586123009300755
10310,11,4,5.0,4.546060565661952
10312,3,0,1.0,1.4142135623730951
10400,1,0,0.3333333333333333,0.4714045207910317
10401,5,1,2.0,2.160246899469287
10420,1,0,0.3333333333333333,0.4714045207910317
10422,3,0,1.0,1.4142135623730951
10435,4,4,2.6666666666666665,1.8856180831641267
10439,1,0,0.3333333333333333,0.4714045207910317
10441,1,0,0.3333333333333333,0.4714045207910317
10450,1,0,0.3333333333333333,0.4714045207910317
10502,1,0,0.3333333333333333,0.4714045207910317
10701,1,0,0.3333333333333333,0.4714045207910317
11000,1,0,0.3333333333333333,0.4714045207910317
11004,1,0,0.3333333333333333,0.4714045207910317
11006,2,0,0.6666666666666666,0.9428090415820634
11011,3,1,1.3333333333333333,1.247219128924647
11020,3,0,1.0,1.4142135623730951
11022,2,1,1.0,0.816496580927726
11031,1,0,0.3333333333333333,0.4714045207910317
11040,1,0,0.3333333333333333,0.4714045207910317
11041,3,3,2.0,1.4142135623730951
11042,1,1,0.6666666666666666,0.4714045207910317
11043,1,1,0.6666666666666666,0.4714045207910317
11044,3,2,1.6666666666666667,1.247219128924647
11046,1,1,0.6666666666666666,0.4714045207910317
11051,1,0,0.3333333333333333,0.4714045207910317
11052,2,0,0.6666666666666666,0.9428090415820634
11054,3,1,1.3333333333333333,1.247219128924647
11056,4,3,2.3333333333333335,1.699673171197595
11057,4,2,2.0,1.632993161855452
11100,2,1,1.0,0.816496580927726
11101,1,0,0.3333333333333333,0.4714045207910317
11102,4,1,1.6666666666666667,1.699673171197595
11103,2,1,1.0,0.816496580927726
11104,1,0,0.3333333333333333,0.4714045207910317
11105,1,0,0.3333333333333333,0.4714045207910317
11110,5,3,2.6666666666666665,2.0548046676563256
11111,1,0,0.3333333333333333,0.4714045207910317
11115,1,0,0.3333333333333333,0.4714045207910317
11116,1,0,0.3333333333333333,0.4714045207910317
11121,1,0,0.3333333333333333,0.4714045207910317
11140,1,0,0.3333333333333333,0.4714045207910317
11141,1,0,0.3333333333333333,0.4714045207910317
11200,6,3,3.0,2.449489742783178
11201,1,0,0.3333333333333333,0.4714045207910317
11205,1,0,0.3333333333333333,0.4714045207910317
11212,3,0,1.0,1.4142135623730951
11220,6,5,3.6666666666666665,2.6246692913372702
11221,2,1,1.0,0.816496580927726
11222,3,1,1.3333333333333333,1.247219128924647
11230,8,3,3.6666666666666665,3.299831645537222
11231,3,1,1.3333333333333333,1.247219128924647
11233,3,0,1.0,1.4142135623730951
11235,1,0,0.3333333333333333,0.4714045207910317
11241,5,0,1.6666666666666667,2.357022603955158
11250,7,3,3.3333333333333335,2.8674417556808756
11300,13,12,8.333333333333334,5.90668171555645
11301,9,4,4.333333333333333,3.6817870057290873
11302,5,1,2.0,2.160246899469287
11303,10,10,6.666666666666667,4.714045207910317
11304,5,0,1.6666666666666667,2.357022603955158
11305,3,0,1.0,1.4142135623730951
11311,1,1,0.6666666666666666,0.4714045207910317
11313,1,0,0.3333333333333333,0.4714045207910317
11400,1,0,0.3333333333333333,0.4714045207910317
11500,19,13,10.666666666666666,7.93025150224688
11501,12,7,6.333333333333333,4.9216076867444665
11502,5,1,2.0,2.160246899469287
11503,1,0,0.3333333333333333,0.4714045207910317
11504,3,0,1.0,1.4142135623730951
11506,1,0,0.3333333333333333,0.4714045207910317
11511,3,2,1.6666666666666667,1.247219128924647
11521,2,2,1.3333333333333333,0.9428090415820634
11522,3,1,1.3333333333333333,1.247219128924647
11530,1,0,0.3333333333333333,0.4714045207910317
11531,5,2,2.3333333333333335,2.0548046676563256
11532,7,5,4.0,2.943920288775949
11533,6,6,4.0,2.8284271247461903
11540,1,0,0.3333333333333333,0.4714045207910317
14000,9,7,5.333333333333333,3.8586123009300755
14001,1,0,0.3333333333333333,0.4714045207910317
14002,1,0,0.3333333333333333,0.4714045207910317
14010,4,3,2.3333333333333335,1.699673171197595
14012,1,0,0.3333333333333333,0.4714045207910317
14013,3,2,1.6666666666666667,1.247219128924647
14014,2,2,1.3333333333333333,0.9428090415820634
14015,5,1,2.0,2.160246899469287
14020,2,1,1.0,0.816496580927726
14021,4,2,2.0,1.632993161855452
14022,3,0,1.0,1.4142135623730951
14031,3,1,1.3333333333333333,1.247219128924647
14032,1,1,0.6666666666666666,0.4714045207910317
14033,6,4,3.3333333333333335,2.494438257849294
14034,3,2,1.6666666666666667,1.247219128924647
14040,4,1,1.6666666666666667,1.699673171197595
14041,1,0,0.3333333333333333,0.4714045207910317
14042,1,0,0.3333333333333333,0.4714045207910317
14043,4,1,1.6666666666666667,1.699673171197595
14050,4,3,2.3333333333333335,1.699673171197595
14051,1,1,0.6666666666666666,0.4714045207910317
14052,5,4,3.0,2.160246899469287
14054,7,6,4.333333333333333,3.0912061651652345
14060,2,2,1.3333333333333333,0.9428090415820634
14061,1,0,0.3333333333333333,0.4714045207910317
14063,2,0,0.6666666666666666,0.9428090415820634
14064,1,1,0.6666666666666666,0.4714045207910317
14070,2,1,1.0,0.816496580927726
14071,1,0,0.3333333333333333,0.4714045207910317
14072,3,0,1.0,1.4142135623730951
14073,5,3,2.6666666666666665,2.0548046676563256
14074,3,2,1.6666666666666667,1.247219128924647
14075,3,2,1.6666666666666667,1.247219128924647
14076,6,5,3.6666666666666665,2.6246692913372702
14077,1,0,0.3333333333333333,0.4714045207910317
14078,1,0,0.3333333333333333,0.4714045207910317
14079,3,0,1.0,1.4142135623730951
14080,5,5,3.3333333333333335,2.3570226039551585
14081,2,2,1.3333333333333333,0.9428090415820634
14082,11,8,6.333333333333333,4.642796092394707
14083,3,2,1.6666666666666667,1.247219128924647
14084,1,0,0.3333333333333333,0.4714045207910317
14090,14,7,7.0,5.715476066494082
14091,19,13,10.666666666666666,7.93025150224688
14092,26,21,15.666666666666666,11.2644968324772
14093,1,0,0.3333333333333333,0.4714045207910317
14094,1,0,0.3333333333333333,0.4714045207910317
14100,2,0,0.6666666666666666,0.9428090415820634
14101,6,1,2.3333333333333335,2.6246692913372702
14102,1,0,0.3333333333333333,0.4714045207910317
14103,1,0,0.3333333333333333,0.4714045207910317
14105,4,2,2.0,1.632993161855452
14108,2,2,1.3333333333333333,0.9428090415820634
14110,1,0,0.3333333333333333,0.4714045207910317
14111,1,0,0.3333333333333333,0.4714045207910317
14112,5,2,2.3333333333333335,2.0548046676563256
14120,3,3,2.0,1.4142135623730951
14121,7,5,4.0,2.943920288775949
14122,1,0,0.3333333333333333,0.4714045207910317
14130,7,2,3.0,2.943920288775949
14131,2,1,1.0,0.816496580927726
14132,7,1,2.6666666666666665,3.091206165165235
14133,1,0,0.3333333333333333,0.4714045207910317
14140,3,1,1.3333333333333333,1.247219128924647
14141,1,0,0.3333333333333333,0.4714045207910317
14142,1,1,0.6666666666666666,0.4714045207910317
14200,14,7,7.0,5.715476066494082
14202,1,0,0.3333333333333333,0.4714045207910317
14203,3,2,1.6666666666666667,1.247219128924647
14205,2,0,0.6666666666666666,0.9428090415820634
14208,1,0,0.3333333333333333,0.4714045207910317
14209,2,2,1.3333333333333333,0.9428090415820634
14221,1,0,0.3333333333333333,0.4714045207910317
14222,6,5,3.6666666666666665,2.6246692913372702
14223,1,1,0.6666666666666666,0.4714045207910317
14231,2,1,1.0,0.816496580927726
14232,1,1,0.6666666666666666,0.4714045207910317
14234,1,0,0.3333333333333333,0.4714045207910317
14240,1,0,0.3333333333333333,0.4714045207910317
14241,4,4,2.6666666666666665,1.8856180831641267
14243,3,1,1.3333333333333333,1.247219128924647
14250,3,3,2.0,1.4142135623730951
14251,1,0,0.3333333333333333,0.4714045207910317
14252,1,0,0.3333333333333333,0.4714045207910317
14253,3,0,1.0,1.4142135623730951
14255,1,0,0.3333333333333333,0.4714045207910317
14256,2,2,1.3333333333333333,0.9428090415820634
14257,1,0,0.3333333333333333,0.4714045207910317
14258,2,1,1.0,0.816496580927726
14261,4,2,2.0,1.632993161855452
14270,1,0,0.3333333333333333,0.4714045207910317
14272,1,0,0.3333333333333333,0.4714045207910317
14275,11,4,5.0,4.546060565661952
14280,2,2,1.3333333333333333,0.9428090415820634
14281,3,1,1.3333333333333333,1.247219128924647
14282,1,0,0.3333333333333333,0.4714045207910317
14284,4,1,1.6666666666666667,1.699673171197595
14286,3,0,1.0,1.4142135623730951
14300,15,6,7.0,6.164414002968976
14310,3,2,1.6666666666666667,1.247219128924647
14362,1,0,0.3333333333333333,0.4714045207910317
14400,3,0,1.0,1.4142135623730951
14402,1,1,0.6666666666666666,0.4714045207910317
14403,4,1,1.6666666666666667,1.699673171197595
14405,1,0,0.3333333333333333,0.4714045207910317
14406,3,0,1.0,1.4142135623730951
14407,1,1,0.6666666666666666,0.4714045207910317
14409,3,2,1.6666666666666667,1.247219128924647
14500,1,0,0.3333333333333333,0.4714045207910317
14506,1,1,0.6666666666666666,0.4714045207910317
