i,i_agg_user_max,i_agg_user_max_median,i_agg_user_max_mean,i_agg_user_max_std
10000000,1,0,0.33,0.47
10000003,1,0,0.33,0.47
10000004,1,1,0.67,0.47
10000005,1,1,0.67,0.47
10000006,3,2,1.67,1.25
10000007,1,0,0.33,0.47
10000009,2,0,0.67,0.94
10000010,4,1,1.67,1.7
10000011,4,3,2.33,1.7
10000012,1,0,0.33,0.47
10000013,2,0,0.67,0.94
10000015,1,0,0.33,0.47
10000016,1,0,0.33,0.47
10000025,5,1,2.0,2.16
10001002,1,1,0.67,0.47
10001007,3,2,1.67,1.25
10002002,1,0,0.33,0.47
10002003,1,0,0.33,0.47
10002005,1,0,0.33,0.47
10002007,2,0,0.67,0.94
10002015,1,0,0.33,0.47
10002017,1,0,0.33,0.47
10002019,2,0,0.67,0.94
10002022,1,1,0.67,0.47
10002026,1,0,0.33,0.47
10002027,1,0,0.33,0.47
10002028,1,0,0.33,0.47
10002030,1,0,0.33,0.47
10002031,1,0,0.33,0.47
10002033,1,0,0.33,0.47
10002034,1,0,0.33,0.47
10002038,2,0,0.67,0.94
10002039,1,0,0.33,0.47
10002040,2,0,0.67,0.94
10002046,1,0,0.33,0.47
10002049,1,0,0.33,0.47
10002050,1,0,0.33,0.47
10002052,1,0,0.33,0.47
10008001,2,0,0.67,0.94
10008002,2,0,0.67,0.94
10008011,1,0,0.33,0.47
10100003,2,0,0.67,0.94
10100004,2,1,1.0,0.82
10100005,1,1,0.67,0.47
10100007,2,0,0.67,0.94
10100010,1,0,0.33,0.47
10102002,1,0,0.33,0.47
10103000,1,0,0.33,0.47
10103001,1,0,0.33,0.47
10103003,1,0,0.33,0.47
10109002,1,0,0.33,0.47
10109004,1,0,0.33,0.47
10109005,1,1,0.67,0.47
10109009,2,0,0.67,0.94
10109010,1,0,0.33,0.47
10109014,1,0,0.33,0.47
10109015,1,0,0.33,0.47
10109017,1,0,0.33,0.47
10109021,1,0,0.33,0.47
10110000,1,1,0.67,0.47
10110010,1,0,0.33,0.47
10110012,1,0,0.33,0.47
10110016,1,0,0.33,0.47
10110017,4,3,2.33,1.7
10110025,1,0,0.33,0.47
10110034,1,0,0.33,0.47
10111002,1,0,0.33,0.47
10112004,2,0,0.67,0.94
10112014,1,0,0.33,0.47
10112019,1,0,0.33,0.47
10113000,1,0,0.33,0.47
10113005,1,0,0.33,0.47
10113006,1,0,0.33,0.47
10113007,2,0,0.67,0.94
10113012,1,0,0.33,0.47
10114000,1,0,0.33,0.47
10114004,1,1,0.67,0.47
10116000,1,1,0.67,0.47
10116003,1,0,0.33,0.47
10116032,3,0,1.0,1.41
10116039,1,0,0.33,0.47
10116045,1,0,0.33,0.47
10117000,2,0,0.67,0.94
10119008,1,0,0.33,0.47
10119011,1,0,0.33,0.47
10119013,1,0,0.33,0.47
10119020,1,0,0.33,0.47
10119024,1,0,0.33,0.47
10119028,1,1,0.67,0.47
10119050,1,0,0.33,0.47
10119051,1,0,0.33,0.47
10119061,1,0,0.33,0.47
10119074,1,0,0.33,0.47
10119075,1,0,0.33,0.47
10119104,1,0,0.33,0.47
10119134,2,0,0.67,0.94
10119136,1,0,0.33,0.47
10119137,1,1,0.67,0.47
10119138,1,0,0.33,0.47
10119139,1,0,0.33,0.47
10119140,1,0,0.33,0.47
10119146,4,0,1.33,1.89
10119147,4,0,1.33,1.89
10120000,1,0,0.33,0.47
10130001,1,1,0.67,0.47
10130002,3,0,1.0,1.41
10130004,2,1,1.0,0.82
10130006,2,1,1.0,0.82
10130009,3,2,1.67,1.25
10130010,2,0,0.67,0.94
10130011,2,2,1.33,0.94
10130012,1,0,0.33,0.47
10131000,1,0,0.33,0.47
10131001,1,1,0.67,0.47
10131002,2,1,1.0,0.82
10131007,2,0,0.67,0.94
10131008,1,0,0.33,0.47
10131017,2,1,1.0,0.82
10131019,1,0,0.33,0.47
10131020,2,0,0.67,0.94
10131021,1,0,0.33,0.47
10132000,1,0,0.33,0.47
10132001,1,0,0.33,0.47
10132002,3,0,1.0,1.41
10132003,2,1,1.0,0.82
10132005,1,0,0.33,0.47
10132017,3,3,2.0,1.41
10132019,2,1,1.0,0.82
10133001,4,3,2.33,1.7
10135011,1,0,0.33,0.47
10135014,1,0,0.33,0.47
10135015,1,1,0.67,0.47
10136000,1,0,0.33,0.47
10136001,1,1,0.67,0.47
10136006,1,0,0.33,0.47
10136007,1,0,0.33,0.47
10136008,1,0,0.33,0.47
10136010,1,0,0.33,0.47
10137009,3,0,1.0,1.41
10137011,1,0,0.33,0.47
10137012,1,0,0.33,0.47
10140002,4,2,2.0,1.63
10140003,1,0,0.33,0.47
10140006,3,1,1.33,1.25
10141005,1,0,0.33,0.47
10141006,1,0,0.33,0.47
10141012,3,1,1.33,1.25
10141014,1,0,0.33,0.47
10141015,1,0,0.33,0.47
10141019,6,0,2.0,2.83
10141021,1,0,0.33,0.47
10141025,4,0,1.33,1.89
10141028,3,0,1.0,1.41
10141030,5,0,1.67,2.36
10141032,2,1,1.0,0.82
10141038,4,2,2.0,1.63
10141039,1,0,0.33,0.47
10141040,2,1,1.0,0.82
10141041,2,0,0.67,0.94
10141042,6,5,3.67,2.62
10141044,6,4,3.33,2.49
10141047,1,0,0.33,0.47
10141048,1,1,0.67,0.47
10141063,2,0,0.67,0.94
10141069,2,0,0.67,0.94
10141080,1,0,0.33,0.47
10141090,2,0,0.67,0.94
10141091,1,0,0.33,0.47
10141096,1,0,0.33,0.47
10141139,1,0,0.33,0.47
10150003,1,0,0.33,0.47
10150004,5,1,2.0,2.16
10150009,1,0,0.33,0.47
10150013,2,0,0.67,0.94
10150015,1,0,0.33,0.47
10150016,2,0,0.67,0.94
10150017,1,0,0.33,0.47
10150018,2,1,1.0,0.82
10150019,1,0,0.33,0.47
10150021,1,1,0.67,0.47
10150023,1,0,0.33,0.47
10150024,1,0,0.33,0.47
10150025,1,0,0.33,0.47
10150026,1,0,0.33,0.47
10150031,1,0,0.33,0.47
10150034,1,0,0.33,0.47
10150038,1,1,0.67,0.47
10150048,1,1,0.67,0.47
10150049,1,1,0.67,0.47
10151002,5,3,2.67,2.05
10151005,1,0,0.33,0.47
10151012,1,0,0.33,0.47
10151023,1,0,0.33,0.47
10152009,1,0,0.33,0.47
10152012,2,1,1.0,0.82
10152013,3,2,1.67,1.25
10152015,1,0,0.33,0.47
10152022,1,1,0.67,0.47
10152024,1,0,0.33,0.47
10152032,1,0,0.33,0.47
10200004,1,0,0.33,0.47
10200005,1,0,0.33,0.47
10200035,1,0,0.33,0.47
10200038,1,0,0.33,0.47
10200045,1,0,0.33,0.47
