c,c_user_agg_count_mean,c_user_agg_count_std,c_user_agg_count_max,c_user_agg_count_median,c_user_agg_amount_mean,c_user_agg_amount_std,c_user_agg_amount_max,c_user_agg_amount_median
10000,1.42,0.92,5,1,5.6,3.8,17.0,4.9
10001,1.8,1.17,4,1,5.58,2.75,10.8,4.5
10002,1.45,0.67,3,1,9.95,13.01,55.2,4.4
10008,1.0,0.0,1,1,4.56,1.12,6.8,4.0
10100,1.0,0.0,1,1,15.91,1.42,16.8,16.8
10102,1.0,0.0,1,1,15.8,0.0,15.8,15.8
10103,1.0,0.0,1,1,10.9,5.27,16.8,11.9
10109,2.0,1.15,4,2,34.07,19.28,67.2,32.6
10110,1.14,0.35,2,1,5.34,3.35,14.9,4.5
10111,1.0,0.0,1,1,4.0,0.0,4.0,4.0
10112,1.67,0.47,2,2,9.83,4.27,13.8,11.8
10113,1.0,0.0,1,1,4.67,2.03,7.9,4.5
10114,1.0,0.0,1,1,3.17,0.94,4.5,2.5
10116,1.12,0.33,2,1,6.21,3.99,13.0,4.5
10117,1.5,0.5,2,2,3.75,1.25,5.0,5.0
10119,1.39,0.57,3,1,8.12,3.96,19.8,7.9
10120,1.0,0.0,1,1,48.0,0.0,48.0,48.0
10130,1.53,1.09,5,1,6.11,3.48,15.6,5.5
10131,2.0,1.96,8,1,6.59,4.35,15.6,5.5
10132,1.28,0.73,4,1,5.07,3.15,15.6,4.8
10133,1.0,0.0,1,1,5.83,0.42,6.0,6.0
10135,1.0,0.0,1,1,7.6,5.37,16.9,4.5
10136,2.2,0.75,3,2,11.4,5.73,22.5,8.0
10137,1.0,0.0,1,1,4.8,0.98,6.0,4.0
10140,1.89,0.87,3,2,8.59,14.22,48.6,3.5
10141,1.89,1.72,11,1,11.0,26.44,193.2,4.0
10150,1.44,0.64,3,1,10.53,22.53,120.0,4.0
10151,1.89,1.1,4,1,18.67,12.31,36.0,18.0
10152,1.33,0.47,2,1,11.34,9.72,39.6,5.7
10200,1.2,0.4,2,1,6.78,2.61,10.49,7.9
10201,3.0,2.77,9,2,8.98,8.4,26.0,6.0
10203,1.0,0.0,1,1,5.5,0.0,5.5,5.5
10300,1.9,1.51,6,1,17.55,18.23,60.0,13.0
10310,2.8,1.76,7,2,17.66,11.09,47.9,15.8
10312,3.0,0.0,3,3,19.8,1.9,21.7,21.7
10400,1.0,0.0,1,1,158.0,0.0,158.0,158.0
10401,1.83,1.86,6,1,54.82,48.28,146.2,59.4
10420,1.0,0.0,1,1,28.0,0.0,28.0,28.0
10422,3.0,0.0,3,3,27.5,0.0,27.5,27.5
10435,1.5,0.76,3,1,19.67,11.88,41.5,14.5
10439,1.0,0.0,1,1,26.0,0.0,26.0,26.0
10441,1.0,0.0,1,1,38.0,0.0,38.0,38.0
10450,1.0,0.0,1,1,1110.0,0.0,1110.0,1110.0
10502,1.0,0.0,1,1,11.0,0.0,11.0,11.0
10701,3.0,0.0,3,3,52.0,0.0,52.0,52.0
11000,1.0,0.0,1,1,11.5,0.0,11.5,11.5
11004,1.0,0.0,1,1,2.9,0.0,2.9,2.9
11006,2.0,0.0,2,2,86.0,0.0,86.0,86.0
11011,1.0,0.0,1,1,9.62,6.36,19.9,9.9
11020,1.0,0.0,1,1,16.33,6.84,22.9,19.2
11022,1.0,0.0,1,1,11.13,4.7,17.0,10.9
11031,1.0,0.0,1,1,12.3,0.0,12.3,12.3
11040,1.0,0.0,1,1,11.5,0.0,11.5,11.5
11041,1.0,0.0,1,1,17.83,4.1,23.4,19.9
11042,1.33,0.47,2,1,34.17,14.54,51.6,34.9
11043,1.0,0.0,1,1,20.5,2.5,23.0,23.0
11044,1.0,0.0,1,1,23.74,4.87,32.0,25.9
11046,1.0,0.0,1,1,2.95,0.25,3.2,3.2
11051,1.0,0.0,1,1,12.3,0.0,12.3,12.3
11052,1.0,0.0,1,1,10.15,4.35,14.5,14.5
11054,1.0,0.0,1,1,23.38,1.62,25.8,23.9
11056,1.5,0.5,2,2,10.2,5.93,19.8,10.9
11057,1.25,0.66,3,1,62.14,42.66,118.8,99.0
11100,1.0,0.0,1,1,24.1,10.06,38.0,19.8
11101,1.0,0.0,1,1,5.8,0.0,5.8,5.8
11102,1.2,0.4,2,1,25.6,9.77,35.0,26.9
11103,1.0,0.0,1,1,12.23,6.16,18.8,13.9
11104,3.0,0.0,3,3,9.6,0.0,9.6,9.6
11105,1.0,0.0,1,1,25.8,0.0,25.8,25.8
11110,1.27,0.45,2,1,62.11,86.43,329.0,29.6
11111,1.0,0.0,1,1,25.0,0.0,25.0,25.0
11115,1.0,0.0,1,1,24.0,0.0,24.0,24.0
11116,1.0,0.0,1,1,18.0,0.0,18.0,18.0
