i,i_user_agg_count_mean,i_user_agg_count_std,i_user_agg_count_max,i_user_agg_count_median,i_user_agg_amount_mean,i_user_agg_amount_std,i_user_agg_amount_max,i_user_agg_amount_median
10000000,1.0,0.0,1,1,10.8,0.0,10.8,10.8
10000003,1.0,0.0,1,1,5.9,0.0,5.9,5.9
10000004,1.0,0.0,1,1,5.8,0.0,5.8,5.8
10000005,1.0,0.0,1,1,2.0,0.0,2.0,2.0
10000006,1.2,0.4,2,1,3.24,1.08,5.4,2.7
10000007,1.0,0.0,1,1,4.5,0.0,4.5,4.5
10000009,1.5,0.5,2,2,9.75,3.25,13.0,13.0
10000010,1.0,0.0,1,1,6.2,0.0,6.2,6.2
10000011,1.0,0.0,1,1,2.7,0.0,2.7,2.7
10000012,1.0,0.0,1,1,10.8,0.0,10.8,10.8
10000013,1.5,0.5,2,2,3.3,1.1,4.4,4.4
10000015,1.0,0.0,1,1,2.7,0.0,2.7,2.7
10000016,2.0,0.0,2,2,7.6,0.0,7.6,7.6
10000025,2.4,1.74,5,1,6.92,5.23,15.0,3.0
10001002,1.0,0.0,1,1,4.5,0.0,4.5,4.5
10001007,2.33,1.25,4,2,6.3,3.37,10.8,5.4
10002002,1.0,0.0,1,1,6.2,0.0,6.2,6.2
10002003,1.0,0.0,1,1,2.2,0.0,2.2,2.2
10002005,1.0,0.0,1,1,7.8,0.0,7.8,7.8
10002007,1.0,0.0,1,1,2.7,0.0,2.7,2.7
10002015,1.0,0.0,1,1,4.0,0.0,4.0,4.0
10002017,1.0,0.0,1,1,5.8,0.0,5.8,5.8
10002019,1.0,0.0,1,1,2.7,0.0,2.7,2.7
10002022,1.0,0.0,1,1,2.7,0.0,2.7,2.7
10002026,1.0,0.0,1,1,15.0,0.0,15.0,15.0
10002027,1.0,0.0,1,1,15.0,0.0,15.0,15.0
10002028,1.0,0.0,1,1,15.0,0.0,15.0,15.0
10002030,1.0,0.0,1,1,3.8,0.0,3.8,3.8
10002031,1.0,0.0,1,1,3.0,0.0,3.0,3.0
10002033,2.0,0.0,2,2,4.4,0.0,4.4,4.4
10002034,1.0,0.0,1,1,2.7,0.0,2.7,2.7
10002038,1.0,0.0,1,1,1.6,0.0,1.6,1.6
10002039,2.0,0.0,2,2,5.6,0.0,5.6,5.6
10002040,1.0,0.0,1,1,3.8,0.0,3.8,3.8
10002046,1.0,0.0,1,1,2.7,0.0,2.7,2.7
10002049,1.0,0.0,1,1,3.8,0.0,3.8,3.8
10002050,1.0,0.0,1,1,19.9,0.0,19.9,19.9
10002052,1.0,0.0,1,1,55.2,0.0,55.2,55.2
10008001,1.0,0.0,1,1,4.0,0.0,4.0,4.0
10008002,1.0,0.0,1,1,4.0,0.0,4.0,4.0
10008011,1.0,0.0,1,1,6.8,0.0,6.8,6.8
10100003,1.0,0.0,1,1,13.85,1.95,15.8,15.8
10100004,1.0,0.0,1,1,16.8,0.0,16.8,16.8
10100005,1.0,0.0,1,1,16.8,0.0,16.8,16.8
10100007,1.0,0.0,1,1,15.8,0.0,15.8,15.8
10100010,1.0,0.0,1,1,15.8,0.0,15.8,15.8
10102002,1.0,0.0,1,1,15.8,0.0,15.8,15.8
10103000,1.0,0.0,1,1,4.0,0.0,4.0,4.0
10103001,1.0,0.0,1,1,11.9,0.0,11.9,11.9
10103003,1.0,0.0,1,1,16.8,0.0,16.8,16.8
10109002,1.0,0.0,1,1,11.9,0.0,11.9,11.9
10109004,1.0,0.0,1,1,16.8,0.0,16.8,16.8
10109005,3.0,0.0,3,3,50.4,0.0,50.4,50.4
10109009,1.0,0.0,1,1,16.8,0.0,16.8,16.8
10109010,1.0,0.0,1,1,16.8,0.0,16.8,16.8
10109014,1.0,0.0,1,1,16.8,0.0,16.8,16.8
10109015,1.0,0.0,1,1,16.8,0.0,16.8,16.8
10109017,1.0,0.0,1,1,25.5,0.0,25.5,25.5
10109021,1.0,0.0,1,1,15.8,0.0,15.8,15.8
10110000,1.5,0.5,2,2,6.75,2.25,9.0,9.0
10110010,1.0,0.0,1,1,14.9,0.0,14.9,14.9
10110012,1.0,0.0,1,1,2.5,0.0,2.5,2.5
10110016,1.0,0.0,1,1,6.5,0.0,6.5,6.5
10110017,1.14,0.35,2,1,3.31,1.01,5.8,2.9
10110025,1.0,0.0,1,1,7.6,0.0,7.6,7.6
10110034,1.0,0.0,1,1,6.5,0.0,6.5,6.5
10111002,1.0,0.0,1,1,4.0,0.0,4.0,4.0
10112004,1.5,0.5,2,2,8.85,2.95,11.8,11.8
10112014,1.0,0.0,1,1,3.9,0.0,3.9,3.9
10112019,1.0,0.0,1,1,7.9,0.0,7.9,7.9
10113000,1.0,0.0,1,1,4.5,0.0,4.5,4.5
10113005,1.0,0.0,1,1,2.9,0.0,2.9,2.9
10113006,1.0,0.0,1,1,6.9,0.0,6.9,6.9
10113007,1.0,0.0,1,1,2.9,0.0,2.9,2.9
10113012,1.0,0.0,1,1,7.9,0.0,7.9,7.9
10114000,1.0,0.0,1,1,4.5,0.0,4.5,4.5
10114004,1.0,0.0,1,1,2.5,0.0,2.5,2.5
10116000,1.0,0.0,1,1,4.5,0.0,4.5,4.5
10116003,1.0,0.0,1,1,12.0,0.0,12.0,12.0
10116032,1.0,0.0,1,1,2.6,0.0,2.6,2.6
10116039,2.0,0.0,2,2,13.0,0.0,13.0,13.0
10116045,1.0,0.0,1,1,7.9,0.0,7.9,7.9
10117000,1.5,0.5,2,2,3.75,1.25,5.0,5.0
10119008,1.0,0.0,1,1,5.0,0.0,5.0,5.0
10119011,2.0,0.0,2,2,13.6,0.0,13.6,13.6
10119013,1.0,0.0,1,1,6.8,0.0,6.8,6.8
10119020,1.0,0.0,1,1,12.8,0.0,12.8,12.8
10119024,1.0,0.0,1,1,5.5,0.0,5.5,5.5
10119028,1.5,0.5,2,2,14.85,4.95,19.8,19.8
10119050,1.0,0.0,1,1,8.8,0.0,8.8,8.8
10119051,1.0,0.0,1,1,8.8,0.0,8.8,8.8
10119061,1.0,0.0,1,1,5.0,0.0,5.0,5.0
