u,i,u_count_all,u_count_2,u_count_3,u_count_4,u_amount_all,u_amount_2,u_amount_3,u_amount_4,u_i_count_all,u_i_count_2,u_i_count_3,u_i_count_4,u_i_amount_all,u_i_amount_2,u_i_amount_3,u_i_amount_4,i_count_all,i_count_2,i_count_3,i_count_4,i_amount_all,i_amount_2,i_amount_3,i_amount_4,u_i_count_unique_all,u_i_count_unique_2,u_i_count_unique_3,u_i_count_unique_4,i_user_all,i_user_2,i_user_3,i_user_4,u_i_agg_count_max,u_i_agg_count_median,u_i_agg_count_mean,u_i_agg_count_std,u_i_agg_amount_max,u_i_agg_amount_median,u_i_agg_amount_mean,u_i_agg_amount_std,u_agg_count_max,u_agg_count_median,u_agg_count_mean,u_agg_count_std,u_agg_amount_max,u_agg_amount_median,u_agg_amount_mean,u_agg_amount_std,i_agg_count_max,i_agg_count_median,i_agg_count_mean,i_agg_count_std,i_agg_amount_max,i_agg_amount_median,i_agg_amount_mean,i_agg_amount_std,u_i_agg_count_unique_max,u_i_agg_count_unique_median,u_i_agg_count_unique_mean,u_i_agg_count_unique_std,i_agg_user_max,i_agg_user_max_median,i_agg_user_max_mean,i_agg_user_max_std,i_user_agg_count_mean,i_user_agg_count_std,i_user_agg_count_max,i_user_agg_count_median,i_user_agg_amount_mean,i_user_agg_amount_std,i_user_agg_amount_max,i_user_agg_amount_median,u_i_user_agg_count_mean,u_i_user_agg_count_std,u_i_user_agg_count_max,u_i_user_agg_count_median,u_i_user_agg_amount_mean,u_i_user_agg_amount_std,u_i_user_agg_amount_max,u_i_user_agg_amount_median
781924,11302032,41.0,24.0,17.0,0,142.5,62.0,80.5,0,1.0,0.0,1.0,0,10.8,0.0,10.8,0,2.0,0.0,2.0,0,21.6,0.0,21.6,0,11,4,7,0,2,0,2,0,1.0,0.0,0.3333333333333333,0.4714045207910317,10.8,0.0,3.6,5.091168824543144,24.0,17.0,13.666666666666664,10.077477638553985,80.5,62.0,47.5,34.42624967472737,2.0,0.0,0.6666666666666666,0.9428090415820634,21.6,0.0,7.2,10.182337649086287,7,4,3.6666666666666665,2.867441755680876,2,0,0.67,0.94,1.0,0.0,1,1,10.8,0.0,10.8,10.8,1.0,0.0,1,1,12.95,9.24,36.8,13.8
781924,11532036,41.0,24.0,17.0,0,142.5,62.0,80.5,0,1.0,1.0,0.0,0,3.5,3.5,0.0,0,5.0,3.0,2.0,0,17.5,10.5,7.0,0,11,4,7,0,2,2,1,0,1.0,0.0,0.3333333333333333,0.4714045207910317,3.5,0.0,1.1666666666666667,1.6499158227686108,24.0,17.0,13.666666666666664,10.077477638553985,80.5,62.0,47.5,34.42624967472737,3.0,2.0,1.6666666666666667,1.247219128924647,10.5,7.0,5.833333333333332,4.365266951236265,7,4,3.6666666666666665,2.867441755680876,2,1,1.0,0.82,2.5,1.5,4,4,8.75,5.25,14.0,14.0,1.0,0.0,1,1,12.95,9.24,36.8,13.8
781924,14082002,41.0,24.0,17.0,0,142.5,62.0,80.5,0,1.0,0.0,1.0,0,3.9,0.0,3.9,0,1.0,0.0,1.0,0,3.9,0.0,3.9,0,11,4,7,0,1,0,1,0,1.0,0.0,0.3333333333333333,0.4714045207910317,3.9,0.0,1.3,1.8384776310850235,24.0,17.0,13.666666666666664,10.077477638553985,80.5,62.0,47.5,34.42624967472737,1.0,0.0,0.3333333333333333,0.4714045207910317,3.9,0.0,1.3,1.8384776310850235,7,4,3.6666666666666665,2.867441755680876,1,0,0.33,0.47,1.0,0.0,1,1,3.9,0.0,3.9,3.9,1.0,0.0,1,1,12.95,9.24,36.8,13.8
781924,14101028,41.0,24.0,17.0,0,142.5,62.0,80.5,0,1.0,0.0,1.0,0,4.0,0.0,4.0,0,2.0,0.0,2.0,0,8.0,0.0,8.0,0,11,4,7,0,2,0,2,0,1.0,0.0,0.3333333333333333,0.4714045207910317,4.0,0.0,1.3333333333333333,1.8856180831641267,24.0,17.0,13.666666666666664,10.077477638553985,80.5,62.0,47.5,34.42624967472737,2.0,0.0,0.6666666666666666,0.9428090415820634,8.0,0.0,2.6666666666666665,3.771236166328253,7,4,3.6666666666666665,2.867441755680876,2,0,0.67,0.94,1.0,0.0,1,1,4.0,0.0,4.0,4.0,1.0,0.0,1,1,12.95,9.24,36.8,13.8
781924,15113000,41.0,24.0,17.0,0,142.5,62.0,80.5,0,6.0,6.0,0.0,0,16.8,16.8,0.0,0,45.0,39.0,6.0,0,126.0,109.2,16.8,0,11,4,7,0,8,7,1,0,6.0,0.0,2.0,2.8284271247461903,16.8,0.0,5.6000000000000005,7.919595949289332,24.0,17.0,13.666666666666664,10.077477638553985,80.5,62.0,47.5,34.42624967472737,39.0,6.0,15.0,17.146428199482248,109.2,16.8,42.0,48.00999895855029,7,4,3.6666666666666665,2.867441755680876,7,1,2.67,3.09,1.0,0.0,1,1,15.75,2.78,16.8,16.8,1.0,0.0,1,1,12.95,9.24,36.8,13.8
781924,15120000,41.0,24.0,17.0,0,142.5,62.0,80.5,0,6.0,0.0,6.0,0,15.0,0.0,15.0,0,37.0,13.0,24.0,0,92.5,32.5,60.0,0,11,4,7,0,8,4,4,0,6.0,0.0,2.0,2.8284271247461903,15.0,0.0,5.0,7.071067811865476,24.0,17.0,13.666666666666664,10.077477638553985,80.5,62.0,47.5,34.42624967472737,24.0,13.0,12.333333333333336,9.809292646374773,60.0,32.5,30.83333333333333,24.52323161593693,7,4,3.6666666666666665,2.867441755680876,4,4,2.67,1.89,1.12,0.33,2,1,11.56,4.5,15.0,15.0,1.0,0.0,1,1,12.95,9.24,36.8,13.8
781924,15200001,41.0,24.0,17.0,0,142.5,62.0,80.5,0,6.0,0.0,6.0,0,13.8,0.0,13.8,0,8.0,2.0,6.0,0,18.4,4.6,13.8,0,11,4,7,0,2,1,1,0,6.0,0.0,2.0,2.8284271247461903,13.8,0.0,4.6000000000000005,6.505382386916237,24.0,17.0,13.666666666666664,10.077477638553985,80.5,62.0,47.5,34.42624967472737,6.0,2.0,2.6666666666666665,2.494438257849294,13.8,4.6,6.133333333333333,5.737207993053378,7,4,3.6666666666666665,2.867441755680876,1,1,0.67,0.47,1.5,0.5,2,2,9.2,4.6,13.8,13.8,1.0,0.0,1,1,12.95,9.24,36.8,13.8
781924,15200007,41.0,24.0,17.0,0,142.5,62.0,80.5,0,16.0,16.0,0.0,0,36.8,36.8,0.0,0,182.0,66.0,116.0,0,418.6,151.8,266.8,0,11,4,7,0,20,10,10,0,16.0,0.0,5.333333333333333,7.542472332656508,36.8,0.0,12.266666666666666,17.347686365109965,24.0,17.0,13.666666666666664,10.077477638553985,80.5,62.0,47.5,34.42624967472737,116.0,66.0,60.66666666666666,47.50672467018631,266.8,151.8,139.53333333333333,109.26546674142854,7,4,3.6666666666666665,2.867441755680876,10,10,6.67,4.71,1.35,0.57,3,1,20.93,12.64,36.8,18.4,1.0,0.0,1,1,12.95,9.24,36.8,13.8
781924,15202012,41.0,24.0,17.0,0,142.5,62.0,80.5,0,1.0,1.0,0.0,0,4.9,4.9,0.0,0,1.0,1.0,0.0,0,4.9,4.9,0.0,0,11,4,7,0,1,1,0,0,1.0,0.0,0.3333333333333333,0.4714045207910317,4.9,0.0,1.6333333333333335,2.3098821518760557,24.0,17.0,13.666666666666664,10.077477638553985,80.5,62.0,47.5,34.42624967472737,1.0,0.0,0.3333333333333333,0.4714045207910317,4.9,0.0,1.6333333333333335,2.3098821518760557,7,4,3.6666666666666665,2.867441755680876,1,0,0.33,0.47,1.0,0.0,1,1,4.9,0.0,4.9,4.9,1.0,0.0,1,1,12.95,9.24,36.8,13.8
781924,23113024,41.0,24.0,17.0,0,142.5,62.0,80.5,0,1.0,0.0,1.0,0,18.0,0.0,18.0,0,8.0,2.0,6.0,0,144.0,36.0,108.0,0,11,4,7,0,7,2,6,0,1.0,0.0,0.3333333333333333,0.4714045207910317,18.0,0.0,6.0,8.48528137423857,24.0,17.0,13.666666666666664,10.077477638553985,80.5,62.0,47.5,34.42624967472737,6.0,2.0,2.6666666666666665,2.494438257849294,108.0,36.0,48.0,44.8998886412873,7,4,3.6666666666666665,2.867441755680876,6,2,2.67,2.49,1.14,0.35,2,1,20.57,6.3,36.0,18.0,1.0,0.0,1,1,12.95,9.24,36.8,13.8
